date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,3
2/3/2020,3
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,1
2/13/2020,1
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,5
2/19/2020,2
2/20/2020,0
2/21/2020,2
2/22/2020,4
2/23/2020,0
2/24/2020,4
2/25/2020,0
2/26/2020,6
2/27/2020,2
2/28/2020,0
2/29/2020,1
3/1/2020,0
3/2/2020,5
3/3/2020,4
3/4/2020,10
3/5/2020,7
3/6/2020,9
3/7/2020,19
3/8/2020,26
3/9/2020,19
3/10/2020,24
3/11/2020,20
3/12/2020,21
3/13/2020,49
3/14/2020,41
3/15/2020,47
3/16/2020,57
3/17/2020,80
3/18/2020,38
3/19/2020,165
3/20/2020,331
3/21/2020,218
3/22/2020,244
3/23/2020,265
3/24/2020,222
3/25/2020,580
3/26/2020,471
3/27/2020,795
3/28/2020,842
3/29/2020,5923
3/30/2020,-4803
3/31/2020,1169
4/1/2020,1223
4/2/2020,1036
4/3/2020,1510
4/4/2020,1325
4/5/2020,1412
4/6/2020,898
4/7/2020,1529
4/8/2020,1092
4/9/2020,1352
4/10/2020,1163
4/11/2020,1143
4/12/2020,1179
4/13/2020,554
4/14/2020,905
4/15/2020,1171
4/16/2020,1758
4/17/2020,1346
4/18/2020,1435
4/19/2020,1370
4/20/2020,645
4/21/2020,2283
4/22/2020,2135
4/23/2020,1973
4/24/2020,1885
4/25/2020,1883
4/26/2020,1027
4/27/2020,1300
4/28/2020,1567
4/29/2020,1469
4/30/2020,2417
5/1/2020,1525
5/2/2020,1755
5/3/2020,1419
5/4/2020,1321
5/5/2020,1275
5/6/2020,2603
5/7/2020,1799
5/8/2020,1898
5/9/2020,2049
5/10/2020,2119
5/11/2020,1259
5/12/2020,1443
5/13/2020,-3401
5/14/2020,7183
5/15/2020,1772
5/16/2020,1857
5/17/2020,2046
5/18/2020,1591
5/19/2020,1365
5/20/2020,2262
5/21/2020,2140
5/22/2020,2247
5/23/2020,2187
5/24/2020,2079
5/25/2020,1848
5/26/2020,2175
5/27/2020,2247
5/28/2020,2717
5/29/2020,2189
5/30/2020,2992
5/31/2020,3705
6/1/2020,2423
6/2/2020,2304
6/3/2020,2377
6/4/2020,2120
6/5/2020,3094
6/6/2020,3115
6/7/2020,2796
6/8/2020,2507
6/9/2020,2170
6/10/2020,2702
6/11/2020,3090
6/12/2020,2702
6/13/2020,3660
6/14/2020,3212
6/15/2020,2597
6/16/2020,2108
6/17/2020,3455
6/18/2020,4084
6/19/2020,4317
6/20/2020,3893
6/21/2020,4515
6/22/2020,4230
6/23/2020,5019
6/24/2020,7149
6/25/2020,5349
6/26/2020,4890
6/27/2020,5972
6/28/2020,3979
6/29/2020,6138
6/30/2020,6367
7/1/2020,9740
7/2/2020,7538
7/3/2020,8040
7/4/2020,6510
7/5/2020,5410
7/6/2020,11529
7/7/2020,6090
7/8/2020,11694
7/9/2020,7031
7/10/2020,7798
7/11/2020,8047
7/12/2020,8460
7/13/2020,8358
7/14/2020,7285
7/15/2020,11187
7/16/2020,8544
7/17/2020,9986
7/18/2020,9199
7/19/2020,9329
7/20/2020,6846
7/21/2020,9231
7/22/2020,12807
7/23/2020,12040
7/24/2020,9212
7/25/2020,10572
7/26/2020,8259
7/27/2020,6891
7/28/2020,6000
7/29/2020,8755
7/30/2020,10197
