date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,0
3/10/2020,1
3/11/2020,1
3/12/2020,4
3/13/2020,0
3/14/2020,0
3/15/2020,19
3/16/2020,15
3/17/2020,27
3/18/2020,28
3/19/2020,63
3/20/2020,35
3/21/2020,29
3/22/2020,104
3/23/2020,88
3/24/2020,203
3/25/2020,257
3/26/2020,137
3/27/2020,279
3/28/2020,233
3/29/2020,469
3/30/2020,578
3/31/2020,557
4/1/2020,429
4/2/2020,267
4/3/2020,1091
4/4/2020,361
4/5/2020,399
4/6/2020,1231
4/7/2020,875
4/8/2020,1000
4/9/2020,1003
4/10/2020,347
4/11/2020,1379
4/12/2020,525
4/13/2020,1346
4/14/2020,608
4/15/2020,766
4/16/2020,1129
4/17/2020,925
4/18/2020,741
4/19/2020,412
4/20/2020,1853
4/21/2020,545
4/22/2020,2109
4/23/2020,631
4/24/2020,821
4/25/2020,661
4/26/2020,687
4/27/2020,728
4/28/2020,315
4/29/2020,455
4/30/2020,933
5/1/2020,1064
5/2/2020,523
5/3/2020,25
5/4/2020,661
5/5/2020,648
5/6/2020,374
5/7/2020,789
5/8/2020,627
5/9/2020,573
5/10/2020,570
5/11/2020,211
5/12/2020,568
5/13/2020,522
5/14/2020,609
5/15/2020,621
5/16/2020,618
5/17/2020,716
5/18/2020,697
5/19/2020,314
5/20/2020,587
5/21/2020,191
5/22/2020,432
5/23/2020,382
5/24/2020,446
5/25/2020,405
5/26/2020,430
5/27/2020,-15
5/28/2020,271
5/29/2020,203
5/30/2020,260
5/31/2020,179
6/1/2020,539
6/2/2020,239
6/3/2020,112
6/4/2020,148
6/5/2020,221
6/6/2020,358
6/7/2020,150
6/8/2020,124
6/9/2020,87
6/10/2020,168
6/11/2020,114
6/12/2020,228
6/13/2020,305
6/14/2020,94
6/15/2020,147
6/16/2020,114
6/17/2020,80
6/18/2020,11
6/19/2020,117
6/20/2020,158
6/21/2020,40
6/22/2020,27
6/23/2020,117
6/24/2020,14
6/25/2020,81
6/26/2020,65
6/27/2020,147
6/28/2020,97
6/29/2020,59
6/30/2020,152
7/1/2020,58
7/2/2020,74
7/3/2020,71
7/4/2020,0
7/5/2020,0
7/6/2020,259
7/7/2020,57
7/8/2020,75
7/9/2020,101
7/10/2020,78
7/11/2020,0
7/12/2020,0
7/13/2020,223
7/14/2020,20
7/15/2020,106
7/16/2020,114
7/17/2020,143
7/18/2020,0
7/19/2020,0
7/20/2020,162
7/21/2020,41
7/22/2020,127
7/23/2020,9
7/24/2020,544
7/25/2020,0
7/26/2020,0
7/27/2020,207
7/28/2020,94
7/29/2020,463
7/30/2020,130
7/31/2020,140
8/1/2020,0
8/2/2020,0
8/3/2020,252
8/4/2020,48
8/5/2020,115
8/6/2020,20
8/7/2020,75
8/8/2020,0
8/9/2020,0
8/10/2020,247
8/11/2020,117
8/12/2020,22
