date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,2
3/1/2020,0
3/2/2020,1
3/3/2020,2
3/4/2020,2
3/5/2020,-5
3/6/2020,6
3/7/2020,3
3/8/2020,6
3/9/2020,9
3/10/2020,13
3/11/2020,16
3/12/2020,33
3/13/2020,27
3/14/2020,24
3/15/2020,52
3/16/2020,49
3/17/2020,43
3/18/2020,95
3/19/2020,115
3/20/2020,122
3/21/2020,86
3/22/2020,155
3/23/2020,221
3/24/2020,182
3/25/2020,281
3/26/2020,303
3/27/2020,524
3/28/2020,225
3/29/2020,243
3/30/2020,389
3/31/2020,1012
4/1/2020,570
4/2/2020,637
4/3/2020,488
4/4/2020,422
4/5/2020,296
4/6/2020,739
4/7/2020,1562
4/8/2020,1130
4/9/2020,613
4/10/2020,934
4/11/2020,419
4/12/2020,157
4/13/2020,1086
4/14/2020,844
4/15/2020,686
4/16/2020,989
4/17/2020,908
4/18/2020,352
4/19/2020,505
4/20/2020,843
4/21/2020,612
4/22/2020,897
4/23/2020,931
4/24/2020,681
4/25/2020,686
4/26/2020,271
4/27/2020,774
4/28/2020,582
4/29/2020,854
4/30/2020,537
5/1/2020,935
5/2/2020,381
5/3/2020,284
5/4/2020,753
5/5/2020,602
5/6/2020,802
5/7/2020,821
5/8/2020,544
5/9/2020,307
5/10/2020,876
5/11/2020,459
5/12/2020,768
5/13/2020,558
5/14/2020,326
5/15/2020,613
5/16/2020,562
5/17/2020,623
5/18/2020,662
5/19/2020,772
5/20/2020,780
5/21/2020,687
5/22/2020,1031
5/23/2020,979
5/24/2020,724
5/25/2020,532
5/26/2020,350
5/27/2020,709
5/28/2020,838
5/29/2020,626
5/30/2020,738
5/31/2020,729
6/1/2020,889
6/2/2020,578
6/3/2020,723
6/4/2020,942
6/5/2020,799
6/6/2020,583
6/7/2020,524
6/8/2020,648
6/9/2020,808
6/10/2020,804
6/11/2020,1101
6/12/2020,963
6/13/2020,1043
6/14/2020,852
6/15/2020,851
6/16/2020,870
6/17/2020,1094
6/18/2020,1023
6/19/2020,1267
6/20/2020,1814
6/21/2020,885
6/22/2020,1271
6/23/2020,1860
6/24/2020,1835
6/25/2020,1743
6/26/2020,2076
6/27/2020,1952
6/28/2020,2186
6/29/2020,2105
6/30/2020,1976
7/1/2020,3011
7/2/2020,3545
7/3/2020,2811
7/4/2020,2728
7/5/2020,2120
7/6/2020,1642
7/7/2020,3466
7/8/2020,3495
7/9/2020,2838
7/10/2020,4623
7/11/2020,3201
7/12/2020,2571
7/13/2020,3790
7/14/2020,3573
7/15/2020,4102
7/16/2020,3676
7/17/2020,4233
7/18/2020,4743
7/19/2020,3193
7/20/2020,2766
7/21/2020,3732
7/22/2020,3547
7/23/2020,4532
7/24/2020,5023
7/25/2020,3822
7/26/2020,2740
7/27/2020,3077
7/28/2020,4399
7/29/2020,3567
7/30/2020,4183
7/31/2020,4308
8/1/2020,3732
8/2/2020,3162
8/3/2020,2538
8/4/2020,2742
8/5/2020,3888
8/6/2020,3364
