date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,0
3/8/2020,1
3/9/2020,1
3/10/2020,2
3/11/2020,4
3/12/2020,3
3/13/2020,0
3/14/2020,0
3/15/2020,7
3/16/2020,5
3/17/2020,6
3/18/2020,9
3/19/2020,17
3/20/2020,23
3/21/2020,47
3/22/2020,75
3/23/2020,58
3/24/2020,106
3/25/2020,112
3/26/2020,168
3/27/2020,336
3/28/2020,251
3/29/2020,282
3/30/2020,272
3/31/2020,373
4/1/2020,406
4/2/2020,474
4/3/2020,418
4/4/2020,496
4/5/2020,458
4/6/2020,533
4/7/2020,563
4/8/2020,436
4/9/2020,408
4/10/2020,556
4/11/2020,528
4/12/2020,493
4/13/2020,308
4/14/2020,291
4/15/2020,428
4/16/2020,587
4/17/2020,612
4/18/2020,487
4/19/2020,569
4/20/2020,476
4/21/2020,411
4/22/2020,341
4/23/2020,601
4/24/2020,641
4/25/2020,715
4/26/2020,617
4/27/2020,949
4/28/2020,627
4/29/2020,594
4/30/2020,653
5/1/2020,795
5/2/2020,665
5/3/2020,638
5/4/2020,574
5/5/2020,526
5/6/2020,837
5/7/2020,633
5/8/2020,643
5/9/2020,586
5/10/2020,394
5/11/2020,501
5/12/2020,500
5/13/2020,346
5/14/2020,580
5/15/2020,602
5/16/2020,625
5/17/2020,498
5/18/2020,477
5/19/2020,450
5/20/2020,569
5/21/2020,662
5/22/2020,473
5/23/2020,492
5/24/2020,475
5/25/2020,339
5/26/2020,363
5/27/2020,359
5/28/2020,631
5/29/2020,490
5/30/2020,653
5/31/2020,363
6/1/2020,256
6/2/2020,407
6/3/2020,475
6/4/2020,384
6/5/2020,482
6/6/2020,419
6/7/2020,400
6/8/2020,226
6/9/2020,410
6/10/2020,304
6/11/2020,411
6/12/2020,398
6/13/2020,397
6/14/2020,366
6/15/2020,521
6/16/2020,356
6/17/2020,227
6/18/2020,425
6/19/2020,308
6/20/2020,315
6/21/2020,362
6/22/2020,210
6/23/2020,238
6/24/2020,269
6/25/2020,515
6/26/2020,485
6/27/2020,435
6/28/2020,355
6/29/2020,298
6/30/2020,366
7/1/2020,358
7/2/2020,435
7/3/2020,528
7/4/2020,517
7/5/2020,576
7/6/2020,323
7/7/2020,295
7/8/2020,437
7/9/2020,512
7/10/2020,725
7/11/2020,779
7/12/2020,533
7/13/2020,425
7/14/2020,648
7/15/2020,685
7/16/2020,710
7/17/2020,733
7/18/2020,841
7/19/2020,917
7/20/2020,635
7/21/2020,710
7/22/2020,757
7/23/2020,929
7/24/2020,996
7/25/2020,922
7/26/2020,852
7/27/2020,535
7/28/2020,771
7/29/2020,621
7/30/2020,954
7/31/2020,901
8/1/2020,968
8/2/2020,735
8/3/2020,576
8/4/2020,822
8/5/2020,720
8/6/2020,1040
8/7/2020,1239
8/8/2020,1033
8/9/2020,1041
8/10/2020,664
8/11/2020,870
8/12/2020,660
