date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,3
3/13/2020,2
3/14/2020,1
3/15/2020,1
3/16/2020,3
3/17/2020,5
3/18/2020,5
3/19/2020,14
3/20/2020,9
3/21/2020,11
3/22/2020,9
3/23/2020,18
3/24/2020,16
3/25/2020,0
3/26/2020,70
3/27/2020,34
3/28/2020,59
3/29/2020,58
3/30/2020,49
3/31/2020,60
4/1/2020,54
4/2/2020,70
4/3/2020,68
4/4/2020,78
4/5/2020,115
4/6/2020,32
4/7/2020,55
4/8/2020,176
4/9/2020,30
4/10/2020,135
4/11/2020,38
4/12/2020,98
4/13/2020,-1
4/14/2020,101
4/15/2020,17
4/16/2020,94
4/17/2020,172
4/18/2020,51
4/19/2020,38
4/20/2020,137
4/21/2020,39
4/22/2020,186
4/23/2020,271
4/24/2020,295
4/25/2020,279
4/26/2020,118
4/27/2020,154
4/28/2020,163
4/29/2020,247
4/30/2020,500
5/1/2020,211
5/2/2020,297
5/3/2020,284
5/4/2020,215
5/5/2020,213
5/6/2020,276
5/7/2020,410
5/8/2020,357
5/9/2020,250
5/10/2020,233
5/11/2020,132
5/12/2020,0
5/13/2020,352
5/14/2020,0
5/15/2020,418
5/16/2020,0
5/17/2020,0
5/18/2020,454
5/19/2020,0
5/20/2020,199
5/21/2020,0
5/22/2020,419
5/23/2020,0
5/24/2020,0
5/25/2020,260
5/26/2020,0
5/27/2020,119
5/28/2020,0
5/29/2020,382
5/30/2020,0
5/31/2020,0
6/1/2020,292
6/2/2020,0
6/3/2020,159
6/4/2020,0
6/5/2020,223
6/6/2020,0
6/7/2020,0
6/8/2020,257
6/9/2020,0
6/10/2020,162
6/11/2020,0
6/12/2020,235
6/13/2020,0
6/14/2020,0
6/15/2020,372
6/16/2020,0
6/17/2020,262
6/18/2020,0
6/19/2020,378
6/20/2020,0
6/21/2020,0
6/22/2020,406
6/23/2020,0
6/24/2020,505
6/25/2020,0
6/26/2020,568
6/27/2020,0
6/28/2020,0
6/29/2020,905
6/30/2020,0
7/1/2020,547
7/2/2020,0
7/3/2020,929
7/4/2020,0
7/5/2020,0
7/6/2020,982
7/7/2020,0
7/8/2020,717
7/9/2020,0
7/10/2020,993
7/11/2020,0
7/12/2020,0
7/13/2020,1447
7/14/2020,0
7/15/2020,875
7/16/2020,0
7/17/2020,1032
7/18/2020,0
7/19/2020,0
7/20/2020,1369
7/21/2020,0
7/22/2020,770
7/23/2020,0
7/24/2020,1005
7/25/2020,0
7/26/2020,0
7/27/2020,1063
7/28/2020,0
7/29/2020,698
7/30/2020,0
7/31/2020,942
8/1/2020,0
8/2/2020,0
8/3/2020,1064
8/4/2020,0
8/5/2020,841
8/6/2020,0
8/7/2020,921
8/8/2020,0
8/9/2020,0
8/10/2020,1092
8/11/2020,0
8/12/2020,817
