date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,2
3/7/2020,0
3/8/2020,0
3/9/2020,2
3/10/2020,3
3/11/2020,2
3/12/2020,3
3/13/2020,5
3/14/2020,11
3/15/2020,9
3/16/2020,7
3/17/2020,11
3/18/2020,18
3/19/2020,30
3/20/2020,23
3/21/2020,19
3/22/2020,19
3/23/2020,81
3/24/2020,50
3/25/2020,71
3/26/2020,41
3/27/2020,106
3/28/2020,68
3/29/2020,28
3/30/2020,102
3/31/2020,130
4/1/2020,113
4/2/2020,148
4/3/2020,99
4/4/2020,103
4/5/2020,70
4/6/2020,124
4/7/2020,175
4/8/2020,135
4/9/2020,68
4/10/2020,82
4/11/2020,94
4/12/2020,75
4/13/2020,124
4/14/2020,124
4/15/2020,104
4/16/2020,97
4/17/2020,114
4/18/2020,126
4/19/2020,137
4/20/2020,100
4/21/2020,213
4/22/2020,157
4/23/2020,179
4/24/2020,211
4/25/2020,202
4/26/2020,132
4/27/2020,127
4/28/2020,254
4/29/2020,208
4/30/2020,311
5/1/2020,232
5/2/2020,135
5/3/2020,124
5/4/2020,274
5/5/2020,233
5/6/2020,180
5/7/2020,186
5/8/2020,182
5/9/2020,124
5/10/2020,108
5/11/2020,196
5/12/2020,274
5/13/2020,202
5/14/2020,277
5/15/2020,242
5/16/2020,104
5/17/2020,112
5/18/2020,191
5/19/2020,199
5/20/2020,164
5/21/2020,182
5/22/2020,158
5/23/2020,132
5/24/2020,18
5/25/2020,173
5/26/2020,155
5/27/2020,171
5/28/2020,291
5/29/2020,163
5/30/2020,104
5/31/2020,136
6/1/2020,227
6/2/2020,245
6/3/2020,188
6/4/2020,264
6/5/2020,281
6/6/2020,76
6/7/2020,120
6/8/2020,260
6/9/2020,202
6/10/2020,70
6/11/2020,291
6/12/2020,281
6/13/2020,94
6/14/2020,185
6/15/2020,237
6/16/2020,210
6/17/2020,254
6/18/2020,251
6/19/2020,259
6/20/2020,126
6/21/2020,110
6/22/2020,244
6/23/2020,258
6/24/2020,322
6/25/2020,287
6/26/2020,363
6/27/2020,103
6/28/2020,181
6/29/2020,349
6/30/2020,267
7/1/2020,360
7/2/2020,448
7/3/2020,334
7/4/2020,228
7/5/2020,251
7/6/2020,403
7/7/2020,529
7/8/2020,428
7/9/2020,616
7/10/2020,669
7/11/2020,551
7/12/2020,288
7/13/2020,546
7/14/2020,544
7/15/2020,687
7/16/2020,690
7/17/2020,620
7/18/2020,958
7/19/2020,335
7/20/2020,534
7/21/2020,810
7/22/2020,721
7/23/2020,903
7/24/2020,823
7/25/2020,425
7/26/2020,303
7/27/2020,615
7/28/2020,545
7/29/2020,700
7/30/2020,859
7/31/2020,664
8/1/2020,398
8/2/2020,398
8/3/2020,760
8/4/2020,661
8/5/2020,724
8/6/2020,719
8/7/2020,820
8/8/2020,330
8/9/2020,170
8/10/2020,1016
8/11/2020,814
8/12/2020,872
8/13/2020,851
