date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,6
3/5/2020,2
3/6/2020,12
3/7/2020,8
3/8/2020,11
3/9/2020,35
3/10/2020,25
3/11/2020,23
3/12/2020,35
3/13/2020,37
3/14/2020,41
3/15/2020,71
3/16/2020,96
3/17/2020,80
3/18/2020,112
3/19/2020,95
3/20/2020,125
3/21/2020,98
3/22/2020,92
3/23/2020,165
3/24/2020,138
3/25/2020,132
3/26/2020,120
3/27/2020,165
3/28/2020,102
3/29/2020,102
3/30/2020,163
3/31/2020,151
4/1/2020,154
4/2/2020,154
4/3/2020,157
4/4/2020,143
4/5/2020,127
4/6/2020,204
4/7/2020,136
4/8/2020,178
4/9/2020,185
4/10/2020,180
4/11/2020,146
4/12/2020,140
4/13/2020,217
4/14/2020,219
4/15/2020,238
4/16/2020,192
4/17/2020,216
4/18/2020,172
4/19/2020,181
4/20/2020,314
4/21/2020,261
4/22/2020,279
4/23/2020,235
4/24/2020,277
4/25/2020,193
4/26/2020,172
4/27/2020,318
4/28/2020,282
4/29/2020,301
4/30/2020,247
5/1/2020,283
5/2/2020,194
5/3/2020,148
5/4/2020,309
5/5/2020,294
5/6/2020,379
5/7/2020,273
5/8/2020,274
5/9/2020,167
5/10/2020,198
5/11/2020,362
5/12/2020,308
5/13/2020,276
5/14/2020,269
5/15/2020,339
5/16/2020,223
5/17/2020,174
5/18/2020,372
5/19/2020,304
5/20/2020,339
5/21/2020,357
5/22/2020,321
5/23/2020,239
5/24/2020,255
5/25/2020,299
5/26/2020,402
5/27/2020,383
5/28/2020,446
5/29/2020,349
5/30/2020,228
5/31/2020,223
6/1/2020,376
6/2/2020,322
6/3/2020,334
6/4/2020,255
6/5/2020,378
6/6/2020,249
6/7/2020,224
6/8/2020,428
6/9/2020,448
6/10/2020,494
6/11/2020,460
6/12/2020,502
6/13/2020,357
6/14/2020,313
6/15/2020,555
6/16/2020,560
6/17/2020,521
6/18/2020,569
6/19/2020,557
6/20/2020,435
6/21/2020,366
6/22/2020,772
6/23/2020,817
6/24/2020,864
6/25/2020,815
6/26/2020,824
6/27/2020,502
6/28/2020,396
6/29/2020,889
6/30/2020,807
7/1/2020,864
7/2/2020,714
7/3/2020,711
7/4/2020,436
7/5/2020,523
7/6/2020,1455
7/7/2020,1125
7/8/2020,1083
7/9/2020,1180
7/10/2020,988
7/11/2020,609
7/12/2020,607
7/13/2020,1371
7/14/2020,1257
7/15/2020,1356
7/16/2020,1427
7/17/2020,1216
7/18/2020,864
7/19/2020,683
7/20/2020,1476
7/21/2020,1393
7/22/2020,1276
7/23/2020,1137
7/24/2020,1203
7/25/2020,587
7/26/2020,583
7/27/2020,1197
7/28/2020,1173
7/29/2020,1204
7/30/2020,1265
7/31/2020,981
8/1/2020,707
8/2/2020,521
8/3/2020,1037
8/4/2020,935
8/5/2020,680
8/6/2020,951
8/7/2020,695
8/8/2020,703
8/9/2020,440
8/10/2020,872
8/11/2020,771
