date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,1
3/4/2020,0
3/5/2020,1
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,4
3/10/2020,0
3/11/2020,5
3/12/2020,11
3/13/2020,15
3/14/2020,57
3/15/2020,9
3/16/2020,14
3/17/2020,103
3/18/2020,109
3/19/2020,152
3/20/2020,161
3/21/2020,164
3/22/2020,76
3/23/2020,73
3/24/2020,235
3/25/2020,176
3/26/2020,198
3/27/2020,197
3/28/2020,167
3/29/2020,100
3/30/2020,75
3/31/2020,210
4/1/2020,212
4/2/2020,239
4/3/2020,222
4/4/2020,203
4/5/2020,114
4/6/2020,86
4/7/2020,399
4/8/2020,264
4/9/2020,285
4/10/2020,327
4/11/2020,317
4/12/2020,172
4/13/2020,112
4/14/2020,282
4/15/2020,284
4/16/2020,377
4/17/2020,541
4/18/2020,258
4/19/2020,139
4/20/2020,121
4/21/2020,438
4/22/2020,463
4/23/2020,437
4/24/2020,507
4/25/2020,576
4/26/2020,255
4/27/2020,120
4/28/2020,559
4/29/2020,432
4/30/2020,436
5/1/2020,461
5/2/2020,450
5/3/2020,182
5/4/2020,172
5/5/2020,688
5/6/2020,551
5/7/2020,712
5/8/2020,621
5/9/2020,543
5/10/2020,193
5/11/2020,117
5/12/2020,765
5/13/2020,679
5/14/2020,711
5/15/2020,758
5/16/2020,704
5/17/2020,285
5/18/2020,193
5/19/2020,1062
5/20/2020,965
5/21/2020,836
5/22/2020,861
5/23/2020,746
5/24/2020,340
5/25/2020,258
5/26/2020,369
5/27/2020,1365
5/28/2020,994
5/29/2020,1015
5/30/2020,1112
5/31/2020,443
6/1/2020,332
6/2/2020,1504
6/3/2020,1265
6/4/2020,1437
6/5/2020,1346
6/6/2020,1320
6/7/2020,482
6/8/2020,435
6/9/2020,1654
6/10/2020,1546
6/11/2020,1447
6/12/2020,1431
6/13/2020,1435
6/14/2020,686
6/15/2020,545
6/16/2020,1690
6/17/2020,1583
6/18/2020,1709
6/19/2020,1768
6/20/2020,1616
6/21/2020,758
6/22/2020,698
6/23/2020,2029
6/24/2020,2088
6/25/2020,1903
6/26/2020,1955
6/27/2020,1970
6/28/2020,933
6/29/2020,1038
6/30/2020,2522
7/1/2020,2306
7/2/2020,2070
7/3/2020,2033
7/4/2020,1354
7/5/2020,589
7/6/2020,763
7/7/2020,2543
7/8/2020,2812
7/9/2020,2557
7/10/2020,2178
7/11/2020,2150
7/12/2020,994
7/13/2020,863
7/14/2020,2496
7/15/2020,2499
7/16/2020,2266
7/17/2020,2120
7/18/2020,1958
7/19/2020,964
7/20/2020,818
7/21/2020,2367
7/22/2020,2333
7/23/2020,2070
7/24/2020,1875
7/25/2020,2002
7/26/2020,893
7/27/2020,722
7/28/2020,2181
7/29/2020,2070
7/30/2020,1909
7/31/2020,1848
8/1/2020,1757
8/2/2020,785
8/3/2020,729
8/4/2020,1996
8/5/2020,1590
8/6/2020,1769
8/7/2020,1545
