date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,1
3/3/2020,1
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,2
3/9/2020,0
3/10/2020,1
3/11/2020,0
3/12/2020,1
3/13/2020,0
3/14/2020,0
3/15/2020,7
3/16/2020,4
3/17/2020,9
3/18/2020,13
3/19/2020,5
3/20/2020,11
3/21/2020,10
3/22/2020,13
3/23/2020,23
3/24/2020,7
3/25/2020,29
3/26/2020,21
3/27/2020,29
3/28/2020,27
3/29/2020,44
3/30/2020,56
3/31/2020,53
4/1/2020,48
4/2/2020,64
4/3/2020,61
4/4/2020,81
4/5/2020,48
4/6/2020,46
4/7/2020,32
4/8/2020,41
4/9/2020,31
4/10/2020,66
4/11/2020,44
4/12/2020,56
4/13/2020,35
4/14/2020,71
4/15/2020,48
4/16/2020,72
4/17/2020,76
4/18/2020,55
4/19/2020,50
4/20/2020,55
4/21/2020,44
4/22/2020,97
4/23/2020,82
4/24/2020,50
4/25/2020,67
4/26/2020,77
4/27/2020,74
4/28/2020,72
4/29/2020,44
4/30/2020,92
5/1/2020,164
5/2/2020,119
5/3/2020,89
5/4/2020,70
5/5/2020,48
5/6/2020,104
5/7/2020,103
5/8/2020,104
5/9/2020,64
5/10/2020,60
5/11/2020,89
5/12/2020,79
5/13/2020,60
5/14/2020,83
5/15/2020,82
5/16/2020,92
5/17/2020,40
5/18/2020,56
5/19/2020,69
5/20/2020,147
5/21/2020,67
5/22/2020,79
5/23/2020,75
5/24/2020,60
5/25/2020,48
5/26/2020,34
5/27/2020,55
5/28/2020,100
5/29/2020,106
5/30/2020,53
5/31/2020,106
6/1/2020,34
6/2/2020,64
6/3/2020,46
6/4/2020,81
6/5/2020,77
6/6/2020,66
6/7/2020,24
6/8/2020,36
6/9/2020,53
6/10/2020,46
6/11/2020,31
6/12/2020,42
6/13/2020,48
6/14/2020,19
6/15/2020,27
6/16/2020,19
6/17/2020,72
6/18/2020,14
6/19/2020,0
6/20/2020,68
6/21/2020,26
6/22/2020,14
6/23/2020,13
6/24/2020,27
6/25/2020,40
6/26/2020,0
6/27/2020,33
6/28/2020,76
6/29/2020,13
6/30/2020,22
7/1/2020,20
7/2/2020,20
7/3/2020,0
7/4/2020,35
7/5/2020,40
7/6/2020,17
7/7/2020,18
7/8/2020,20
7/9/2020,21
7/10/2020,18
7/11/2020,33
7/12/2020,30
7/13/2020,14
7/14/2020,23
7/15/2020,22
7/16/2020,26
7/17/2020,26
7/18/2020,23
7/19/2020,15
7/20/2020,46
7/21/2020,13
7/22/2020,33
7/23/2020,23
7/24/2020,57
7/25/2020,40
7/26/2020,21
7/27/2020,5
7/28/2020,59
7/29/2020,13
7/30/2020,31
7/31/2020,39
8/1/2020,30
8/2/2020,21
8/3/2020,26
8/4/2020,33
8/5/2020,26
8/6/2020,23
8/7/2020,37
8/8/2020,39
8/9/2020,13
8/10/2020,9
8/11/2020,21
8/12/2020,26
8/13/2020,34
