date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,1
3/5/2020,11
3/6/2020,9
3/7/2020,7
3/8/2020,0
3/9/2020,97
3/10/2020,12
3/11/2020,27
3/12/2020,66
3/13/2020,37
3/14/2020,44
3/15/2020,89
3/16/2020,87
3/17/2020,243
3/18/2020,313
3/19/2020,640
3/20/2020,1011
3/21/2020,1451
3/22/2020,1978
3/23/2020,2447
3/24/2020,2191
3/25/2020,2194
3/26/2020,2910
3/27/2020,3372
3/28/2020,3315
3/29/2020,3193
3/30/2020,3299
3/31/2020,3612
4/1/2020,3617
4/2/2020,4299
4/3/2020,5132
4/4/2020,4694
4/5/2020,4082
4/6/2020,3708
4/7/2020,3709
4/8/2020,5616
4/9/2020,5397
4/10/2020,5218
4/11/2020,4022
4/12/2020,3336
4/13/2020,2782
4/14/2020,3475
4/15/2020,3734
4/16/2020,3661
4/17/2020,3152
4/18/2020,3258
4/19/2020,2802
4/20/2020,2356
4/21/2020,1659
4/22/2020,2419
4/23/2020,2821
4/24/2020,3512
4/25/2020,5913
4/26/2020,2757
4/27/2020,1720
4/28/2020,1261
4/29/2020,2082
4/30/2020,2044
5/1/2020,1730
5/2/2020,1999
5/3/2020,1461
5/4/2020,1218
5/5/2020,1016
5/6/2020,1309
5/7/2020,1626
5/8/2020,1371
5/9/2020,1209
5/10/2020,1145
5/11/2020,720
5/12/2020,664
5/13/2020,1049
5/14/2020,1095
5/15/2020,950
5/16/2020,1176
5/17/2020,896
5/18/2020,613
5/19/2020,883
5/20/2020,796
5/21/2020,963
5/22/2020,887
5/23/2020,990
5/24/2020,732
5/25/2020,641
5/26/2020,502
5/27/2020,462
5/28/2020,685
5/29/2020,603
5/30/2020,624
5/31/2020,558
6/1/2020,480
6/2/2020,716
6/3/2020,550
6/4/2020,514
6/5/2020,541
6/6/2020,537
6/7/2020,323
6/8/2020,318
6/9/2020,343
6/10/2020,249
6/11/2020,337
6/12/2020,385
6/13/2020,377
6/14/2020,309
6/15/2020,239
6/16/2020,299
6/17/2020,217
6/18/2020,299
6/19/2020,386
6/20/2020,325
6/21/2020,279
6/22/2020,257
6/23/2020,282
6/24/2020,289
6/25/2020,398
6/26/2020,434
6/27/2020,339
6/28/2020,300
6/29/2020,202
6/30/2020,284
7/1/2020,329
7/2/2020,448
7/3/2020,458
7/4/2020,358
7/5/2020,294
7/6/2020,271
7/7/2020,316
7/8/2020,403
7/9/2020,309
7/10/2020,435
7/11/2020,423
7/12/2020,336
7/13/2020,307
7/14/2020,597
7/15/2020,465
7/16/2020,384
7/17/2020,409
7/18/2020,367
7/19/2020,204
7/20/2020,235
7/21/2020,464
7/22/2020,355
7/23/2020,423
7/24/2020,393
7/25/2020,410
7/26/2020,307
7/27/2020,318
7/28/2020,336
7/29/2020,413
7/30/2020,465
7/31/2020,359
8/1/2020,441
8/2/2020,268
8/3/2020,304
8/4/2020,430
8/5/2020,335
8/6/2020,370
8/7/2020,370
