date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,2
3/8/2020,3
3/9/2020,3
3/10/2020,4
3/11/2020,5
3/12/2020,8
3/13/2020,9
3/14/2020,18
3/15/2020,13
3/16/2020,15
3/17/2020,29
3/18/2020,43
3/19/2020,66
3/20/2020,99
3/21/2020,115
3/22/2020,116
3/23/2020,150
3/24/2020,244
3/25/2020,259
3/26/2020,548
3/27/2020,539
3/28/2020,561
3/29/2020,637
3/30/2020,695
3/31/2020,778
4/1/2020,993
4/2/2020,1132
4/3/2020,1387
4/4/2020,1704
4/5/2020,1437
4/6/2020,1492
4/7/2020,1559
4/8/2020,1807
4/9/2020,2033
4/10/2020,1817
4/11/2020,1763
4/12/2020,1180
4/13/2020,1311
4/14/2020,1096
4/15/2020,1233
4/16/2020,1326
4/17/2020,1824
4/18/2020,1791
4/19/2020,1311
4/20/2020,943
4/21/2020,1246
4/22/2020,1296
4/23/2020,1824
4/24/2020,1815
4/25/2020,1433
4/26/2020,1328
4/27/2020,952
4/28/2020,1398
4/29/2020,1147
4/30/2020,1597
5/1/2020,1463
5/2/2020,1403
5/3/2020,1073
5/4/2020,939
5/5/2020,871
5/6/2020,961
5/7/2020,1131
5/8/2020,1478
5/9/2020,1164
5/10/2020,1457
5/11/2020,574
5/12/2020,806
5/13/2020,759
5/14/2020,983
5/15/2020,1047
5/16/2020,1048
5/17/2020,672
5/18/2020,826
5/19/2020,580
5/20/2020,813
5/21/2020,936
5/22/2020,943
5/23/2020,777
5/24/2020,701
5/25/2020,530
5/26/2020,456
5/27/2020,783
5/28/2020,653
5/29/2020,726
5/30/2020,724
5/31/2020,529
6/1/2020,404
6/2/2020,606
6/3/2020,538
6/4/2020,555
6/5/2020,473
6/6/2020,775
6/7/2020,436
6/8/2020,369
6/9/2020,504
6/10/2020,440
6/11/2020,538
6/12/2020,685
6/13/2020,446
6/14/2020,349
6/15/2020,354
6/16/2020,353
6/17/2020,367
6/18/2020,449
6/19/2020,551
6/20/2020,491
6/21/2020,470
6/22/2020,459
6/23/2020,526
6/24/2020,496
6/25/2020,593
6/26/2020,618
6/27/2020,629
6/28/2020,496
6/29/2020,556
6/30/2020,588
7/1/2020,658
7/2/2020,849
7/3/2020,792
7/4/2020,635
7/5/2020,537
7/6/2020,512
7/7/2020,905
7/8/2020,907
7/9/2020,735
7/10/2020,914
7/11/2020,815
7/12/2020,650
7/13/2020,412
7/14/2020,917
7/15/2020,1087
7/16/2020,818
7/17/2020,1041
7/18/2020,825
7/19/2020,744
7/20/2020,751
7/21/2020,1050
7/22/2020,810
7/23/2020,837
7/24/2020,1227
7/25/2020,1106
7/26/2020,859
7/27/2020,751
7/28/2020,1116
7/29/2020,808
7/30/2020,932
7/31/2020,1017
8/1/2020,916
8/2/2020,655
8/3/2020,576
8/4/2020,882
8/5/2020,754
8/6/2020,815
8/7/2020,799
8/8/2020,831
