date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,2
3/11/2020,0
3/12/2020,0
3/13/2020,0
3/14/2020,3
3/15/2020,3
3/16/2020,0
3/17/2020,9
3/18/2020,7
3/19/2020,6
3/20/2020,5
3/21/2020,14
3/22/2020,12
3/23/2020,10
3/24/2020,34
3/25/2020,48
3/26/2020,43
3/27/2020,60
3/28/2020,50
3/29/2020,24
3/30/2020,12
3/31/2020,88
4/1/2020,58
4/2/2020,75
4/3/2020,52
4/4/2020,50
4/5/2020,15
4/6/2020,3
4/7/2020,49
4/8/2020,33
4/9/2020,27
4/10/2020,34
4/11/2020,3
4/12/2020,12
4/13/2020,4
4/14/2020,27
4/15/2020,23
4/16/2020,32
4/17/2020,26
4/18/2020,21
4/19/2020,9
4/20/2020,2
4/21/2020,20
4/22/2020,21
4/23/2020,27
4/24/2020,17
4/25/2020,17
4/26/2020,1
4/27/2020,3
4/28/2020,16
4/29/2020,17
4/30/2020,19
5/1/2020,21
5/2/2020,11
5/3/2020,6
5/4/2020,3
5/5/2020,5
5/6/2020,23
5/7/2020,19
5/8/2020,16
5/9/2020,25
5/10/2020,4
5/11/2020,0
5/12/2020,15
5/13/2020,14
5/14/2020,10
5/15/2020,9
5/16/2020,11
5/17/2020,2
5/18/2020,2
5/19/2020,8
5/20/2020,8
5/21/2020,13
5/22/2020,6
5/23/2020,11
5/24/2020,3
5/25/2020,2
5/26/2020,5
5/27/2020,5
5/28/2020,9
5/29/2020,20
5/30/2020,28
5/31/2020,2
6/1/2020,1
6/2/2020,26
6/3/2020,17
6/4/2020,9
6/5/2020,11
6/6/2020,10
6/7/2020,6
6/8/2020,2
6/9/2020,12
6/10/2020,12
6/11/2020,14
6/12/2020,12
6/13/2020,17
6/14/2020,11
6/15/2020,7
6/16/2020,17
6/17/2020,21
6/18/2020,15
6/19/2020,21
6/20/2020,15
6/21/2020,4
6/22/2020,1
6/23/2020,26
6/24/2020,44
6/25/2020,31
6/26/2020,49
6/27/2020,45
6/28/2020,15
6/29/2020,3
6/30/2020,85
7/1/2020,89
7/2/2020,80
7/3/2020,119
7/4/2020,144
7/5/2020,14
7/6/2020,15
7/7/2020,195
7/8/2020,244
7/9/2020,212
7/10/2020,240
7/11/2020,324
7/12/2020,131
7/13/2020,48
7/14/2020,454
7/15/2020,368
7/16/2020,422
7/17/2020,338
7/18/2020,287
7/19/2020,97
7/20/2020,64
7/21/2020,322
7/22/2020,296
7/23/2020,305
7/24/2020,304
7/25/2020,273
7/26/2020,73
7/27/2020,56
7/28/2020,310
7/29/2020,293
7/30/2020,253
7/31/2020,90
8/1/2020,365
8/2/2020,121
8/3/2020,43
8/4/2020,414
8/5/2020,474
8/6/2020,391
8/7/2020,380
8/8/2020,455
8/9/2020,166
8/10/2020,39
8/11/2020,422
8/12/2020,431
8/13/2020,442
