date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,1
3/8/2020,3
3/9/2020,1
3/10/2020,0
3/11/2020,2
3/12/2020,5
3/13/2020,3
3/14/2020,4
3/15/2020,2
3/16/2020,13
3/17/2020,5
3/18/2020,19
3/19/2020,17
3/20/2020,46
3/21/2020,52
3/22/2020,48
3/23/2020,22
3/24/2020,104
3/25/2020,43
3/26/2020,83
3/27/2020,32
3/28/2020,83
3/29/2020,129
3/30/2020,113
3/31/2020,147
4/1/2020,161
4/2/2020,219
4/3/2020,255
4/4/2020,150
4/5/2020,222
4/6/2020,139
4/7/2020,185
4/8/2020,198
4/9/2020,139
4/10/2020,251
4/11/2020,266
4/12/2020,142
4/13/2020,116
4/14/2020,123
4/15/2020,129
4/16/2020,95
4/17/2020,267
4/18/2020,159
4/19/2020,161
4/20/2020,138
4/21/2020,66
4/22/2020,181
4/23/2020,143
4/24/2020,147
4/25/2020,174
4/26/2020,256
4/27/2020,151
4/28/2020,151
4/29/2020,110
4/30/2020,117
5/1/2020,203
5/2/2020,160
5/3/2020,199
5/4/2020,141
5/5/2020,121
5/6/2020,92
5/7/2020,94
5/8/2020,204
5/9/2020,233
5/10/2020,175
5/11/2020,107
5/12/2020,139
5/13/2020,147
5/14/2020,132
5/15/2020,200
5/16/2020,245
5/17/2020,308
5/18/2020,159
5/19/2020,159
5/20/2020,135
5/21/2020,156
5/22/2020,230
5/23/2020,279
5/24/2020,272
5/25/2020,207
5/26/2020,100
5/27/2020,335
5/28/2020,219
5/29/2020,183
5/30/2020,324
5/31/2020,409
6/1/2020,361
6/2/2020,266
6/3/2020,266
6/4/2020,242
6/5/2020,433
6/6/2020,494
6/7/2020,521
6/8/2020,381
6/9/2020,541
6/10/2020,455
6/11/2020,496
6/12/2020,689
6/13/2020,873
6/14/2020,838
6/15/2020,766
6/16/2020,615
6/17/2020,577
6/18/2020,594
6/19/2020,996
6/20/2020,1081
6/21/2020,1173
6/22/2020,908
6/23/2020,1013
6/24/2020,914
6/25/2020,1304
6/26/2020,1146
6/27/2020,1291
6/28/2020,1608
6/29/2020,1446
6/30/2020,1333
7/1/2020,1990
7/2/2020,1636
7/3/2020,2270
7/4/2020,1539
7/5/2020,1840
7/6/2020,1465
7/7/2020,1503
7/8/2020,933
7/9/2020,1543
7/10/2020,1968
7/11/2020,1876
7/12/2020,2255
7/13/2020,1908
7/14/2020,1509
7/15/2020,2207
7/16/2020,1857
7/17/2020,1998
7/18/2020,2066
7/19/2020,1553
7/20/2020,2358
7/21/2020,1456
7/22/2020,1975
7/23/2020,1760
7/24/2020,1715
7/25/2020,1936
7/26/2020,1600
7/27/2020,1203
7/28/2020,1221
7/29/2020,1640
7/30/2020,1737
7/31/2020,1749
8/1/2020,1519
8/2/2020,1623
8/3/2020,1209
8/4/2020,1140
8/5/2020,1273
8/6/2020,1292
8/7/2020,1543
8/8/2020,1385
