date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,5
3/11/2020,3
3/12/2020,0
3/13/2020,1
3/14/2020,0
3/15/2020,0
3/16/2020,1
3/17/2020,1
3/18/2020,0
3/19/2020,3
3/20/2020,0
3/21/2020,0
3/22/2020,7
3/23/2020,7
3/24/2020,2
3/25/2020,11
3/26/2020,5
3/27/2020,12
3/28/2020,10
3/29/2020,22
3/30/2020,11
3/31/2020,7
4/1/2020,21
4/2/2020,36
4/3/2020,22
4/4/2020,25
4/5/2020,28
4/6/2020,48
4/7/2020,32
4/8/2020,73
4/9/2020,54
4/10/2020,89
4/11/2020,90
4/12/2020,104
4/13/2020,138
4/14/2020,300
4/15/2020,0
4/16/2020,143
4/17/2020,100
4/18/2020,131
4/19/2020,93
4/20/2020,50
4/21/2020,69
4/22/2020,104
4/23/2020,98
4/24/2020,84
4/25/2020,107
4/26/2020,65
4/27/2020,33
4/28/2020,68
4/29/2020,60
4/30/2020,76
5/1/2020,76
5/2/2020,63
5/3/2020,43
5/4/2020,37
5/5/2020,53
5/6/2020,58
5/7/2020,126
5/8/2020,239
5/9/2020,249
5/10/2020,124
5/11/2020,97
5/12/2020,49
5/13/2020,69
5/14/2020,60
5/15/2020,95
5/16/2020,72
5/17/2020,28
5/18/2020,40
5/19/2020,58
5/20/2020,92
5/21/2020,73
5/22/2020,106
5/23/2020,112
5/24/2020,95
5/25/2020,23
5/26/2020,67
5/27/2020,57
5/28/2020,83
5/29/2020,73
5/30/2020,94
5/31/2020,33
6/1/2020,41
6/2/2020,33
6/3/2020,95
6/4/2020,85
6/5/2020,30
6/6/2020,90
6/7/2020,71
6/8/2020,33
6/9/2020,52
6/10/2020,81
6/11/2020,61
6/12/2020,77
6/13/2020,91
6/14/2020,65
6/15/2020,30
6/16/2020,38
6/17/2020,84
6/18/2020,59
6/19/2020,49
6/20/2020,67
6/21/2020,72
6/22/2020,29
6/23/2020,27
6/24/2020,66
6/25/2020,60
6/26/2020,56
6/27/2020,91
6/28/2020,55
6/29/2020,35
6/30/2020,48
7/1/2020,62
7/2/2020,67
7/3/2020,85
7/4/2020,50
7/5/2020,35
7/6/2020,42
7/7/2020,58
7/8/2020,79
7/9/2020,94
7/10/2020,65
7/11/2020,53
7/12/2020,45
7/13/2020,25
7/14/2020,48
7/15/2020,80
7/16/2020,42
7/17/2020,95
7/18/2020,73
7/19/2020,44
7/20/2020,37
7/21/2020,76
7/22/2020,58
7/23/2020,66
7/24/2020,57
7/25/2020,105
7/26/2020,90
7/27/2020,49
7/28/2020,48
7/29/2020,149
7/30/2020,44
7/31/2020,79
8/1/2020,103
8/2/2020,88
8/3/2020,65
8/4/2020,59
8/5/2020,89
8/6/2020,105
8/7/2020,98
8/8/2020,106
8/9/2020,128
8/10/2020,58
8/11/2020,50
8/12/2020,102
8/13/2020,82
