date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,0
3/10/2020,1
3/11/2020,1
3/12/2020,1
3/13/2020,2
3/14/2020,0
3/15/2020,15
3/16/2020,8
3/17/2020,0
3/18/2020,11
3/19/2020,28
3/20/2020,34
3/21/2020,23
3/22/2020,44
3/23/2020,111
3/24/2020,18
3/25/2020,48
3/26/2020,56
3/27/2020,64
3/28/2020,122
3/29/2020,201
3/30/2020,17
3/31/2020,128
4/1/2020,78
4/2/2020,153
4/3/2020,81
4/4/2020,182
4/5/2020,177
4/6/2020,111
4/7/2020,88
4/8/2020,112
4/9/2020,145
4/10/2020,41
4/11/2020,104
4/12/2020,132
4/13/2020,54
4/14/2020,61
4/15/2020,184
4/16/2020,123
4/17/2020,45
4/18/2020,141
4/19/2020,205
4/20/2020,108
4/21/2020,110
4/22/2020,171
4/23/2020,182
4/24/2020,60
4/25/2020,166
4/26/2020,266
4/27/2020,93
4/28/2020,116
4/29/2020,182
4/30/2020,148
5/1/2020,75
5/2/2020,153
5/3/2020,280
5/4/2020,145
5/5/2020,124
5/6/2020,65
5/7/2020,199
5/8/2020,247
5/9/2020,193
5/10/2020,83
5/11/2020,78
5/12/2020,153
5/13/2020,127
5/14/2020,162
5/15/2020,175
5/16/2020,154
5/17/2020,139
5/18/2020,154
5/19/2020,136
5/20/2020,213
5/21/2020,173
5/22/2020,198
5/23/2020,152
5/24/2020,169
5/25/2020,84
5/26/2020,74
5/27/2020,157
5/28/2020,322
5/29/2020,292
5/30/2020,259
5/31/2020,256
6/1/2020,157
6/2/2020,252
6/3/2020,384
6/4/2020,278
6/5/2020,237
6/6/2020,687
6/7/2020,178
6/8/2020,312
6/9/2020,275
6/10/2020,344
6/11/2020,381
6/12/2020,360
6/13/2020,395
6/14/2020,285
6/15/2020,357
6/16/2020,315
6/17/2020,398
6/18/2020,660
6/19/2020,627
6/20/2020,574
6/21/2020,425
6/22/2020,310
6/23/2020,525
6/24/2020,525
6/25/2020,631
6/26/2020,665
6/27/2020,505
6/28/2020,464
6/29/2020,813
6/30/2020,483
7/1/2020,640
7/2/2020,535
7/3/2020,650
7/4/2020,431
7/5/2020,498
7/6/2020,504
7/7/2020,702
7/8/2020,774
7/9/2020,574
7/10/2020,909
7/11/2020,642
7/12/2020,572
7/13/2020,545
7/14/2020,474
7/15/2020,468
7/16/2020,923
7/17/2020,805
7/18/2020,653
7/19/2020,637
7/20/2020,402
7/21/2020,564
7/22/2020,606
7/23/2020,635
7/24/2020,792
7/25/2020,383
7/26/2020,438
7/27/2020,413
7/28/2020,422
7/29/2020,605
7/30/2020,316
7/31/2020,539
8/1/2020,583
8/2/2020,379
8/3/2020,394
8/4/2020,391
8/5/2020,552
8/6/2020,510
8/7/2020,461
8/8/2020,23
8/9/2020,624
8/10/2020,292
8/11/2020,393
8/12/2020,323
8/13/2020,433
