date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,1
3/13/2020,0
3/14/2020,2
3/15/2020,0
3/16/2020,4
3/17/2020,2
3/18/2020,2
3/19/2020,2
3/20/2020,6
3/21/2020,16
3/22/2020,8
3/23/2020,24
3/24/2020,18
3/25/2020,26
3/26/2020,31
3/27/2020,24
3/28/2020,25
3/29/2020,21
3/30/2020,21
3/31/2020,37
4/1/2020,27
4/2/2020,37
4/3/2020,29
4/4/2020,63
4/5/2020,50
4/6/2020,29
4/7/2020,32
4/8/2020,28
4/9/2020,18
4/10/2020,47
4/11/2020,30
4/12/2020,18
4/13/2020,18
4/14/2020,5
4/15/2020,9
4/16/2020,7
4/17/2020,11
4/18/2020,9
4/19/2020,11
4/20/2020,3
4/21/2020,2
4/22/2020,6
4/23/2020,3
4/24/2020,3
4/25/2020,8
4/26/2020,6
4/27/2020,3
4/28/2020,5
4/29/2020,0
4/30/2020,4
5/1/2020,13
5/2/2020,4
5/3/2020,11
5/4/2020,5
5/5/2020,5
5/6/2020,3
5/7/2020,4
5/8/2020,2
5/9/2020,2
5/10/2020,7
5/11/2020,0
5/12/2020,1
5/13/2020,2
5/14/2020,1
5/15/2020,1
5/16/2020,1
5/17/2020,6
5/18/2020,0
5/19/2020,4
5/20/2020,1
5/21/2020,5
5/22/2020,2
5/23/2020,2
5/24/2020,2
5/25/2020,6
5/26/2020,5
5/27/2020,2
5/28/2020,4
5/29/2020,1
5/30/2020,2
5/31/2020,4
6/1/2020,3
6/2/2020,0
6/3/2020,2
6/4/2020,36
6/5/2020,1
6/6/2020,17
6/7/2020,16
6/8/2020,12
6/9/2020,8
6/10/2020,10
6/11/2020,16
6/12/2020,9
6/13/2020,4
6/14/2020,2
6/15/2020,1
6/16/2020,3
6/17/2020,0
6/18/2020,5
6/19/2020,8
6/20/2020,3
6/21/2020,12
6/22/2020,4
6/23/2020,1
6/24/2020,9
6/25/2020,7
6/26/2020,8
6/27/2020,2
6/28/2020,1
6/29/2020,3
6/30/2020,0
7/1/2020,2
7/2/2020,15
7/3/2020,9
7/4/2020,2
7/5/2020,11
7/6/2020,2
7/7/2020,2
7/8/2020,2
7/9/2020,14
7/10/2020,4
7/11/2020,5
7/12/2020,12
7/13/2020,6
7/14/2020,4
7/15/2020,12
7/16/2020,9
7/17/2020,9
7/18/2020,3
7/19/2020,7
7/20/2020,9
7/21/2020,4
7/22/2020,2
7/23/2020,11
7/24/2020,4
7/25/2020,13
7/26/2020,4
7/27/2020,2
7/28/2020,3
7/29/2020,1
7/30/2020,1
7/31/2020,8
8/1/2020,4
8/2/2020,4
8/3/2020,1
8/4/2020,2
8/5/2020,5
8/6/2020,10
8/7/2020,1
8/8/2020,6
8/9/2020,4
8/10/2020,3
8/11/2020,10
8/12/2020,5
8/13/2020,5
