date,new_cases
10/29/2021,797
10/28/2021,792
10/27/2021,574
10/26/2021,742
10/25/2021,1656
10/24/2021,0
10/23/2021,0
10/22/2021,834
10/21/2021,1000
10/20/2021,805
10/19/2021,694
10/18/2021,691
10/17/2021,691
10/16/2021,691
10/15/2021,968
10/14/2021,959
10/13/2021,1205
10/12/2021,444
10/11/2021,913
10/10/2021,911
10/9/2021,911
10/8/2021,824
10/7/2021,835
10/6/2021,851
10/5/2021,820
10/4/2021,729
10/3/2021,729
10/2/2021,729
10/1/2021,1005
9/30/2021,1237
9/29/2021,968
9/28/2021,664
9/27/2021,1289
9/26/2021,1287
9/25/2021,1287
9/24/2021,1729
9/23/2021,1273
9/22/2021,1220
9/21/2021,830
9/20/2021,687
9/19/2021,686
9/18/2021,686
9/17/2021,870
9/16/2021,1027
9/15/2021,1066
9/14/2021,676
9/13/2021,473
9/12/2021,472
9/11/2021,472
9/10/2021,675
9/9/2021,805
9/8/2021,808
9/7/2021,515
9/6/2021,515
9/5/2021,515
9/4/2021,515
9/3/2021,570
9/2/2021,670
9/1/2021,761
8/31/2021,606
8/30/2021,371
8/29/2021,370
8/28/2021,370
8/27/2021,509
8/26/2021,700
8/25/2021,574
8/24/2021,564
8/23/2021,352
8/22/2021,351
8/21/2021,351
8/20/2021,441
8/19/2021,631
8/18/2021,633
8/17/2021,431
8/16/2021,334
8/15/2021,333
8/14/2021,333
8/13/2021,313
8/12/2021,376
8/11/2021,359
8/10/2021,239
8/9/2021,272
8/8/2021,270
8/7/2021,270
8/6/2021,313
8/5/2021,347
8/4/2021,327
8/3/2021,269
8/2/2021,235
8/1/2021,234
7/31/2021,234
7/30/2021,264
7/29/2021,264
7/28/2021,236
7/27/2021,235
7/26/2021,179
7/25/2021,178
7/24/2021,178
7/23/2021,212
7/22/2021,211
7/21/2021,219
7/20/2021,218
7/19/2021,146
7/18/2021,146
7/17/2021,146
7/16/2021,133
7/15/2021,133
7/14/2021,118
7/13/2021,118
7/12/2021,54
7/11/2021,53
7/10/2021,53
7/9/2021,59
7/8/2021,58
7/7/2021,40
7/6/2021,39
7/5/2021,39
7/4/2021,39
7/3/2021,39
7/2/2021,50
7/1/2021,49
6/30/2021,40
6/29/2021,39
6/28/2021,28
6/27/2021,27
6/26/2021,27
6/25/2021,20
6/24/2021,19
6/23/2021,34
6/22/2021,33
6/21/2021,81
6/20/2021,26
6/19/2021,23
6/18/2021,23
6/17/2021,23
6/16/2021,26
6/15/2021,25
6/14/2021,22
6/13/2021,20
6/12/2021,20
6/11/2021,30
6/10/2021,30
6/9/2021,33
6/8/2021,32
6/7/2021,18
6/6/2021,16
6/5/2021,16
6/4/2021,57
6/3/2021,50
6/2/2021,34
6/1/2021,26
5/31/2021,26
5/30/2021,26
5/29/2021,26
5/28/2021,46
5/27/2021,40
5/26/2021,65
5/25/2021,53
5/24/2021,32
5/23/2021,30
5/22/2021,30
5/21/2021,64
5/20/2021,80
5/19/2021,96
5/18/2021,53
5/17/2021,45
5/16/2021,43
5/15/2021,43
5/14/2021,109
5/13/2021,83
5/12/2021,84
5/11/2021,57
5/10/2021,78
5/9/2021,76
5/8/2021,76
5/7/2021,116
5/6/2021,96
5/5/2021,146
5/4/2021,84
5/3/2021,91
5/2/2021,89
5/1/2021,89
4/30/2021,143
4/29/2021,166
4/28/2021,184
4/27/2021,130
4/26/2021,83
4/25/2021,200
4/24/2021,136
4/23/2021,142
4/22/2021,218
4/21/2021,213
4/20/2021,98
4/19/2021,116
4/18/2021,141
4/17/2021,177
4/16/2021,181
4/15/2021,186
4/14/2021,197
4/13/2021,132
4/12/2021,78
4/11/2021,97
4/10/2021,179
4/9/2021,243
4/8/2021,222
4/7/2021,217
4/6/2021,84
4/5/2021,117
4/4/2021,132
4/3/2021,233
4/2/2021,196
4/1/2021,230
3/31/2021,159
3/30/2021,86
3/29/2021,129
3/28/2021,199
3/27/2021,199
3/26/2021,177
3/25/2021,146
3/24/2021,210
3/23/2021,173
3/22/2021,50
3/21/2021,117
3/20/2021,185
3/19/2021,63
3/18/2021,152
3/17/2021,176
3/16/2021,105
3/15/2021,95
3/14/2021,107
3/13/2021,169
3/12/2021,110
3/11/2021,215
