date,new_cases
10/29/2021,488
10/28/2021,376
10/27/2021,2141
10/26/2021,7393
10/25/2021,943
10/24/2021,113
10/23/2021,167
10/22/2021,320
10/21/2021,446
10/20/2021,494
10/19/2021,554
10/18/2021,733
10/17/2021,384
10/16/2021,375
10/15/2021,633
10/14/2021,733
10/13/2021,779
10/12/2021,869
10/11/2021,974
10/10/2021,565
10/9/2021,561
10/8/2021,832
10/7/2021,938
10/6/2021,1054
10/5/2021,1131
10/4/2021,1451
10/3/2021,721
10/2/2021,757
10/1/2021,1188
9/30/2021,1187
9/29/2021,1292
9/28/2021,1414
9/27/2021,1911
9/26/2021,968
9/25/2021,1025
9/24/2021,1508
9/23/2021,1691
9/22/2021,1867
9/21/2021,2280
9/20/2021,2608
9/19/2021,1267
9/18/2021,1312
9/17/2021,2070
9/16/2021,2270
9/15/2021,2491
9/14/2021,2943
9/13/2021,3558
9/12/2021,1751
9/11/2021,1766
9/10/2021,3027
9/9/2021,3627
9/8/2021,4050
9/7/2021,5255
9/6/2021,2383
9/5/2021,2168
9/4/2021,2191
9/3/2021,3851
9/2/2021,4433
9/1/2021,5075
8/31/2021,5390
8/30/2021,5829
8/29/2021,2695
8/28/2021,2806
8/27/2021,4959
8/26/2021,5340
8/25/2021,5883
8/24/2021,6386
8/23/2021,7004
8/22/2021,3051
8/21/2021,3041
8/20/2021,4844
8/19/2021,5117
8/18/2021,5249
8/17/2021,5570
8/16/2021,5960
8/15/2021,2971
8/14/2021,2867
8/13/2021,4097
8/12/2021,4409
8/11/2021,4622
8/10/2021,4829
8/9/2021,5179
8/8/2021,2841
8/7/2021,2687
8/6/2021,3645
8/5/2021,3928
8/4/2021,3940
8/3/2021,4222
8/2/2021,4539
8/1/2021,2530
7/31/2021,2144
7/30/2021,2886
7/29/2021,3033
7/28/2021,3175
7/27/2021,2912
7/26/2021,3031
7/25/2021,1789
7/24/2021,1600
7/23/2021,2001
7/22/2021,1996
7/21/2021,1733
7/20/2021,1785
7/19/2021,1874
7/18/2021,1036
7/17/2021,916
7/16/2021,1041
7/15/2021,995
7/14/2021,927
7/13/2021,813
7/12/2021,843
7/11/2021,477
7/10/2021,409
7/9/2021,512
7/8/2021,529
7/7/2021,494
7/6/2021,484
7/5/2021,392
7/4/2021,235
7/3/2021,259
7/2/2021,285
7/1/2021,304
6/30/2021,273
6/29/2021,262
6/28/2021,312
6/27/2021,220
6/26/2021,202
6/25/2021,216
6/24/2021,210
6/23/2021,237
6/22/2021,211
6/21/2021,214
6/20/2021,147
6/19/2021,120
6/18/2021,156
6/17/2021,168
6/16/2021,194
6/15/2021,139
6/14/2021,194
6/13/2021,126
6/12/2021,105
6/11/2021,155
6/10/2021,143
6/9/2021,175
6/8/2021,157
6/7/2021,211
6/6/2021,127
6/5/2021,114
6/4/2021,134
6/3/2021,170
6/2/2021,204
6/1/2021,260
5/31/2021,141
5/30/2021,135
5/29/2021,113
5/28/2021,162
5/27/2021,191
5/26/2021,202
5/25/2021,210
5/24/2021,270
5/23/2021,164
5/22/2021,201
5/21/2021,298
5/20/2021,281
5/19/2021,275
5/18/2021,289
5/17/2021,377
5/16/2021,224
5/15/2021,219
5/14/2021,294
5/13/2021,312
5/12/2021,388
5/11/2021,323
5/10/2021,419
5/9/2021,229
5/8/2021,253
5/7/2021,320
5/6/2021,351
5/5/2021,385
5/4/2021,387
5/3/2021,506
5/2/2021,291
5/1/2021,300
4/30/2021,366
4/29/2021,407
4/28/2021,485
4/27/2021,455
4/26/2021,514
4/25/2021,288
4/24/2021,281
4/23/2021,405
4/22/2021,397
4/21/2021,436
4/20/2021,467
4/19/2021,563
4/18/2021,328
4/17/2021,281
4/16/2021,429
4/15/2021,435
4/14/2021,476
4/13/2021,496
4/12/2021,595
4/11/2021,301
4/10/2021,325
4/9/2021,440
4/8/2021,421
4/7/2021,456
4/6/2021,473
4/5/2021,571
4/4/2021,246
4/3/2021,258
4/2/2021,371
4/1/2021,396
3/31/2021,351
3/30/2021,422
3/29/2021,465
3/28/2021,282
3/27/2021,292
3/26/2021,365
3/25/2021,320
3/24/2021,419
3/23/2021,452
3/22/2021,551
3/21/2021,277
3/20/2021,341
3/19/2021,394
3/18/2021,474
3/17/2021,407
3/16/2021,477
3/15/2021,583
3/14/2021,295
3/13/2021,297
3/12/2021,503
3/11/2021,485
3/10/2021,493
3/9/2021,513
3/8/2021,534
3/7/2021,345
3/6/2021,367
3/5/2021,524
3/4/2021,521
