date,new_cases
02/04/2020,0
03/18/2020,13
06/29/2021,479
04/30/2021,196
11/27/2020,1052
07/31/2020,752
06/17/2020,415
03/15/2020,4
12/01/2020,1950
03/08/2021,133
05/05/2020,27
11/26/2020,2348
07/14/2021,1309
09/08/2020,477
05/17/2021,67
03/25/2020,76
04/09/2021,178
11/22/2020,1352
05/22/2020,154
05/25/2020,107
09/16/2020,862
06/21/2021,90
02/05/2021,1824
10/07/2021,893
07/03/2020,547
10/19/2020,531
08/30/2020,478
10/16/2021,562
09/07/2020,348
01/13/2021,2467
03/17/2021,325
02/28/2021,3220
03/01/2021,94
11/03/2020,520
08/21/2021,2520
06/20/2021,222
06/03/2020,249
11/12/2020,1809
08/05/2021,2777
11/29/2020,1221
06/09/2021,201
02/08/2021,637
06/30/2020,520
07/23/2020,1013
02/19/2021,268
07/12/2021,671
01/25/2021,636
09/11/2021,1749
06/21/2020,419
05/04/2020,38
07/30/2021,2544
05/19/2020,110
05/27/2020,97
07/30/2020,791
06/15/2020,416
06/16/2020,274
09/17/2021,1809
03/24/2020,33
05/14/2020,112
03/31/2021,212
09/29/2020,706
03/16/2021,396
03/04/2020,0
06/19/2021,219
04/23/2020,184
08/04/2021,2838
01/14/2021,2491
08/16/2020,673
08/03/2021,2343
06/12/2020,731
02/05/2020,0
01/11/2021,1268
11/18/2020,1715
07/20/2021,1875
04/22/2020,19
02/14/2021,466
05/26/2020,151
02/09/2021,1475
01/24/2021,1071
08/31/2020,368
09/21/2021,1401
07/19/2021,852
04/19/2021,59
08/04/2020,784
08/19/2020,729
05/11/2021,233
07/29/2021,2843
01/15/2021,3124
09/28/2020,807
12/16/2020,2306
04/27/2021,229
07/14/2020,794
10/24/2020,1183
11/28/2020,1349
07/06/2021,270
12/19/2020,2693
04/27/2020,114
04/29/2020,71
03/19/2020,27
10/26/2021,502
04/09/2020,56
09/28/2021,800
07/09/2020,806
07/11/2021,671
01/18/2021,1141
10/06/2021,882
08/02/2020,637
05/07/2020,54
09/03/2020,1392
07/15/2021,980
07/09/2021,1155
09/16/2021,1824
03/21/2021,108
02/20/2021,517
02/13/2021,954
01/27/2020,0
02/28/2020,0
03/29/2021,79
03/16/2020,1
10/12/2021,733
09/22/2021,1463
09/26/2020,809
11/19/2020,2238
08/28/2021,2166
06/04/2021,253
05/24/2020,147
07/24/2020,990
08/03/2020,787
08/09/2020,572
04/13/2021,224
04/05/2020,110
09/24/2021,1365
06/30/2021,686
02/03/2021,2426
10/16/2020,1015
12/08/2020,2283
09/05/2020,548
09/14/2020,408
06/09/2020,340
02/15/2020,0
07/19/2020,695
07/07/2021,1000
05/28/2021,214
07/17/2021,850
08/27/2020,722
05/06/2021,188
02/04/2021,2469
09/15/2020,730
02/11/2021,1103
06/29/2020,439
05/05/2021,298
03/07/2020,0
05/13/2020,72
04/01/2021,211
07/31/2021,1339
04/18/2021,45
05/10/2021,76
06/28/2021,324
01/26/2020,0
09/29/2021,1153
01/31/2021,881
05/21/2021,201
12/09/2020,2327
06/23/2021,389
03/13/2021,314
12/05/2020,2245
06/15/2021,302
02/12/2020,0
03/21/2020,18
11/21/2020,1905
09/11/2020,1180
09/06/2021,937
02/20/2020,0
03/05/2021,570
09/27/2020,487
08/05/2020,912
05/31/2021,30
01/12/2021,3209
02/24/2020,0
12/29/2020,2718
01/06/2021,3705
10/29/2021,546
08/08/2020,772
03/06/2020,0
02/02/2020,0
06/07/2021,62
10/28/2021,517
08/11/2020,383
05/22/2021,177
10/21/2020,1155
05/15/2021,202
04/20/2020,183
05/28/2020,261
01/04/2021,1306
09/10/2020,548
06/06/2021,88
08/15/2020,-400
04/07/2021,244
