date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,1
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,1
3/4/2020,0
3/5/2020,1
3/6/2020,0
3/7/2020,2
3/8/2020,0
3/9/2020,1
3/10/2020,2
3/11/2020,1
3/12/2020,0
3/13/2020,1
3/14/2020,2
3/15/2020,1
3/16/2020,5
3/17/2020,0
3/18/2020,9
3/19/2020,17
3/20/2020,19
3/21/2020,41
3/22/2020,48
3/23/2020,101
3/24/2020,73
3/25/2020,75
3/26/2020,107
3/27/2020,157
3/28/2020,108
3/29/2020,146
3/30/2020,238
3/31/2020,132
4/1/2020,124
4/2/2020,185
4/3/2020,171
4/4/2020,250
4/5/2020,250
4/6/2020,187
4/7/2020,119
4/8/2020,151
4/9/2020,292
4/10/2020,94
4/11/2020,281
4/12/2020,146
4/13/2020,163
4/14/2020,104
4/15/2020,156
4/16/2020,272
4/17/2020,273
4/18/2020,212
4/19/2020,210
4/20/2020,135
4/21/2020,187
4/22/2020,208
4/23/2020,310
4/24/2020,276
4/25/2020,235
4/26/2020,246
4/27/2020,190
4/28/2020,232
4/29/2020,254
4/30/2020,446
5/1/2020,314
5/2/2020,402
5/3/2020,276
5/4/2020,279
5/5/2020,386
5/6/2020,402
5/7/2020,238
5/8/2020,581
5/9/2020,434
5/10/2020,159
5/11/2020,261
5/12/2020,356
5/13/2020,440
5/14/2020,498
5/15/2020,495
5/16/2020,462
5/17/2020,306
5/18/2020,233
5/19/2020,396
5/20/2020,331
5/21/2020,418
5/22/2020,293
5/23/2020,431
5/24/2020,300
5/25/2020,222
5/26/2020,222
5/27/2020,479
5/28/2020,501
5/29/2020,702
5/30/2020,790
5/31/2020,681
6/1/2020,187
6/2/2020,1127
6/3/2020,973
6/4/2020,530
6/5/2020,1579
6/6/2020,1119
6/7/2020,1438
6/8/2020,789
6/9/2020,618
6/10/2020,1557
6/11/2020,1413
6/12/2020,1655
6/13/2020,1541
6/14/2020,1234
6/15/2020,1015
6/16/2020,2393
6/17/2020,1828
6/18/2020,2520
6/19/2020,3247
6/20/2020,3110
6/21/2020,2593
6/22/2020,2197
6/23/2020,3594
6/24/2020,9
6/25/2020,4844
6/26/2020,3429
6/27/2020,3594
6/28/2020,3858
6/29/2020,626
6/30/2020,4683
7/1/2020,4878
7/2/2020,3334
7/3/2020,4434
7/4/2020,2696
7/5/2020,3537
7/6/2020,3353
7/7/2020,3654
7/8/2020,3521
7/9/2020,4058
7/10/2020,4222
7/11/2020,3039
7/12/2020,2538
7/13/2020,1358
7/14/2020,4274
7/15/2020,3258
7/16/2020,3260
7/17/2020,3873
7/18/2020,2781
7/19/2020,2360
7/20/2020,1560
7/21/2020,3501
7/22/2020,1927
7/23/2020,2336
7/24/2020,3358
7/25/2020,3741
7/26/2020,1974
7/27/2020,1814
7/28/2020,2108
7/29/2020,2340
7/30/2020,2526
7/31/2020,3213
8/1/2020,3013
8/2/2020,1446
8/3/2020,1031
8/4/2020,1009
8/5/2020,1699
8/6/2020,1445
