date,new_cases
04/01/2021,2234
05/31/2021,644
07/01/2021,1698
08/28/2021,15157
07/25/2020,10572
04/07/2020,1529
03/18/2021,3038
04/07/2021,2229
03/04/2021,3504
02/21/2021,6760
06/08/2021,792
08/13/2020,7085
09/14/2021,11851
03/09/2020,19
04/22/2021,2411
09/21/2021,6032
08/03/2021,7318
02/27/2020,2
11/25/2020,18350
10/22/2020,2940
08/31/2021,9606
11/21/2020,15442
04/21/2021,2126
02/20/2020,0
05/04/2021,1349
09/16/2020,2950
07/03/2021,0
09/20/2020,4265
05/11/2021,1045
03/02/2021,2533
08/10/2021,9625
09/25/2020,3400
04/20/2020,645
07/19/2020,9329
04/29/2020,1469
07/12/2021,8910
03/31/2020,1169
02/14/2020,0
01/13/2021,33751
03/09/2021,2614
06/08/2020,2507
07/03/2020,8040
06/29/2020,6138
06/12/2021,1032
12/09/2020,30851
06/12/2020,2702
07/17/2021,0
05/20/2021,1292
02/13/2021,9421
08/10/2020,7751
09/08/2021,7274
05/29/2021,1210
02/20/2021,6668
04/09/2021,2606
10/01/2021,7869
07/20/2020,6846
03/17/2020,80
01/28/2020,0
02/18/2020,5
04/30/2021,1897
05/12/2021,1231
10/28/2020,4515
01/26/2020,0
06/06/2021,1101
05/16/2021,1370
07/07/2021,1332
11/09/2020,5351
12/08/2020,23272
06/17/2020,3455
01/31/2021,18974
08/24/2020,4946
01/31/2020,0
04/27/2020,1300
12/10/2020,29677
03/27/2021,3278
10/26/2020,2981
05/06/2021,1547
02/10/2020,0
04/14/2020,905
05/17/2021,995
06/10/2021,856
10/25/2021,0
07/08/2021,1416
03/11/2021,3184
02/07/2021,15064
03/15/2021,2460
05/14/2021,2034
11/06/2020,6518
09/10/2020,3338
05/23/2020,2187
09/15/2020,2235
06/07/2020,2796
05/24/2021,1081
03/24/2021,1955
05/11/2020,1259
03/14/2020,41
12/17/2020,52281
02/28/2021,4685
06/02/2020,2304
09/12/2021,9045
05/22/2020,2247
05/31/2020,3705
11/26/2020,14640
03/10/2020,24
09/09/2021,11638
09/28/2021,4753
09/04/2020,5106
06/13/2020,3660
01/25/2021,27007
12/06/2020,30075
05/06/2020,2603
10/03/2020,2159
02/21/2020,2
11/18/2020,9811
02/17/2020,0
07/24/2021,0
10/30/2021,0
02/18/2021,5573
04/04/2021,2400
10/31/2020,5087
08/07/2021,12916
11/01/2021,19351
03/03/2020,4
08/08/2020,7371
08/15/2021,13472
01/07/2021,36385
05/29/2020,2189
10/14/2020,2666
02/23/2021,3447
06/10/2020,2702
12/24/2020,34039
10/15/2021,6188
09/07/2021,7523
10/27/2021,4378
02/10/2021,8390
11/13/2020,6893
09/13/2020,4625
03/20/2020,331
10/02/2021,0
08/15/2020,12614
07/15/2021,3622
12/13/2020,30334
10/04/2020,4293
01/28/2021,16696
06/20/2020,3893
03/22/2020,244
01/12/2021,36487
11/03/2020,4044
07/15/2020,11187
12/12/2020,35729
12/05/2020,25068
10/29/2021,7098
01/22/2020,0
08/23/2020,6777
05/20/2020,2262
04/17/2020,1346
03/08/2020,26
04/06/2021,1367
08/04/2020,4526
01/23/2020,0
05/18/2020,1591
08/18/2020,4636
11/28/2020,11996
05/14/2020,7183
08/08/2021,13271
11/15/2020,10968
07/22/2021,10962
10/24/2021,0
04/25/2020,1883
03/11/2020,20
05/25/2021,618
01/30/2020,0
02/12/2020,1
03/20/2021,3107
05/02/2020,1755
08/27/2021,13785
07/08/2020,11694
01/20/2021,22403
07/25/2021,0
03/19/2020,165
11/10/2020,5367
05/21/2021,1627
06/28/2021,1256
08/12/2020,11645
08/23/2021,10274
02/29/2020,1
07/19/2021,14097
03/30/2021,1996
12/18/2020,41012
10/18/2021,16764
03/28/2021,2998
05/08/2020,1898
10/26/2021,24563
05/16/2020,1857
05/28/2021,4864
06/11/2020,3090
03/02/2020,5
08/07/2020,8436
05/08/2021,1945
03/13/2020,49
03/23/2020,265
06/04/2020,2120
08/05/2021,13042
04/11/2020,1143
04/10/2021,4466
02/15/2021,6487
05/05/2020,1275
09/06/2020,4905
03/23/2021,1823
09/04/2021,9318
08/11/2020,12500
01/29/2020,0
09/17/2021,9543
07/05/2020,5410
01/05/2021,42631
02/08/2020,0
10/20/2021,3070
08/20/2021,14716
10/31/2021,0
08/02/2021,33407
06/16/2021,699
09/18/2021,9385
11/24/2020,15329
03/06/2020,9
03/16/2021,1260
07/02/2021,1792
09/18/2020,3630
06/22/2021,635
12/02/2020,20762
06/26/2021,1683
05/01/2021,2094
02/07/2020,0
05/03/2020,1419
12/21/2020,37892
02/11/2020,0
01/09/2021,52636
05/28/2020,2717
