date,new_cases
10/29/2021,424
10/28/2021,443
10/27/2021,337
10/26/2021,254
10/25/2021,899
10/24/2021,0
10/23/2021,0
10/22/2021,453
10/21/2021,410
10/20/2021,384
10/19/2021,709
10/18/2021,383
10/17/2021,382
10/16/2021,382
10/15/2021,494
10/14/2021,908
10/13/2021,240
10/12/2021,372
10/11/2021,367
10/10/2021,367
10/9/2021,367
10/8/2021,509
10/7/2021,548
10/6/2021,377
10/5/2021,411
10/4/2021,367
10/3/2021,365
10/2/2021,365
10/1/2021,721
9/30/2021,165
9/29/2021,450
9/28/2021,553
9/27/2021,484
9/26/2021,480
9/25/2021,480
9/24/2021,470
9/23/2021,591
9/22/2021,490
9/21/2021,394
9/20/2021,484
9/19/2021,481
9/18/2021,481
9/17/2021,1544
9/16/2021,1066
9/15/2021,401
9/14/2021,1050
9/13/2021,450
9/12/2021,449
9/11/2021,449
9/10/2021,625
9/9/2021,626
9/8/2021,935
9/7/2021,406
9/6/2021,402
9/5/2021,402
9/4/2021,402
9/3/2021,665
9/2/2021,686
9/1/2021,712
8/31/2021,1003
8/30/2021,455
8/29/2021,453
8/28/2021,453
8/27/2021,788
8/26/2021,788
8/25/2021,651
8/24/2021,1071
8/23/2021,518
8/22/2021,518
8/21/2021,518
8/20/2021,431
8/19/2021,534
8/18/2021,593
8/17/2021,881
8/16/2021,527
8/15/2021,527
8/14/2021,527
8/13/2021,542
8/12/2021,742
8/11/2021,914
8/10/2021,275
8/9/2021,431
8/8/2021,428
8/7/2021,428
8/6/2021,731
8/5/2021,492
8/4/2021,537
8/3/2021,584
8/2/2021,417
8/1/2021,414
7/31/2021,414
7/30/2021,491
7/29/2021,339
7/28/2021,391
7/27/2021,488
7/26/2021,197
7/25/2021,196
7/24/2021,196
7/23/2021,212
7/22/2021,295
7/21/2021,228
7/20/2021,218
7/19/2021,139
7/18/2021,135
7/17/2021,135
7/16/2021,139
7/15/2021,150
7/14/2021,141
7/13/2021,206
7/12/2021,24
7/11/2021,23
7/10/2021,23
7/9/2021,171
7/8/2021,55
7/7/2021,92
7/6/2021,46
7/5/2021,43
7/4/2021,43
7/3/2021,43
7/2/2021,89
7/1/2021,35
6/30/2021,51
6/29/2021,40
6/28/2021,49
6/27/2021,46
6/26/2021,46
6/25/2021,127
6/24/2021,153
6/23/2021,38
6/22/2021,45
6/21/2021,32
6/20/2021,30
6/19/2021,30
6/18/2021,70
6/17/2021,35
6/16/2021,39
6/15/2021,56
6/14/2021,39
6/13/2021,38
6/12/2021,38
6/11/2021,31
6/10/2021,57
6/9/2021,108
6/8/2021,66
6/7/2021,67
6/6/2021,65
6/5/2021,65
6/4/2021,143
6/3/2021,70
6/2/2021,115
6/1/2021,57
5/31/2021,55
5/30/2021,55
5/29/2021,55
5/28/2021,204
5/27/2021,157
5/26/2021,88
5/25/2021,181
5/24/2021,130
5/23/2021,128
5/22/2021,128
5/21/2021,171
5/20/2021,206
5/19/2021,228
5/18/2021,81
5/17/2021,222
5/16/2021,220
5/15/2021,220
5/14/2021,365
5/13/2021,471
5/12/2021,187
5/11/2021,409
5/10/2021,277
5/9/2021,275
5/8/2021,275
5/7/2021,436
5/6/2021,711
5/5/2021,609
5/4/2021,417
5/3/2021,440
5/2/2021,436
5/1/2021,436
4/30/2021,786
4/29/2021,486
4/28/2021,621
4/27/2021,407
4/26/2021,723
4/25/2021,722
4/24/2021,722
4/23/2021,1034
4/22/2021,737
4/21/2021,856
4/20/2021,738
4/19/2021,780
4/18/2021,780
4/17/2021,779
4/16/2021,1062
4/15/2021,702
4/14/2021,1609
4/13/2021,1118
4/12/2021,2985
4/11/2021,0
4/10/2021,0
4/9/2021,1807
4/8/2021,1012
4/7/2021,1038
4/6/2021,1074
4/5/2021,2699
4/4/2021,0
4/3/2021,0
4/2/2021,1488
4/1/2021,1580
3/31/2021,832
3/30/2021,1617
3/29/2021,3229
3/28/2021,0
3/27/2021,0
3/26/2021,1700
3/25/2021,1488
3/24/2021,1457
3/23/2021,898
3/22/2021,2976
3/21/2021,0
3/20/2021,0
3/19/2021,1207
3/18/2021,1156
3/17/2021,373
3/16/2021,853
3/15/2021,2525
3/14/2021,0
3/13/2021,0
3/12/2021,1185
3/11/2021,735
3/10/2021,512
3/9/2021,749
3/8/2021,2066
3/7/2021,0
3/6/2021,0
3/5/2021,830
3/4/2021,878
3/3/2021,494
3/2/2021,502
3/1/2021,2680
2/28/2021,0
2/27/2021,0
2/26/2021,787
2/25/2021,975
2/24/2021,1493
2/23/2021,1357
2/22/2021,2233
2/21/2021,0
2/20/2021,0
2/19/2021,1198
2/18/2021,547
2/17/2021,534
2/16/2021,580
2/15/2021,2905
2/14/2021,0
2/13/2021,0
2/12/2021,838
2/11/2021,1003
2/10/2021,888
2/9/2021,869
2/8/2021,4367
2/7/2021,0
2/6/2021,0
2/5/2021,1431
2/4/2021,937
2/3/2021,482
2/2/2021,2568
2/1/2021,3931
1/31/2021,0
1/30/2021,0
1/29/2021,1258
1/28/2021,1426
1/27/2021,2440
1/26/2021,1267
1/25/2021,5817
1/24/2021,0
1/23/2021,0
1/22/2021,2019
1/21/2021,1662
1/20/2021,1915
1/19/2021,2094
1/18/2021,6703
1/17/2021,0
1/16/2021,0
1/15/2021,1878
1/14/2021,968
1/13/2021,3529
1/12/2021,3689
1/11/2021,7364
1/10/2021,0
1/9/2021,0
1/8/2021,3236
1/7/2021,3304
1/6/2021,2486
1/5/2021,2332
1/4/2021,4516
1/3/2021,0
1/2/2021,4412
1/1/2021,0
12/31/2020,2045
12/30/2020,1696
12/29/2020,767
12/28/2020,8457
12/27/2020,0
12/26/2020,0
12/25/2020,0
12/24/2020,2038
12/23/2020,1745
12/22/2020,1583
12/21/2020,4595
12/20/2020,0
12/19/2020,0
12/18/2020,2680
12/17/2020,2321
12/16/2020,2319
12/15/2020,1470
12/14/2020,7231
12/13/2020,0
12/12/2020,0
12/11/2020,3782
12/10/2020,2431
12/9/2020,2290
12/8/2020,2414
12/7/2020,8129
12/6/2020,0
12/5/2020,0
12/4/2020,1538
12/3/2020,4751
12/2/2020,2672
12/1/2020,1459
11/30/2020,4714
11/29/2020,0
11/28/2020,0
11/27/2020,3429
11/26/2020,0
11/25/2020,1872
11/24/2020,540
11/23/2020,5271
11/22/2020,0
11/21/2020,0
11/20/2020,2088
11/19/2020,2353
11/18/2020,2042
11/17/2020,1702
11/16/2020,4639
11/15/2020,0
11/14/2020,0
11/13/2020,2746
11/12/2020,1158
11/11/2020,1754
11/10/2020,1524
11/9/2020,3338
11/8/2020,0
11/7/2020,0
11/6/2020,1065
11/5/2020,1687
11/4/2020,530
11/3/2020,985
11/2/2020,2651
11/1/2020,0
10/31/2020,0
10/30/2020,761
10/29/2020,1319
10/28/2020,490
10/27/2020,538
10/26/2020,2047
10/25/2020,0
10/24/2020,0
10/23/2020,679
10/22/2020,502
10/21/2020,416
10/20/2020,434
10/19/2020,1191
10/18/2020,0
10/17/2020,0
10/16/2020,802
10/15/2020,167
10/14/2020,164
10/13/2020,320
10/12/2020,1339
10/11/2020,0
10/10/2020,0
10/9/2020,290
10/8/2020,384
10/7/2020,123
10/6/2020,121
10/5/2020,823
10/4/2020,0
10/3/2020,0
10/2/2020,555
10/1/2020,192
9/30/2020,221
9/29/2020,182
9/28/2020,560
9/27/2020,0
9/26/2020,0
9/25/2020,115
9/24/2020,157
9/23/2020,155
9/22/2020,136
9/21/2020,497
9/20/2020,0
9/19/2020,0
9/18/2020,141
9/17/2020,220
9/16/2020,135
9/15/2020,136
9/14/2020,569
9/13/2020,0
9/12/2020,0
9/11/2020,233
9/10/2020,222
9/9/2020,89
9/8/2020,417
9/7/2020,0
9/6/2020,0
9/5/2020,0
9/4/2020,156
9/3/2020,101
9/2/2020,102
9/1/2020,127
8/31/2020,384
8/30/2020,0
8/29/2020,0
8/28/2020,145
8/27/2020,130
8/26/2020,180
8/25/2020,29
8/24/2020,492
8/23/2020,0
8/22/2020,0
8/21/2020,87
8/20/2020,118
8/19/2020,59
8/18/2020,-12
8/17/2020,370
8/16/2020,0
8/15/2020,0
8/14/2020,115
8/13/2020,76
8/12/2020,22
8/11/2020,117
8/10/2020,247
8/9/2020,0
8/8/2020,0
8/7/2020,75
8/6/2020,20
8/5/2020,115
8/4/2020,48
8/3/2020,252
8/2/2020,0
8/1/2020,0
7/31/2020,140
7/30/2020,130
7/29/2020,463
7/28/2020,94
7/27/2020,207
7/26/2020,0
7/25/2020,0
7/24/2020,544
7/23/2020,9
7/22/2020,127
7/21/2020,41
7/20/2020,162
7/19/2020,0
7/18/2020,0
7/17/2020,143
7/16/2020,114
7/15/2020,106
7/14/2020,20
7/13/2020,223
7/12/2020,0
7/11/2020,0
7/10/2020,78
7/9/2020,101
7/8/2020,75
7/7/2020,57
7/6/2020,259
7/5/2020,0
7/4/2020,0
7/3/2020,71
7/2/2020,74
7/1/2020,58
6/30/2020,152
6/29/2020,59
6/28/2020,97
6/27/2020,147
6/26/2020,65
6/25/2020,81
6/24/2020,14
6/23/2020,117
6/22/2020,27
6/21/2020,40
6/20/2020,158
6/19/2020,117
6/18/2020,11
6/17/2020,80
6/16/2020,114
6/15/2020,147
6/14/2020,94
6/13/2020,305
6/12/2020,228
6/11/2020,114
6/10/2020,168
6/9/2020,87
6/8/2020,124
6/7/2020,150
6/6/2020,358
6/5/2020,221
6/4/2020,148
6/3/2020,112
6/2/2020,239
6/1/2020,539
5/31/2020,179
5/30/2020,260
5/29/2020,203
5/28/2020,271
5/27/2020,-15
5/26/2020,430
5/25/2020,405
5/24/2020,446
5/23/2020,382
5/22/2020,432
5/21/2020,191
5/20/2020,587
5/19/2020,314
5/18/2020,697
5/17/2020,716
5/16/2020,618
5/15/2020,621
5/14/2020,609
5/13/2020,522
5/12/2020,568
5/11/2020,211
5/10/2020,570
5/9/2020,573
5/8/2020,627
5/7/2020,789
5/6/2020,374
5/5/2020,648
5/4/2020,661
5/3/2020,25
5/2/2020,523
5/1/2020,1064
4/30/2020,933
4/29/2020,455
4/28/2020,315
4/27/2020,728
4/26/2020,687
4/25/2020,661
4/24/2020,821
4/23/2020,631
4/22/2020,2109
4/21/2020,545
4/20/2020,1853
4/19/2020,412
4/18/2020,741
4/17/2020,925
4/16/2020,1129
4/15/2020,766
4/14/2020,608
4/13/2020,1346
4/12/2020,525
4/11/2020,1379
4/10/2020,347
4/9/2020,1003
4/8/2020,1000
4/7/2020,875
4/6/2020,1231
4/5/2020,399
4/4/2020,361
4/3/2020,1091
4/2/2020,267
4/1/2020,429
3/31/2020,557
3/30/2020,578
3/29/2020,469
3/28/2020,233
3/27/2020,279
3/26/2020,137
3/25/2020,257
3/24/2020,203
3/23/2020,88
3/22/2020,104
3/21/2020,29
3/20/2020,35
3/19/2020,63
3/18/2020,28
3/17/2020,27
3/16/2020,15
3/15/2020,19
3/14/2020,0
3/13/2020,0
3/12/2020,4
3/11/2020,1
3/10/2020,1
3/9/2020,0
3/8/2020,1
3/7/2020,0
3/6/2020,0
3/5/2020,0
3/4/2020,0
3/3/2020,0
3/2/2020,0
3/1/2020,0
2/29/2020,0
2/28/2020,0
2/27/2020,0
2/26/2020,0
2/25/2020,0
2/24/2020,0
2/23/2020,0
2/22/2020,0
2/21/2020,0
2/20/2020,0
2/19/2020,0
2/18/2020,0
2/17/2020,0
