date,new_cases
09/20/2021,238
08/14/2021,182
12/08/2020,270
05/05/2020,152
08/06/2021,128
10/26/2021,40
07/17/2021,47
08/12/2021,152
03/08/2021,160
07/18/2021,47
05/19/2021,18
03/22/2021,154
08/26/2021,210
03/20/2020,6
08/08/2021,155
02/09/2020,0
05/26/2020,109
02/03/2020,0
10/09/2020,78
07/22/2021,72
10/31/2020,122
11/17/2020,245
06/18/2020,56
11/28/2020,101
07/14/2021,38
03/13/2021,150
05/03/2020,219
09/14/2021,267
06/08/2020,57
12/20/2020,259
02/03/2021,61
06/05/2021,14
07/02/2020,25
10/19/2020,25
02/14/2020,0
03/29/2021,73
05/06/2020,139
01/22/2020,0
05/15/2021,64
08/31/2021,178
12/11/2020,259
08/27/2020,72
10/04/2020,46
04/11/2021,68
06/01/2021,27
12/31/2020,225
04/24/2020,167
01/27/2021,165
04/09/2020,83
03/03/2021,51
06/29/2021,14
03/04/2021,196
08/03/2021,82
09/02/2021,148
10/28/2021,118
05/17/2021,45
09/15/2021,209
02/18/2021,121
03/06/2020,0
05/16/2020,171
07/15/2021,41
02/19/2020,0
10/15/2020,34
02/25/2021,179
04/13/2020,80
09/27/2020,35
07/21/2021,31
05/04/2020,154
08/01/2020,79
05/18/2021,26
11/29/2020,410
03/27/2020,37
10/10/2020,138
06/16/2021,10
06/13/2020,55
03/11/2021,122
03/11/2020,0
06/06/2020,70
04/08/2021,170
02/19/2021,160
03/06/2021,151
02/20/2020,0
06/30/2020,35
06/22/2021,13
12/02/2020,157
05/27/2020,72
10/08/2021,168
09/30/2021,157
09/09/2021,165
06/03/2020,130
03/21/2021,54
08/29/2020,74
10/17/2020,79
07/01/2020,38
09/15/2020,65
10/21/2020,53
12/30/2020,223
03/28/2020,38
11/19/2020,213
08/04/2021,58
07/07/2021,6
05/14/2021,20
07/10/2021,23
03/23/2021,105
02/24/2021,99
09/18/2021,237
09/08/2020,47
04/23/2020,155
10/26/2020,45
06/10/2021,24
11/06/2020,110
