date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,1
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,4
3/12/2020,0
3/13/2020,1
3/14/2020,0
3/15/2020,3
3/16/2020,1
3/17/2020,4
3/18/2020,11
3/19/2020,13
3/20/2020,8
3/21/2020,7
3/22/2020,13
3/23/2020,39
3/24/2020,31
3/25/2020,18
3/26/2020,23
3/27/2020,38
3/28/2020,47
3/29/2020,46
3/30/2020,36
3/31/2020,70
4/1/2020,37
4/2/2020,32
4/3/2020,172
4/4/2020,60
4/5/2020,71
4/6/2020,94
4/7/2020,226
4/8/2020,115
4/9/2020,99
4/10/2020,154
4/11/2020,138
4/12/2020,108
4/13/2020,146
4/14/2020,195
4/15/2020,62
4/16/2020,113
4/17/2020,286
4/18/2020,118
4/19/2020,202
4/20/2020,188
4/21/2020,278
4/22/2020,128
4/23/2020,143
4/24/2020,136
4/25/2020,456
4/26/2020,130
4/27/2020,403
4/28/2020,108
4/29/2020,38
4/30/2020,196
5/1/2020,131
5/2/2020,151
5/3/2020,302
5/4/2020,216
5/5/2020,165
5/6/2020,191
5/7/2020,174
5/8/2020,166
5/9/2020,123
5/10/2020,487
5/11/2020,116
5/12/2020,66
5/13/2020,62
5/14/2020,119
5/15/2020,447
5/16/2020,139
5/17/2020,189
5/18/2020,110
5/19/2020,76
5/20/2020,100
5/21/2020,132
5/22/2020,111
5/23/2020,135
5/24/2020,157
5/25/2020,94
5/26/2020,35
5/27/2020,76
5/28/2020,81
5/29/2020,157
5/30/2020,70
5/31/2020,127
6/1/2020,58
6/2/2020,36
6/3/2020,43
6/4/2020,58
6/5/2020,76
6/6/2020,81
6/7/2020,46
6/8/2020,53
6/9/2020,36
6/10/2020,69
6/11/2020,56
6/12/2020,60
6/13/2020,42
6/14/2020,76
6/15/2020,60
6/16/2020,47
6/17/2020,63
6/18/2020,40
6/19/2020,49
6/20/2020,89
6/21/2020,45
6/22/2020,47
6/23/2020,44
6/24/2020,98
6/25/2020,84
6/26/2020,111
6/27/2020,134
6/28/2020,156
6/29/2020,80
6/30/2020,40
7/1/2020,186
7/2/2020,158
7/3/2020,74
7/4/2020,207
7/5/2020,111
7/6/2020,119
7/7/2020,54
7/8/2020,74
7/9/2020,143
7/10/2020,114
7/11/2020,217
7/12/2020,179
7/13/2020,125
7/14/2020,94
7/15/2020,79
7/16/2020,126
7/17/2020,79
7/18/2020,85
7/19/2020,115
7/20/2020,144
7/21/2020,59
7/22/2020,149
7/23/2020,76
7/24/2020,113
7/25/2020,117
7/26/2020,112
7/27/2020,71
7/28/2020,142
7/29/2020,90
7/30/2020,96
7/31/2020,90
8/1/2020,94
8/2/2020,110
8/3/2020,77
8/4/2020,63
8/5/2020,70
8/6/2020,86
8/7/2020,60
8/8/2020,54
8/9/2020,70
8/10/2020,69
8/11/2020,68
8/12/2020,94
8/13/2020,73
