date,new_cases
10/19/2021,2661
01/06/2021,19385
10/17/2020,2458
09/25/2021,5061
04/05/2021,5435
07/02/2021,3145
03/30/2020,851
10/15/2021,2636
06/26/2020,9512
07/06/2020,7275
09/12/2020,2368
01/23/2021,9384
01/27/2020,0
11/25/2020,10108
08/23/2021,21313
06/04/2021,2141
08/21/2020,4289
10/11/2020,1552
07/15/2020,13726
02/08/2021,7000
12/20/2020,10688
06/01/2020,602
08/21/2021,18031
06/30/2021,2875
11/19/2020,8835
10/08/2021,3213
02/28/2021,1796
06/16/2021,1540
03/09/2020,5
05/22/2020,733
04/06/2020,1159
05/27/2021,2312
06/20/2021,1046
04/09/2021,6744
12/12/2020,8829
03/15/2020,31
04/17/2020,1080
08/03/2020,5335
02/06/2021,6617
03/29/2021,5091
03/17/2020,62
02/23/2020,0
05/10/2021,3239
03/02/2021,4628
08/05/2020,7547
08/20/2020,4612
09/23/2020,2588
05/01/2021,3868
05/04/2020,574
02/04/2020,0
04/29/2021,5261
04/08/2021,6980
03/25/2021,5819
09/27/2020,808
05/23/2021,1575
06/11/2020,1633
09/26/2020,1831
06/03/2021,2379
08/04/2020,5406
03/11/2021,5033
10/02/2021,3197
03/19/2020,76
03/21/2020,203
06/07/2021,1419
09/27/2021,5117
01/31/2020,0
07/27/2021,17477
09/15/2021,9391
08/28/2020,3109
09/19/2021,6350
04/12/2020,809
05/15/2021,2411
12/16/2020,12838
08/28/2021,17719
03/15/2021,4613
06/23/2021,1916
02/03/2020,0
04/21/2020,859
11/11/2020,5464
03/26/2020,535
07/05/2021,1710
08/06/2021,21488
05/02/2020,631
02/02/2021,6743
04/25/2020,794
10/21/2020,5420
01/15/2021,11885
06/13/2020,2131
09/28/2020,3183
05/23/2020,544
12/06/2020,7512
07/30/2021,19772
09/14/2021,10822
09/29/2020,2047
10/29/2020,5394
09/01/2020,2495
05/21/2021,3295
06/07/2020,1029
05/06/2020,627
01/21/2021,13409
05/19/2020,474
09/21/2021,10131
04/26/2021,5214
03/22/2021,5264
02/21/2020,0
09/25/2020,2765
04/03/2021,4782
02/13/2020,0
11/24/2020,8082
06/22/2021,1997
10/23/2021,1367
01/23/2020,0
11/06/2020,4340
09/22/2020,2580
03/28/2020,707
04/03/2020,1280
04/07/2020,1005
12/03/2020,9938
10/06/2021,3944
10/13/2020,2832
06/27/2021,1514
07/31/2021,17747
02/18/2021,6590
07/28/2020,9288
05/15/2020,479
05/12/2021,4005
08/06/2020,7512
04/18/2021,4273
05/18/2020,612
05/27/2020,611
04/08/2020,1046
10/09/2020,1772
09/03/2021,17100
08/11/2021,23875
11/18/2020,8941
02/22/2020,0
09/09/2021,17893
01/07/2021,19054
02/20/2021,4900
08/07/2021,19544
01/31/2021,5587
04/16/2021,6282
02/27/2020,0
09/08/2020,2316
03/10/2021,4998
12/24/2020,10606
07/01/2021,2873
03/08/2021,4401
08/15/2021,17214
05/12/2020,799
10/07/2020,3254
09/04/2021,17256
08/31/2020,7370
02/12/2021,7082
08/09/2020,4133
05/28/2020,1220
12/31/2020,20941
10/07/2021,3930
10/16/2021,1510
03/18/2020,99
09/14/2020,2643
08/25/2021,21319
06/15/2021,1748
03/24/2020,283
11/16/2020,7303
02/14/2021,3746
02/10/2021,8246
11/01/2021,2000
06/05/2020,1242
09/26/2021,3689
03/05/2021,4562
02/04/2021,10498
10/18/2021,2159
07/13/2021,7017
12/01/2020,9892
03/30/2021,4949
12/14/2020,9395
09/11/2021,15399
10/05/2020,2266
04/18/2020,741
05/30/2020,870
12/23/2020,12813
03/10/2020,2
06/10/2021,1994
04/22/2021,4854
05/24/2020,979
08/31/2021,19180
11/08/2020,3812
01/11/2021,14557
11/22/2020,6091
01/17/2021,7818
08/05/2021,24146
09/28/2021,5842
08/14/2021,16419
07/01/2020,9423
10/24/2021,945
03/07/2020,4
05/25/2020,501
10/09/2021,2870
03/27/2021,4824
11/14/2020,9874
03/01/2021,6934
01/20/2021,12642
04/28/2021,5644
06/10/2020,1666
12/05/2020,8189
03/13/2020,20
04/26/2020,519
07/11/2021,4533
03/03/2020,1
05/03/2020,766
07/23/2020,12266
07/18/2021,7127
