date,new_cases
08/01/2021,3829
05/21/2020,687
10/23/2021,0
08/12/2020,3767
02/21/2020,0
05/09/2020,307
04/15/2020,686
10/17/2020,1987
04/06/2020,739
04/30/2021,1464
02/08/2021,2704
11/21/2020,6213
12/20/2020,5618
06/02/2021,491
03/28/2020,225
03/11/2020,16
10/08/2021,3274
02/14/2021,1929
02/18/2021,3485
04/25/2021,916
05/18/2021,767
08/26/2021,10823
06/02/2020,578
09/17/2021,5592
12/02/2020,5734
06/06/2020,583
03/14/2021,819
07/29/2020,3567
05/26/2021,549
04/02/2021,1582
04/05/2020,296
05/29/2020,626
02/16/2021,2895
12/25/2020,6054
01/12/2021,9193
04/08/2021,1490
05/05/2020,602
11/05/2020,2410
01/22/2020,0
06/13/2020,1043
12/23/2020,7773
03/24/2020,182
10/18/2021,1106
08/11/2021,6958
05/02/2021,1302
09/15/2020,1848
04/03/2020,488
05/29/2021,632
09/24/2020,1608
05/12/2021,921
02/02/2021,4961
08/15/2021,6466
05/04/2020,753
09/04/2020,2298
07/26/2020,2740
09/11/2020,2116
08/05/2020,3888
08/04/2021,4860
10/04/2021,2600
07/20/2021,1569
12/15/2020,7437
06/24/2020,1835
08/29/2020,2554
10/20/2021,1682
03/02/2020,1
05/22/2021,602
02/28/2021,2334
04/28/2020,582
08/08/2021,4346
01/31/2020,0
02/08/2020,0
09/26/2021,2667
04/28/2021,1400
04/16/2021,1650
07/19/2021,1098
07/06/2020,1642
07/30/2021,3604
03/22/2021,744
09/05/2020,2270
10/01/2021,3347
10/19/2021,1679
06/26/2020,2076
06/07/2021,263
08/02/2020,3162
10/02/2020,1522
08/11/2020,3754
08/16/2021,6467
07/24/2020,5023
08/15/2020,3336
04/29/2020,854
09/16/2020,2669
07/11/2021,587
06/05/2021,342
10/29/2020,2192
02/15/2020,0
06/06/2021,280
09/15/2021,6167
10/13/2020,1325
12/27/2020,3511
05/23/2020,979
08/02/2021,3829
05/10/2020,876
03/29/2020,243
10/24/2021,0
11/23/2020,1924
10/26/2021,1171
07/23/2020,4532
02/27/2020,0
01/21/2021,8150
05/02/2020,381
07/07/2020,3466
02/22/2020,0
02/06/2021,4490
07/04/2021,341
09/05/2021,6475
06/26/2021,402
10/21/2021,1487
04/12/2021,939
05/09/2021,628
06/22/2021,351
05/01/2020,935
02/10/2021,3490
07/25/2021,2037
12/10/2020,7623
04/10/2020,934
06/16/2021,498
11/09/2020,1648
08/22/2021,7024
04/01/2020,570
11/15/2020,2084
12/07/2020,5285
06/15/2021,307
