date,new_cases
06/17/2021,31
10/10/2020,108
07/23/2021,215
08/08/2020,151
01/25/2021,116
03/20/2020,10
10/11/2021,107
11/22/2020,120
07/07/2021,34
09/03/2021,862
08/20/2020,230
09/02/2021,1060
01/01/2021,232
10/20/2021,134
06/02/2020,1
05/07/2021,108
04/28/2020,4
09/04/2021,875
10/28/2021,117
11/11/2020,116
12/24/2020,125
03/31/2021,90
10/26/2020,35
07/12/2021,56
05/19/2020,1
10/18/2020,82
05/24/2021,34
06/13/2020,5
05/06/2020,2
01/31/2020,0
08/14/2021,764
11/18/2020,62
12/15/2020,52
11/15/2020,0
04/12/2021,68
03/06/2020,0
05/01/2021,188
09/15/2020,98
05/16/2021,116
04/13/2020,6
03/01/2020,0
08/28/2021,927
04/29/2021,115
07/29/2021,232
07/11/2021,91
05/08/2020,2
05/11/2021,58
02/20/2021,61
04/04/2020,15
04/26/2021,65
06/19/2020,12
10/14/2020,98
02/28/2020,0
09/09/2021,421
08/05/2021,635
03/17/2021,66
08/28/2020,310
06/11/2020,15
06/26/2020,6
04/30/2021,114
04/02/2021,129
05/30/2020,0
09/29/2020,121
10/01/2020,86
06/25/2021,41
08/31/2021,545
10/09/2020,153
04/25/2020,2
01/21/2021,112
06/26/2021,53
07/22/2020,54
02/09/2021,28
04/15/2021,95
07/27/2021,148
10/31/2020,62
06/29/2020,18
12/22/2020,64
03/09/2020,0
10/23/2020,128
03/31/2020,31
04/07/2021,73
10/18/2021,109
05/21/2021,47
09/21/2020,64
02/02/2021,62
11/19/2020,100
10/23/2021,170
12/10/2020,116
09/28/2021,237
01/10/2021,178
03/10/2021,41
04/14/2021,67
06/08/2021,31
03/25/2021,115
07/17/2021,122
02/05/2020,0
08/09/2021,432
02/29/2020,0
03/20/2021,161
12/07/2020,78
08/07/2020,229
02/07/2021,73
08/20/2021,836
05/03/2021,71
02/28/2021,54
01/14/2021,164
07/29/2020,123
01/09/2021,228
04/01/2021,109
04/06/2020,22
10/10/2021,200
09/01/2020,339
03/13/2020,2
10/02/2021,269
06/02/2021,21
02/15/2020,0
03/10/2020,0
05/10/2020,2
09/26/2021,367
06/06/2021,77
05/22/2020,1
09/10/2020,167
03/19/2020,17
02/10/2021,51
08/01/2021,447
02/07/2020,0
05/27/2021,53
07/01/2020,20
02/11/2020,0
10/03/2021,276
12/28/2020,45
04/18/2020,8
12/19/2020,152
12/27/2020,94
04/24/2020,2
10/17/2021,135
02/12/2020,0
10/15/2020,88
05/22/2021,89
01/22/2021,122
02/11/2021,84
03/03/2020,0
11/01/2020,80
04/14/2020,11
10/29/2021,143
01/17/2021,121
03/07/2020,0
05/02/2020,3
08/24/2020,215
11/05/2020,92
04/16/2021,85
11/24/2020,56
04/06/2021,52
03/11/2021,54
12/04/2020,100
04/10/2020,20
10/22/2021,118
10/28/2020,119
04/23/2020,3
02/17/2020,0
02/21/2020,0
01/06/2021,125
09/30/2021,327
05/15/2021,149
12/06/2020,97
01/27/2021,94
10/21/2020,77
02/19/2021,44
10/01/2021,359
05/06/2021,123
08/06/2020,201
09/22/2020,167
10/12/2021,49
08/15/2021,829
04/26/2020,1
02/25/2021,36
07/21/2020,17
01/31/2021,78
08/10/2021,419
06/09/2021,39
09/05/2020,161
10/05/2021,87
08/18/2020,261
08/09/2020,140
05/21/2020,0
04/05/2020,18
03/09/2021,41
01/26/2021,63
10/07/2020,101
07/11/2020,20
04/25/2021,119
11/26/2020,117
07/10/2021,100
03/26/2020,17
04/11/2020,14
05/18/2020,1
09/01/2021,447
10/19/2020,35
03/07/2021,47
10/30/2020,92
09/06/2020,104
04/20/2021,38
04/21/2021,68
07/04/2021,52
05/04/2021,72
07/26/2021,156
09/14/2021,421
03/27/2020,35
04/21/2020,6
05/11/2020,1
06/30/2021,47
02/13/2021,77
09/16/2020,156
09/12/2020,114
10/04/2020,51
06/22/2020,3
05/03/2020,1
07/09/2021,57
03/02/2020,0
07/06/2021,34
08/07/2021,600
03/18/2021,86
04/27/2020,1
04/12/2020,4
01/13/2021,93
07/05/2020,7
07/28/2021,88
10/20/2020,84
08/22/2020,247
07/21/2021,130
07/27/2020,47
04/09/2021,81
05/07/2020,0
02/14/2020,0
04/18/2021,109
05/26/2020,0
01/24/2020,0
05/28/2020,3
09/23/2021,437
06/19/2021,57
03/14/2020,3
05/27/2020,2
06/01/2021,55
05/31/2020,0
05/23/2020,0
09/18/2020,112
02/18/2020,0
12/16/2020,104
09/08/2020,100
04/24/2021,99
03/23/2020,14
05/04/2020,3
04/03/2020,23
09/05/2021,718
12/02/2020,68
07/19/2021,122
03/29/2021,80
12/11/2020,79
12/05/2020,111
01/08/2021,239
10/25/2020,117
12/31/2020,175
07/18/2020,28
07/17/2020,19
01/23/2021,165
07/24/2021,242
05/28/2021,37
04/11/2021,89
10/17/2020,94
01/02/2021,159
05/30/2021,119
06/24/2021,53
10/31/2021,125
12/30/2020,104
11/13/2020,103
03/28/2021,102
05/24/2020,0
03/21/2021,71
11/16/2020,92
09/27/2021,248
03/24/2020,9
05/13/2021,73
01/28/2020,0
03/13/2021,156
06/16/2021,29
05/15/2020,2
10/07/2021,278
02/16/2021,16
11/25/2020,100
09/13/2020,80
11/29/2020,54
05/12/2020,3
03/04/2020,0
02/09/2020,0
01/26/2020,0
06/22/2021,18
03/30/2021,81
03/15/2020,3
01/07/2021,287
02/03/2021,68
06/27/2020,26
02/18/2021,60
01/30/2021,144
01/12/2021,108
03/01/2021,26
03/19/2021,93
10/02/2020,133
08/26/2021,824
11/06/2020,113
