date,new_cases
08/05/2020,614
08/08/2020,421
07/15/2020,444
12/09/2020,2465
03/29/2020,38
04/15/2020,96
08/18/2021,996
05/31/2020,308
05/12/2020,539
03/04/2021,583
05/07/2021,351
06/23/2020,321
10/31/2020,2941
07/17/2020,590
07/14/2021,187
08/24/2020,356
06/27/2020,327
03/08/2020,3
07/18/2021,157
05/30/2021,53
08/13/2020,530
12/10/2020,2110
04/28/2020,508
06/16/2020,102
08/20/2021,1099
04/01/2021,796
05/08/2020,398
07/01/2020,511
03/01/2020,0
11/09/2020,5102
08/10/2020,285
08/27/2021,1322
05/09/2021,154
06/03/2021,126
03/16/2021,442
08/17/2020,396
07/27/2020,355
11/24/2020,2894
03/01/2021,318
07/01/2021,148
05/02/2020,757
02/17/2021,598
02/23/2020,0
05/04/2020,534
10/03/2020,939
11/08/2020,3529
07/20/2020,501
07/13/2020,358
05/06/2021,380
05/19/2021,297
06/06/2020,332
04/24/2021,398
05/19/2020,267
10/12/2021,2060
06/05/2020,342
03/28/2020,63
06/27/2021,32
01/23/2021,1149
06/09/2021,87
07/24/2020,636
08/12/2020,477
05/01/2020,739
06/02/2021,162
06/19/2020,421
02/18/2021,714
08/19/2020,311
11/14/2020,4637
01/15/2021,1296
08/07/2020,503
02/25/2020,0
11/12/2020,4402
03/18/2020,9
08/02/2020,511
10/02/2021,1109
06/05/2021,93
06/04/2021,102
12/20/2020,1013
04/30/2021,366
10/16/2020,1334
05/22/2020,334
03/17/2021,490
06/13/2020,369
10/07/2020,1052
07/10/2021,92
02/08/2020,0
11/23/2020,2709
07/09/2020,734
01/05/2021,1830
01/09/2021,1345
10/13/2021,356
02/24/2021,743
09/25/2021,1123
01/30/2021,867
07/05/2021,20
03/17/2020,6
04/24/2020,521
09/24/2021,2243
02/07/2020,0
07/31/2020,543
09/25/2020,1103
04/20/2021,609
08/10/2021,858
07/31/2021,437
02/07/2021,506
01/14/2021,1520
02/04/2021,873
09/29/2020,632
09/14/2021,3323
02/15/2020,0
05/10/2021,194
07/07/2020,372
07/03/2021,108
04/21/2020,482
11/22/2020,2839
09/13/2021,1344
08/09/2021,521
09/26/2020,903
08/25/2021,1280
02/16/2021,456
02/13/2021,580
05/17/2020,323
08/07/2021,519
04/28/2021,503
01/26/2020,0
03/06/2021,484
03/12/2021,495
05/27/2021,102
02/26/2020,0
11/17/2020,3035
06/30/2020,165
06/10/2020,366
05/01/2021,386
09/19/2020,828
03/05/2020,0
05/25/2021,160
09/22/2021,503
10/28/2021,0
02/27/2021,419
04/16/2020,146
02/26/2021,688
04/08/2021,631
10/21/2020,1112
09/26/2021,1123
12/31/2020,1710
06/28/2021,41
04/17/2020,191
07/04/2021,25
10/24/2020,1733
10/14/2021,1227
05/12/2021,376
12/24/2020,1531
12/05/2020,1891
03/23/2020,15
05/16/2021,138
