date,new_cases
10/29/2021,1076
10/28/2021,873
10/27/2021,1244
10/26/2021,1344
10/25/2021,1090
10/24/2021,242
10/23/2021,725
10/22/2021,1480
10/21/2021,1328
10/20/2021,1549
10/19/2021,1464
10/18/2021,1290
10/17/2021,305
10/16/2021,782
10/15/2021,1520
10/14/2021,1935
10/13/2021,2024
10/12/2021,971
10/11/2021,970
10/10/2021,206
10/9/2021,790
10/8/2021,1682
10/7/2021,1321
10/6/2021,1367
10/5/2021,1835
10/4/2021,1108
10/3/2021,339
10/2/2021,912
10/1/2021,1778
9/30/2021,1905
9/29/2021,1684
9/28/2021,1355
9/27/2021,1423
9/26/2021,399
9/25/2021,816
9/24/2021,1646
9/23/2021,1345
9/22/2021,1354
9/21/2021,1830
9/20/2021,1244
9/19/2021,300
9/18/2021,758
9/17/2021,1730
9/16/2021,1218
9/15/2021,1315
9/14/2021,1657
9/13/2021,1436
9/12/2021,330
9/11/2021,947
9/10/2021,1574
9/9/2021,1459
9/8/2021,1504
9/7/2021,638
9/6/2021,637
9/5/2021,637
9/4/2021,637
9/3/2021,1388
9/2/2021,1604
9/1/2021,1163
8/31/2021,1226
8/30/2021,760
8/29/2021,758
8/28/2021,758
8/27/2021,834
8/26/2021,992
8/25/2021,1019
8/24/2021,1032
8/23/2021,359
8/22/2021,356
8/21/2021,356
8/20/2021,612
8/19/2021,795
8/18/2021,1217
8/17/2021,904
8/16/2021,455
8/15/2021,451
8/14/2021,451
8/13/2021,780
8/12/2021,751
8/11/2021,736
8/10/2021,754
8/9/2021,316
8/8/2021,313
8/7/2021,313
8/6/2021,679
8/5/2021,743
8/4/2021,637
8/3/2021,680
8/2/2021,290
8/1/2021,289
7/31/2021,289
7/30/2021,529
7/29/2021,439
7/28/2021,358
7/27/2021,318
7/26/2021,182
7/25/2021,181
7/24/2021,181
7/23/2021,282
7/22/2021,233
7/21/2021,325
7/20/2021,245
7/19/2021,119
7/18/2021,118
7/17/2021,118
7/16/2021,161
7/15/2021,206
7/14/2021,179
7/13/2021,182
7/12/2021,99
7/11/2021,99
7/10/2021,99
7/9/2021,135
7/8/2021,144
7/7/2021,123
7/6/2021,65
7/5/2021,64
7/4/2021,64
7/3/2021,64
7/2/2021,83
7/1/2021,91
6/30/2021,97
6/29/2021,77
6/28/2021,46
6/27/2021,44
6/26/2021,44
6/25/2021,81
6/24/2021,89
6/23/2021,153
6/22/2021,118
6/21/2021,63
6/20/2021,60
6/19/2021,60
6/18/2021,60
6/17/2021,87
6/16/2021,87
6/15/2021,89
6/14/2021,78
6/13/2021,75
6/12/2021,75
6/11/2021,118
6/10/2021,102
6/9/2021,138
6/8/2021,127
6/7/2021,89
6/6/2021,87
6/5/2021,59
6/4/2021,165
6/3/2021,152
6/2/2021,173
6/1/2021,227
5/31/2021,22
5/30/2021,22
5/29/2021,22
5/28/2021,135
5/27/2021,139
5/26/2021,192
5/25/2021,149
5/24/2021,126
5/23/2021,124
5/22/2021,79
5/21/2021,168
5/20/2021,188
5/19/2021,240
5/18/2021,193
5/17/2021,138
5/16/2021,137
5/15/2021,96
5/14/2021,173
5/13/2021,149
5/12/2021,225
5/11/2021,233
5/10/2021,114
5/9/2021,113
5/8/2021,113
5/7/2021,187
5/6/2021,166
5/5/2021,202
5/4/2021,209
5/3/2021,125
5/2/2021,123
5/1/2021,120
4/30/2021,177
4/29/2021,210
4/28/2021,255
4/27/2021,289
4/26/2021,360
4/25/2021,91
4/24/2021,91
4/23/2021,190
4/22/2021,234
4/21/2021,294
4/20/2021,238
4/19/2021,227
4/18/2021,52
4/17/2021,179
4/16/2021,212
4/15/2021,210
4/14/2021,437
4/13/2021,219
4/12/2021,317
4/11/2021,0
4/10/2021,221
4/9/2021,312
4/8/2021,310
4/7/2021,349
4/6/2021,346
4/5/2021,655
4/4/2021,0
4/3/2021,0
4/2/2021,284
4/1/2021,361
3/31/2021,460
3/30/2021,313
3/29/2021,335
3/28/2021,0
3/27/2021,224
3/26/2021,317
3/25/2021,333
3/24/2021,435
3/23/2021,359
3/22/2021,340
3/21/2021,0
3/20/2021,235
3/19/2021,383
3/18/2021,341
3/17/2021,454
3/16/2021,350
3/15/2021,421
3/14/2021,0
3/13/2021,293
3/12/2021,333
3/11/2021,364
3/10/2021,456
3/9/2021,481
3/8/2021,378
3/7/2021,0
3/6/2021,104
3/5/2021,240
3/4/2021,299
3/3/2021,452
3/2/2021,374
3/1/2021,322
2/28/2021,0
2/27/2021,233
2/26/2021,312
2/25/2021,306
2/24/2021,423
2/23/2021,282
2/22/2021,434
2/21/2021,0
2/20/2021,197
2/19/2021,314
2/18/2021,286
2/17/2021,408
2/16/2021,462
2/15/2021,0
2/14/2021,0
2/13/2021,258
2/12/2021,349
2/11/2021,323
2/10/2021,458
2/9/2021,437
2/8/2021,449
2/7/2021,0
2/6/2021,240
2/5/2021,404
2/4/2021,402
2/3/2021,507
2/2/2021,491
2/1/2021,482
1/31/2021,0
1/30/2021,328
1/29/2021,635
1/28/2021,508
1/27/2021,620
1/26/2021,559
1/25/2021,527
1/24/2021,181
1/23/2021,527
1/22/2021,598
1/21/2021,612
1/20/2021,810
1/19/2021,1224
1/18/2021,0
1/17/2021,278
1/16/2021,1918
1/15/2021,0
1/14/2021,994
1/13/2021,1091
1/12/2021,1034
1/11/2021,572
1/10/2021,432
1/9/2021,977
1/8/2021,1085
1/7/2021,1067
1/6/2021,1263
1/5/2021,1538
1/4/2021,798
1/3/2021,308
1/2/2021,1122
1/1/2021,0
12/31/2020,1213
12/30/2020,1340
12/29/2020,1514
12/28/2020,795
12/27/2020,428
12/26/2020,554
12/25/2020,0
12/24/2020,1248
12/23/2020,1391
12/22/2020,1717
12/21/2020,917
12/20/2020,891
12/19/2020,851
12/18/2020,1340
12/17/2020,1426
12/16/2020,1433
12/15/2020,1802
12/14/2020,1038
12/13/2020,547
12/12/2020,1022
12/11/2020,1582
12/10/2020,1825
12/9/2020,2298
12/8/2020,2012
12/7/2020,1383
12/6/2020,805
12/5/2020,1339
12/4/2020,1911
12/3/2020,1721
12/2/2020,1429
12/1/2020,1607
11/30/2020,1214
11/29/2020,824
11/28/2020,1160
11/27/2020,1446
11/26/2020,551
11/25/2020,1773
11/24/2020,1640
11/23/2020,1437
11/22/2020,819
11/21/2020,1070
11/20/2020,1786
11/19/2020,1543
11/18/2020,1310
11/17/2020,1781
11/16/2020,1099
11/15/2020,928
11/14/2020,1519
11/13/2020,1519
11/12/2020,1158
11/11/2020,1693
11/10/2020,1201
11/9/2020,1266
11/8/2020,649
11/7/2020,1403
11/6/2020,1330
11/5/2020,1265
11/4/2020,1290
11/3/2020,1179
11/2/2020,757
11/1/2020,480
10/31/2020,798
10/30/2020,1064
10/29/2020,961
10/28/2020,862
10/27/2020,882
10/26/2020,697
10/25/2020,650
10/24/2020,1021
10/23/2020,1073
10/22/2020,950
10/21/2020,987
10/20/2020,873
10/19/2020,698
10/18/2020,510
10/17/2020,878
10/16/2020,1094
10/15/2020,718
10/14/2020,645
10/13/2020,584
10/12/2020,597
10/11/2020,365
10/10/2020,613
10/9/2020,662
10/8/2020,673
10/7/2020,671
10/6/2020,660
10/5/2020,458
10/4/2020,262
10/3/2020,464
10/2/2020,677
10/1/2020,513
9/30/2020,614
9/29/2020,511
9/28/2020,422
9/27/2020,205
9/26/2020,539
9/25/2020,523
9/24/2020,491
9/23/2020,396
9/22/2020,446
9/21/2020,410
9/20/2020,244
9/19/2020,288
9/18/2020,470
9/17/2020,396
9/16/2020,283
9/15/2020,278
9/14/2020,253
9/13/2020,112
9/12/2020,217
9/11/2020,333
9/10/2020,307
9/9/2020,329
9/8/2020,240
9/7/2020,74
9/6/2020,190
9/5/2020,281
9/4/2020,269
9/3/2020,263
9/2/2020,296
9/1/2020,280
