date,new_cases
06/18/2020,593
07/26/2021,1298
10/23/2021,0
04/16/2021,3866
08/02/2021,1870
10/17/2021,1832
02/08/2020,0
07/31/2020,1980
08/16/2020,1562
02/09/2020,0
06/19/2021,251
07/24/2021,1297
02/25/2021,1884
04/18/2020,1585
09/13/2021,3052
08/13/2020,1834
05/24/2021,933
05/26/2021,1139
04/08/2021,3739
10/12/2021,1967
05/28/2020,1527
10/31/2021,0
03/14/2020,0
05/31/2021,521
10/02/2021,2379
09/23/2021,3505
05/19/2021,1633
09/27/2020,1604
04/29/2020,2253
03/13/2020,0
03/26/2020,673
08/24/2021,2989
09/12/2020,2121
02/21/2020,0
06/12/2020,732
03/05/2021,1442
12/21/2020,4699
11/30/2020,6190
10/15/2021,2413
03/25/2021,2190
05/04/2021,2211
09/17/2021,3601
08/22/2020,2356
02/01/2020,0
10/30/2021,0
05/14/2020,3239
04/26/2021,2137
03/18/2021,2325
08/24/2020,1612
04/26/2020,2126
10/16/2021,1832
06/04/2020,929
07/12/2021,532
09/03/2021,5980
07/11/2020,1195
06/30/2020,724
05/15/2020,2432
07/27/2020,1231
03/29/2020,1105
09/06/2020,1403
02/08/2021,1747
08/27/2021,4942
02/13/2021,2092
02/17/2020,0
04/19/2021,1959
05/16/2020,2088
08/26/2021,4041
06/21/2021,253
09/08/2020,1392
09/11/2021,3050
04/15/2020,1346
03/18/2020,128
05/17/2020,1734
02/27/2021,1780
01/07/2021,8757
04/30/2021,3207
10/12/2020,2742
09/22/2020,1531
06/29/2021,301
07/05/2020,639
11/24/2020,9469
01/31/2020,1
04/22/2021,3170
04/05/2021,2102
09/21/2021,3002
01/28/2021,4191
03/26/2021,3002
05/30/2021,602
11/13/2020,15415
10/17/2020,3629
05/25/2021,808
05/03/2021,2049
09/10/2020,1953
08/07/2020,2103
02/19/2020,0
05/21/2020,2268
12/06/2020,7598
05/08/2020,2887
01/08/2021,9277
05/13/2021,1918
01/10/2021,4711
07/07/2020,587
10/08/2021,2744
12/11/2020,9420
05/22/2020,2758
05/06/2020,2270
02/23/2020,0
02/25/2020,0
04/01/2021,3526
10/04/2021,2381
06/26/2020,910
09/18/2020,2223
01/25/2020,0
10/07/2021,3371
02/03/2021,3314
05/27/2021,891
10/13/2021,2913
05/16/2021,1248
05/23/2021,943
01/31/2021,2428
11/17/2020,12601
07/09/2021,645
04/02/2020,715
08/05/2021,3048
01/06/2021,7569
05/03/2020,2944
12/10/2020,11101
03/04/2020,0
10/20/2021,2447
12/20/2020,6003
05/05/2021,2410
03/17/2020,55
11/18/2020,8922
03/28/2021,2250
07/25/2020,1426
11/20/2020,13012
02/28/2021,1249
09/28/2021,2375
11/01/2020,6980
10/11/2021,1965
04/06/2021,2931
05/11/2021,1562
08/18/2021,3833
09/05/2021,3012
10/07/2020,2630
10/15/2020,4015
02/05/2021,3660
06/29/2020,738
02/09/2021,2082
02/04/2020,0
05/22/2021,1108
09/20/2021,2805
06/14/2021,165
09/29/2020,1362
03/07/2020,0
07/10/2021,530
02/01/2021,2312
01/21/2021,4979
04/02/2021,3235
05/30/2020,1462
08/15/2021,3042
09/05/2020,2806
06/26/2021,249
06/11/2021,401
05/24/2020,2508
11/06/2020,11790
01/18/2021,3385
06/22/2020,462
02/10/2020,0
01/20/2021,4822
05/12/2021,1795
03/01/2020,1
08/11/2021,3933
07/28/2021,2082
06/06/2021,342
12/23/2020,6762
05/27/2020,1111
07/04/2021,305
04/24/2020,2724
10/26/2021,2213
07/13/2020,883
08/04/2020,1471
09/17/2020,2056
06/24/2020,715
10/30/2020,8489
07/07/2021,462
10/29/2021,2649
06/18/2021,102
09/07/2021,3015
09/04/2021,3012
06/17/2020,546
08/17/2021,3639
09/14/2020,1373
04/05/2020,899
10/14/2020,2862
12/28/2020,4453
07/21/2021,958
05/02/2020,2450
02/22/2020,0
08/29/2021,3355
01/23/2021,5152
05/31/2020,1343
03/22/2021,1220
07/16/2020,1257
07/15/2020,1187
05/08/2021,1729
10/08/2020,3059
03/02/2020,1
07/27/2021,1669
06/07/2021,244
03/03/2021,2104
01/27/2020,0
07/15/2021,861
10/18/2021,1834
03/30/2020,461
06/21/2020,658
05/19/2020,1545
11/08/2020,10009
06/03/2020,982
04/23/2021,3369
04/09/2020,1344
07/25/2021,1297
08/21/2021,3071
09/19/2020,2529
10/19/2021,2071
09/23/2020,1848
06/09/2021,408
04/18/2021,2666
12/14/2020,7214
10/05/2021,3058
08/18/2020,1740
02/12/2021,2598
10/21/2021,2146
12/09/2020,8256
09/06/2021,3012
05/01/2020,3137
04/06/2020,1006
11/03/2020,6516
04/07/2021,3790
12/26/2020,3293
10/03/2020,2442
09/24/2020,2257
01/29/2020,0
12/27/2020,3767
01/05/2021,6839
06/16/2020,623
02/15/2020,0
08/10/2021,2950
06/01/2020,974
04/21/2020,1551
03/24/2020,250
02/03/2020,0
01/16/2021,5343
03/31/2021,2592
12/31/2020,8009
02/28/2020,0
10/23/2020,5000
07/18/2020,1276
10/26/2020,4729
08/19/2020,2295
05/18/2020,2294
10/03/2021,2379
05/07/2021,3321
03/07/2021,1068
09/28/2020,1709
03/25/2020,330
11/11/2020,12657
09/15/2020,1466
03/21/2021,1431
04/29/2021,3394
02/18/2020,0
12/30/2020,7374
02/14/2021,1631
01/30/2021,3345
06/27/2021,249
07/12/2020,954
05/23/2020,2352
07/02/2020,0
04/19/2020,1197
03/16/2020,12
03/12/2021,1763
02/20/2020,0
07/06/2020,614
09/09/2021,4741
06/30/2021,259
07/31/2021,1869
07/16/2021,676
02/02/2020,0
06/28/2020,646
09/22/2021,3561
04/14/2020,1222
08/07/2021,2619
03/09/2021,1510
04/04/2021,2449
04/17/2021,3194
02/06/2020,0
02/24/2020,0
07/02/2021,356
08/04/2021,2364
10/18/2020,4245
11/28/2020,7873
03/23/2020,236
03/04/2021,1740
07/19/2020,965
08/03/2020,1298
06/25/2020,894
05/10/2021,1424
03/10/2021,1682
08/01/2021,1869
10/25/2021,5140
05/28/2021,982
02/02/2021,2304
05/01/2021,2813
08/23/2020,1893
07/08/2020,980
12/25/2020,5742
06/01/2021,401
02/26/2020,0
03/02/2021,1577
10/02/2020,2456
09/13/2020,1462
10/01/2020,2166
05/06/2021,1778
12/03/2020,10959
08/19/2021,3180
03/08/2021,1182
11/26/2020,12022
06/25/2021,292
08/12/2020,1645
12/12/2020,8737
12/07/2020,8691
09/21/2020,1477
09/25/2020,2805
02/07/2020,0
10/13/2020,2851
02/06/2021,3062
12/19/2020,7562
06/10/2020,625
03/30/2021,2404
11/09/2020,10573
06/13/2021,298
10/22/2020,4942
06/05/2020,1156
01/27/2021,3751
08/08/2020,2190
10/04/2020,1453
09/14/2021,4660
12/17/2020,8828
02/18/2021,1966
08/31/2020,1668
01/23/2020,0
08/20/2021,4904
08/20/2020,1832
04/20/2021,2587
08/29/2020,1880
07/04/2020,862
07/17/2020,1427
05/26/2020,1178
10/24/2020,6161
04/15/2021,3581
09/01/2021,5178
06/23/2020,601
02/16/2020,0
08/02/2020,1467
05/21/2021,1573
04/10/2020,1465
05/02/2021,1860
06/07/2020,867
08/15/2020,1828
08/25/2021,4451
10/25/2020,4062
11/15/2020,10631
04/28/2020,2219
07/21/2020,955
07/09/2020,1018
10/28/2021,2601
02/27/2020,0
08/12/2021,3114
09/02/2020,2128
09/16/2020,1941
01/13/2021,5862
02/14/2020,0
02/10/2021,2825
06/02/2021,478
10/06/2021,2932
08/28/2020,2434
05/11/2020,1266
01/09/2021,6717
01/28/2020,0
10/14/2021,2481
02/11/2020,0
08/30/2021,3356
01/22/2020,0
05/20/2020,2388
03/27/2021,2678
06/13/2020,673
01/12/2021,6642
01/01/2021,0
04/27/2020,1980
03/21/2020,168
10/29/2020,6363
03/22/2020,296
03/01/2021,1143
02/24/2021,2022
06/16/2021,352
03/11/2021,1700
01/24/2021,3292
05/18/2021,1495
11/14/2020,11028
08/30/2020,1992
03/31/2020,937
01/22/2021,7042
10/10/2021,1965
05/25/2020,1713
01/04/2021,5059
10/11/2020,2727
01/02/2021,11963
11/23/2020,8322
06/11/2020,766
05/29/2021,802
07/01/2020,828
04/13/2021,3193
11/05/2020,9935
09/18/2021,2805
09/25/2021,2223
04/01/2020,986
09/24/2021,3304
02/12/2020,0
12/16/2020,7123
05/07/2020,2641
10/20/2020,3714
02/07/2021,2060
10/16/2020,5103
07/18/2021,939
07/17/2021,939
07/14/2020,707
01/14/2021,6652
02/15/2021,1420
07/08/2021,617
04/04/2020,1453
03/05/2020,1
10/09/2021,1965
05/14/2021,1841
03/19/2020,134
07/23/2021,1470
11/02/2020,6222
11/21/2020,11891
02/26/2021,2441
02/20/2021,1922
04/25/2021,2035
12/04/2020,10526
03/06/2020,1
07/01/2021,457
12/22/2020,6239
04/03/2020,1209
08/11/2020,1549
04/13/2020,1173
10/21/2020,4342
01/15/2021,6642
06/10/2021,366
06/23/2021,258
07/24/2020,1599
08/28/2021,3355
01/29/2021,4156
03/19/2021,2380
04/14/2021,3536
05/05/2020,2122
10/27/2021,2013
07/03/2020,1806
07/13/2021,578
06/04/2021,626
04/03/2021,2839
09/26/2020,2441
04/25/2020,2119
03/27/2020,488
02/16/2021,1348
08/16/2021,3042
06/20/2021,251
10/24/2021,0
06/06/2020,975
02/21/2021,1585
10/06/2020,1617
03/09/2020,4
08/25/2020,1680
03/20/2021,1962
07/28/2020,1076
07/29/2021,1691
08/26/2020,2157
09/30/2020,2273
07/22/2020,1598
06/27/2020,786
06/17/2021,248
07/06/2021,306
07/23/2020,1624
02/13/2020,0
10/28/2020,6110
02/05/2020,0
10/22/2021,2969
09/03/2020,1360
06/12/2021,268
11/10/2020,12623
01/30/2020,0
01/26/2021,3667
12/05/2020,9887
05/17/2021,946
06/08/2020,1382
04/12/2020,1672
05/04/2020,2391
07/14/2021,742
11/07/2020,12438
04/21/2021,2765
02/04/2021,3328
10/19/2020,3113
03/13/2021,1675
08/27/2020,1707
05/20/2021,1542
03/15/2021,782
07/30/2021,2348
05/09/2021,1741
11/01/2021,6125
03/15/2020,61
04/24/2021,2907
02/22/2021,1246
09/02/2021,4224
07/20/2021,745
05/29/2020,1622
04/08/2020,1529
12/08/2020,7910
04/12/2021,2433
09/12/2021,3050
08/06/2020,1953
02/19/2021,2219
04/30/2020,2563
07/26/2020,1541
11/16/2020,11632
11/22/2020,10012
01/17/2021,4162
10/31/2020,7899
08/17/2020,1773
12/01/2020,12542
03/03/2020,0
06/09/2020,797
03/11/2020,8
07/10/2020,1327
08/14/2020,2296
04/16/2020,1140
09/01/2020,1492
02/17/2021,1795
05/12/2020,4014
09/19/2021,2805
01/25/2021,2944
09/15/2021,4194
03/29/2021,1761
11/25/2020,11378
09/04/2020,5594
10/27/2020,4000
03/10/2020,8
11/19/2020,14612
07/11/2021,530
08/22/2021,3071
08/09/2021,2620
08/09/2020,1382
04/28/2021,2728
03/20/2020,163
01/24/2020,1
01/19/2021,4318
03/06/2021,2565
09/29/2021,2989
01/26/2020,0
06/03/2021,674
07/30/2020,1772
10/01/2021,3356
03/14/2021,1484
03/16/2021,1997
06/28/2021,249
03/12/2020,5
09/09/2020,1337
03/28/2020,465
10/10/2020,2905
12/02/2020,9757
05/15/2021,1513
09/11/2020,2312
08/10/2020,1319
11/04/2020,7538
04/11/2020,1293
03/17/2021,1655
06/02/2020,1614
04/09/2021,4004
06/19/2020,831
09/08/2021,3961
09/07/2020,1381
03/23/2021,1832
06/20/2020,634
09/10/2021,5309
11/12/2020,12702
02/23/2021,1665
09/27/2021,2225
04/10/2021,3630
04/17/2020,1842
09/26/2021,2223
02/11/2021,2838
11/27/2020,7574
11/29/2020,7178
08/13/2021,3479
08/06/2021,3040
07/22/2021,1993
05/09/2020,2325
04/23/2020,1826
12/18/2020,7377
06/08/2021,365
04/11/2021,2942
02/29/2020,0
04/22/2020,2049
03/24/2021,2793
07/20/2020,1173
08/01/2020,1639
12/15/2020,7359
08/03/2021,2682
06/05/2021,538
10/09/2020,3117
06/22/2021,191
06/15/2021,226
07/19/2021,939
07/29/2020,1393
05/13/2020,1677
08/31/2021,4871
03/08/2020,1
05/10/2020,1656
07/03/2021,305
12/24/2020,7037
06/24/2021,248
09/20/2020,1402
08/08/2021,2619
04/07/2020,1287
10/05/2020,1853
08/05/2020,1759
06/15/2020,473
09/30/2021,3344
01/11/2021,4776
09/16/2021,4349
12/29/2020,5644
12/13/2020,7216
01/03/2021,4469
08/23/2021,3071
08/14/2021,3042
04/20/2020,1151
06/14/2020,672
07/05/2021,305
04/27/2021,2556
08/21/2020,2293
