date,new_cases
10/29/2021,1916
10/28/2021,2070
10/27/2021,2046
10/26/2021,1409
10/25/2021,3516
10/24/2021,0
10/23/2021,0
10/22/2021,1884
10/21/2021,2150
10/20/2021,1950
10/19/2021,1534
10/18/2021,1274
10/17/2021,1274
10/16/2021,1274
10/15/2021,2262
10/14/2021,2619
10/13/2021,2695
10/12/2021,1601
10/11/2021,1574
10/10/2021,1573
10/9/2021,1573
10/8/2021,3444
10/7/2021,2198
10/6/2021,2633
10/5/2021,2102
10/4/2021,2029
10/3/2021,2028
10/2/2021,2028
10/1/2021,3174
9/30/2021,3399
9/29/2021,2861
9/28/2021,2318
9/27/2021,2104
9/26/2021,2104
9/25/2021,2104
9/24/2021,3210
9/23/2021,3588
9/22/2021,3899
9/21/2021,2635
9/20/2021,2662
9/19/2021,2660
9/18/2021,2660
9/17/2021,4284
9/16/2021,4090
9/15/2021,4702
9/14/2021,3515
9/13/2021,3391
9/12/2021,3389
9/11/2021,3389
9/10/2021,5328
9/9/2021,5154
9/8/2021,2901
9/7/2021,3246
9/6/2021,3245
9/5/2021,3245
9/4/2021,3245
9/3/2021,5029
9/2/2021,5152
9/1/2021,4733
8/31/2021,3535
8/30/2021,3777
8/29/2021,3777
8/28/2021,3777
8/27/2021,4831
8/26/2021,4901
8/25/2021,4958
8/24/2021,3461
8/23/2021,2800
8/22/2021,2800
8/21/2021,2800
8/20/2021,4103
8/19/2021,3501
8/18/2021,3451
8/17/2021,2691
8/16/2021,2224
8/15/2021,2223
8/14/2021,2223
8/13/2021,2656
8/12/2021,3151
8/11/2021,2458
8/10/2021,2196
8/9/2021,1650
8/8/2021,1648
8/7/2021,1648
8/6/2021,2009
8/5/2021,1900
8/4/2021,1731
8/3/2021,1589
8/2/2021,934
8/1/2021,932
7/31/2021,932
7/30/2021,1424
7/29/2021,1251
7/28/2021,1215
7/27/2021,1058
7/26/2021,635
7/25/2021,634
7/24/2021,634
7/23/2021,760
7/22/2021,851
7/21/2021,710
7/20/2021,655
7/19/2021,437
7/18/2021,436
7/17/2021,436
7/16/2021,545
7/15/2021,556
7/14/2021,583
7/13/2021,575
7/12/2021,282
7/11/2021,280
7/10/2021,280
7/9/2021,437
7/8/2021,555
7/7/2021,370
7/6/2021,244
7/5/2021,244
7/4/2021,244
7/3/2021,244
7/2/2021,407
7/1/2021,390
6/30/2021,399
6/29/2021,268
6/28/2021,187
6/27/2021,187
6/26/2021,187
6/25/2021,304
6/24/2021,287
6/23/2021,282
6/22/2021,300
6/21/2021,71
6/20/2021,213
6/19/2021,405
6/18/2021,405
6/17/2021,262
6/16/2021,335
6/15/2021,303
6/14/2021,55
6/13/2021,380
6/12/2021,443
6/11/2021,395
6/10/2021,460
6/9/2021,352
6/8/2021,364
6/7/2021,67
6/6/2021,462
6/5/2021,419
6/4/2021,445
6/3/2021,1216
6/2/2021,261
6/1/2021,65
5/31/2021,452
5/30/2021,358
5/29/2021,428
5/28/2021,557
5/27/2021,656
5/26/2021,644
5/25/2021,489
5/24/2021,375
5/23/2021,563
5/22/2021,665
5/21/2021,788
5/20/2021,891
5/19/2021,802
5/18/2021,481
5/17/2021,537
5/16/2021,726
5/15/2021,1145
5/14/2021,899
5/13/2021,882
5/12/2021,841
5/11/2021,663
5/10/2021,590
5/9/2021,905
5/8/2021,1047
5/7/2021,1164
5/6/2021,1247
