date,new_cases
03/11/2021,0
09/08/2021,1147
04/14/2020,101
04/01/2021,0
03/13/2020,2
11/11/2020,5672
04/25/2021,164
01/23/2020,0
05/05/2021,235
04/29/2020,247
04/21/2021,296
03/01/2021,639
10/22/2021,947
09/19/2020,0
09/17/2021,1606
05/13/2021,183
05/30/2021,105
10/05/2021,1156
03/19/2020,14
06/25/2020,0
04/23/2020,271
06/11/2020,0
08/26/2021,1726
02/28/2020,0
01/28/2021,0
01/19/2021,0
05/04/2020,215
09/02/2020,1328
07/06/2021,213
09/23/2021,1263
05/07/2021,234
09/04/2020,1280
10/14/2021,910
06/23/2020,0
10/18/2021,508
04/17/2020,172
05/20/2021,202
10/03/2021,605
07/07/2020,0
11/19/2020,0
07/25/2020,0
09/10/2021,2151
07/20/2021,770
05/09/2021,114
02/17/2021,1267
02/27/2020,0
08/12/2020,817
07/09/2020,0
07/10/2021,224
08/06/2021,1089
06/03/2021,166
05/06/2020,276
09/21/2020,1674
01/05/2021,0
04/11/2020,38
07/28/2020,0
07/12/2020,0
05/19/2021,259
07/23/2021,770
07/29/2020,698
09/27/2020,0
07/02/2020,0
07/24/2021,495
06/05/2021,102
06/08/2021,200
08/02/2021,569
03/16/2020,3
09/07/2021,1145
11/13/2020,6282
08/30/2020,0
12/17/2020,0
03/14/2021,0
10/26/2020,2446
02/02/2020,0
12/05/2020,91
11/23/2020,7526
05/08/2020,357
12/15/2020,0
12/09/2020,5778
08/16/2021,820
01/26/2020,0
08/21/2020,966
05/21/2021,204
03/21/2021,0
08/15/2020,0
03/24/2021,802
01/11/2021,5180
02/01/2021,1983
05/27/2020,119
08/19/2021,1337
07/10/2020,993
09/09/2021,2151
09/24/2020,0
05/26/2021,224
10/21/2020,1488
12/21/2020,4174
06/10/2020,162
02/23/2021,0
10/16/2020,1700
04/13/2021,0
09/14/2020,1513
08/29/2021,1067
09/03/2020,0
02/15/2021,1348
06/21/2020,0
04/28/2021,323
11/07/2020,0
05/30/2020,0
08/04/2021,1357
05/29/2020,382
09/04/2021,1145
09/13/2021,961
05/12/2020,0
06/12/2020,235
10/31/2020,0
03/15/2020,1
02/04/2020,0
09/01/2020,0
03/04/2020,0
09/06/2020,0
06/07/2021,104
12/28/2020,6373
12/23/2020,5089
08/10/2021,1370
10/28/2020,3369
09/21/2021,1281
03/06/2020,0
05/26/2020,0
10/18/2020,0
06/06/2020,0
06/14/2021,83
07/05/2021,213
05/25/2021,222
02/26/2021,826
10/19/2021,1060
03/18/2021,0
04/26/2020,118
11/01/2020,0
07/28/2021,1089
10/29/2021,1916
11/17/2020,0
08/25/2021,1740
01/12/2021,0
10/24/2020,0
11/29/2020,0
08/03/2020,1064
12/07/2020,5730
09/25/2020,1366
10/24/2021,0
02/10/2020,0
06/27/2020,0
07/13/2020,1447
03/30/2020,49
04/13/2020,-1
06/10/2021,134
05/15/2020,418
09/16/2021,1605
08/24/2020,1545
07/01/2021,204
04/15/2021,0
11/01/2021,1287
02/16/2020,0
05/31/2020,0
03/27/2020,34
10/16/2021,506
04/03/2020,68
01/28/2020,0
03/08/2021,590
07/29/2021,1000
09/25/2021,664
08/03/2021,1357
05/29/2021,105
03/29/2021,429
04/10/2020,135
01/29/2020,0
03/09/2021,0
08/18/2020,0
06/24/2021,143
08/25/2020,0
02/29/2020,0
04/10/2021,0
02/20/2020,0
06/19/2020,378
01/22/2020,0
05/31/2021,105
03/17/2021,686
02/04/2021,0
04/17/2021,0
03/05/2020,0
01/30/2021,0
07/16/2021,561
01/03/2021,0
08/12/2021,1495
10/27/2021,2437
07/14/2020,0
04/23/2021,245
10/30/2021,0
04/20/2021,297
08/24/2021,1738
02/25/2021,0
05/24/2021,93
10/20/2021,1061
03/25/2021,0
05/15/2021,122
07/13/2021,577
06/26/2021,115
03/12/2020,3
06/29/2020,905
06/04/2020,0
03/28/2021,0
04/05/2020,115
07/19/2020,0
07/21/2021,771
01/14/2021,0
07/07/2021,219
12/04/2020,6234
11/06/2020,5418
10/07/2020,1244
08/14/2020,1338
10/06/2020,0
08/06/2020,0
04/20/2020,137
10/15/2020,0
01/20/2021,3590
03/20/2020,9
02/12/2020,0
07/22/2020,770
03/07/2020,0
05/14/2020,0
06/16/2020,0
02/12/2021,1208
11/14/2020,0
09/23/2020,1267
06/22/2020,406
02/21/2020,0
10/14/2020,1293
06/29/2021,227
09/13/2020,0
02/19/2021,2115
01/02/2021,0
02/08/2021,1398
02/06/2021,0
10/30/2020,3136
07/02/2021,205
10/10/2020,0
05/23/2020,0
12/18/2020,5857
10/29/2020,0
01/01/2021,5312
03/13/2021,0
09/12/2021,959
09/09/2020,496
02/26/2020,0
07/18/2020,0
11/30/2020,4425
05/03/2020,284
07/30/2021,1001
02/13/2021,0
03/12/2021,519
07/05/2020,0
08/31/2021,2097
04/30/2021,310
06/09/2021,201
10/02/2020,1362
07/15/2020,875
12/20/2020,0
09/26/2021,664
06/24/2020,505
09/19/2021,820
02/14/2021,0
09/05/2020,0
05/10/2020,233
10/17/2020,0
02/24/2020,0
11/26/2020,0
06/05/2020,223
01/16/2021,0
04/05/2021,354
06/01/2020,292
05/10/2021,117
08/09/2020,0
06/07/2020,0
09/07/2020,1694
08/01/2021,567
07/30/2020,0
09/15/2020,0
10/28/2021,0
02/18/2021,0
03/02/2020,0
01/25/2021,2602
10/01/2020,0
07/16/2020,0
10/04/2020,0
05/20/2020,199
05/01/2021,171
09/08/2020,0
09/17/2020,0
10/20/2020,0
03/26/2020,70
03/22/2020,9
06/03/2020,159
09/14/2021,1832
03/16/2021,0
07/31/2021,567
07/15/2021,560
09/11/2021,959
01/08/2021,5504
10/19/2020,2113
03/04/2021,0
03/08/2020,1
08/28/2021,1067
04/18/2020,51
04/18/2021,0
12/14/2020,4724
08/07/2020,921
06/22/2021,160
08/22/2021,925
06/18/2020,0
12/31/2020,0
05/14/2021,184
09/18/2021,820
09/20/2021,822
08/11/2021,1371
02/18/2020,0
07/20/2020,1369
05/22/2021,92
07/14/2021,578
02/05/2020,0
05/18/2021,259
11/05/2020,0
08/20/2021,1338
06/09/2020,0
02/22/2020,0
10/23/2021,0
04/19/2021,429
04/02/2021,501
09/15/2021,1833
01/18/2021,3688
10/13/2021,1061
02/13/2020,0
04/07/2021,540
04/04/2020,78
10/05/2020,1597
05/11/2021,205
04/15/2020,17
08/17/2021,1502
02/08/2020,0
05/27/2021,0
06/08/2020,257
12/27/2020,0
05/17/2020,0
08/02/2020,0
10/12/2021,1060
11/20/2020,5939
12/08/2020,0
11/18/2020,5853
05/17/2021,124
11/09/2020,5920
03/30/2021,0
04/04/2021,0
09/03/2021,1977
07/26/2021,498
10/04/2021,607
11/08/2020,0
04/09/2021,469
10/02/2021,605
04/25/2020,279
06/13/2021,81
12/30/2020,6371
03/10/2021,778
07/27/2020,1063
02/17/2020,0
08/31/2020,1564
01/13/2021,4539
03/21/2020,11
06/25/2021,144
02/24/2021,1122
02/01/2020,0
07/04/2021,213
12/13/2020,0
03/09/2020,0
03/11/2020,0
03/17/2020,5
10/12/2020,2055
10/10/2021,566
06/11/2021,135
12/03/2020,0
01/04/2021,3572
06/28/2021,117
06/13/2020,0
11/02/2020,4096
