date,new_cases
04/13/2020,124
02/05/2020,0
08/31/2020,903
02/07/2020,0
09/27/2021,4199
12/26/2020,1562
08/11/2020,814
08/13/2021,2785
09/04/2021,3502
02/18/2021,1513
07/11/2020,551
08/20/2021,3881
01/13/2021,4018
08/28/2020,853
09/26/2020,503
11/01/2020,1090
09/15/2020,767
11/18/2020,4181
02/03/2021,2296
11/13/2020,2908
05/01/2020,232
08/06/2021,2445
02/24/2020,0
10/12/2021,2044
06/13/2020,94
03/05/2021,744
09/12/2021,2284
06/25/2021,155
07/20/2020,534
02/19/2020,0
06/16/2021,208
05/19/2020,199
01/04/2021,2908
10/15/2020,1189
12/02/2020,3855
10/03/2020,622
09/20/2020,351
01/23/2021,2168
03/27/2021,350
11/06/2020,2286
04/26/2020,132
01/22/2021,3107
09/22/2020,866
02/13/2021,1096
09/18/2020,836
04/24/2020,211
10/14/2021,1585
11/22/2020,2382
02/02/2021,2483
07/26/2020,303
04/27/2020,127
03/29/2020,28
05/29/2021,127
12/31/2020,3171
08/25/2020,783
05/10/2021,506
07/18/2021,367
04/07/2021,611
08/23/2020,329
05/28/2021,278
06/30/2021,195
08/12/2020,872
03/06/2021,424
01/03/2021,2410
02/15/2020,0
02/28/2020,0
09/22/2021,3683
01/22/2020,0
03/13/2021,337
02/08/2020,0
03/23/2020,81
12/24/2020,1845
07/07/2021,315
04/21/2021,568
07/05/2021,139
06/12/2021,90
09/05/2021,2604
03/06/2020,2
09/29/2020,832
04/08/2020,135
03/19/2020,30
09/08/2020,642
03/01/2020,0
05/28/2020,291
11/19/2020,4072
05/07/2021,470
04/22/2021,557
08/01/2021,1176
06/13/2021,92
03/21/2021,256
10/11/2020,626
01/21/2021,3610
11/26/2020,2084
02/26/2021,952
12/27/2020,1396
03/15/2021,646
03/03/2020,0
10/30/2020,1831
08/02/2021,1953
08/22/2020,515
05/12/2021,565
10/04/2020,422
05/04/2020,274
06/09/2020,202
05/18/2021,488
09/16/2020,594
08/23/2021,4364
07/13/2020,546
07/15/2021,569
02/09/2020,0
11/05/2020,2300
02/28/2021,353
01/10/2021,2232
06/07/2021,487
03/28/2021,273
05/23/2021,129
09/14/2020,708
10/15/2021,1387
09/07/2020,323
01/17/2021,1921
01/31/2021,1633
07/23/2020,903
03/16/2020,7
06/04/2020,264
04/06/2021,660
06/16/2020,210
10/24/2021,480
01/16/2021,2419
06/24/2021,192
08/10/2020,1016
09/13/2020,368
04/04/2021,187
08/05/2021,2668
08/19/2020,885
11/15/2020,1738
05/27/2021,295
07/10/2020,669
01/24/2020,0
04/05/2020,70
12/01/2020,3757
09/11/2021,3318
07/09/2021,355
06/30/2020,267
12/18/2020,2734
08/20/2020,717
04/17/2020,114
04/03/2021,274
10/12/2020,867
10/05/2021,2382
08/08/2020,330
07/17/2021,361
08/15/2021,2037
06/26/2020,363
06/21/2021,201
04/15/2021,660
06/19/2021,98
12/20/2020,1886
03/13/2020,5
06/01/2021,274
