date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,1
3/10/2020,0
3/11/2020,7
3/12/2020,6
3/13/2020,19
3/14/2020,0
3/15/2020,68
3/16/2020,36
3/17/2020,53
3/18/2020,71
3/19/2020,131
3/20/2020,145
3/21/2020,226
3/22/2020,272
3/23/2020,137
3/24/2020,216
3/25/2020,558
3/26/2020,359
3/27/2020,441
3/28/2020,569
3/29/2020,225
3/30/2020,485
3/31/2020,1212
4/1/2020,1187
4/2/2020,2726
4/3/2020,1147
4/4/2020,2199
4/5/2020,514
4/6/2020,1857
4/7/2020,1417
4/8/2020,746
4/9/2020,1253
4/10/2020,970
4/11/2020,761
4/12/2020,581
4/13/2020,421
4/14/2020,502
4/15/2020,433
4/16/2020,581
4/17/2020,586
4/18/2020,462
4/19/2020,348
4/20/2020,595
4/21/2020,331
4/22/2020,463
4/23/2020,481
4/24/2020,342
4/25/2020,372
4/26/2020,320
4/27/2020,279
4/28/2020,218
4/29/2020,374
4/30/2020,341
5/1/2020,667
5/2/2020,429
5/3/2020,243
5/4/2020,363
5/5/2020,323
5/6/2020,330
5/7/2020,326
5/8/2020,203
5/9/2020,562
5/10/2020,183
5/11/2020,208
5/12/2020,235
5/13/2020,612
5/14/2020,827
5/15/2020,348
5/16/2020,280
5/17/2020,315
5/18/2020,334
5/19/2020,329
5/20/2020,278
5/21/2020,1188
5/22/2020,421
5/23/2020,115
5/24/2020,129
5/25/2020,622
5/26/2020,245
5/27/2020,443
5/28/2020,305
5/29/2020,0
5/30/2020,775
5/31/2020,234
6/1/2020,536
6/2/2020,405
6/3/2020,276
6/4/2020,429
6/5/2020,427
6/6/2020,497
6/7/2020,330
6/8/2020,234
6/9/2020,562
6/10/2020,418
6/11/2020,442
6/12/2020,523
6/13/2020,1288
6/14/2020,336
6/15/2020,553
6/16/2020,534
6/17/2020,928
6/18/2020,0
6/19/2020,-119
6/20/2020,870
6/21/2020,393
6/22/2020,461
6/23/2020,1356
6/24/2020,882
6/25/2020,938
6/26/2020,1354
6/27/2020,0
6/28/2020,1467
6/29/2020,845
6/30/2020,1014
7/1/2020,2083
7/2/2020,1383
7/3/2020,1728
7/4/2020,0
7/5/2020,1937
7/6/2020,1101
7/7/2020,1936
7/8/2020,1888
7/9/2020,1843
7/10/2020,2642
7/11/2020,2167
7/12/2020,1319
7/13/2020,1705
7/14/2020,2215
7/15/2020,2089
7/16/2020,2280
7/17/2020,2179
7/18/2020,0
7/19/2020,3116
7/20/2020,3186
7/21/2020,1691
7/22/2020,2771
7/23/2020,2296
7/24/2020,2084
7/25/2020,0
7/26/2020,3840
7/27/2020,2343
7/28/2020,1121
7/29/2020,1735
7/30/2020,1708
7/31/2020,1799
8/1/2020,0
8/2/2020,3467
8/3/2020,1099
8/4/2020,3615
8/5/2020,1482
8/6/2020,1303
8/7/2020,1500
