date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,1
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,1
3/4/2020,0
3/5/2020,0
3/6/2020,5
3/7/2020,2
3/8/2020,19
3/9/2020,0
3/10/2020,63
3/11/2020,4
3/12/2020,13
3/13/2020,1
3/14/2020,0
3/15/2020,55
3/16/2020,33
3/17/2020,21
3/18/2020,38
3/19/2020,72
3/20/2020,85
3/21/2020,112
3/22/2020,121
3/23/2020,131
3/24/2020,382
3/25/2020,679
3/26/2020,579
3/27/2020,823
3/28/2020,1017
3/29/2020,698
3/30/2020,797
3/31/2020,868
4/1/2020,1118
4/2/2020,1228
4/3/2020,1436
4/4/2020,1334
4/5/2020,764
4/6/2020,1337
4/7/2020,1365
4/8/2020,1365
4/9/2020,2374
4/10/2020,1904
4/11/2020,3073
4/12/2020,1557
4/13/2020,1392
4/14/2020,1296
4/15/2020,1755
4/16/2020,2263
4/17/2020,2221
4/18/2020,1970
4/19/2020,1705
4/20/2020,1566
4/21/2020,1556
4/22/2020,1745
4/23/2020,3079
4/24/2020,4946
4/25/2020,2379
4/26/2020,1590
4/27/2020,1524
4/28/2020,1840
4/29/2020,1963
4/30/2020,1940
5/1/2020,2106
5/2/2020,1952
5/3/2020,1824
5/4/2020,1000
5/5/2020,1184
5/6/2020,1754
5/7/2020,1696
5/8/2020,1612
5/9/2020,1410
5/10/2020,1050
5/11/2020,669
5/12/2020,870
5/13/2020,1165
5/14/2020,1685
5/15/2020,1239
5/16/2020,1512
5/17/2020,1077
5/18/2020,1042
5/19/2020,873
5/20/2020,1045
5/21/2020,1114
5/22/2020,815
5/23/2020,763
5/24/2020,1013
5/25/2020,596
5/26/2020,422
5/27/2020,527
5/28/2020,675
5/29/2020,617
5/30/2020,789
5/31/2020,664
6/1/2020,326
6/2/2020,248
6/3/2020,425
6/4/2020,412
6/5/2020,420
6/6/2020,505
6/7/2020,261
6/8/2020,193
6/9/2020,200
6/10/2020,203
6/11/2020,346
6/12/2020,307
6/13/2020,259
6/14/2020,206
6/15/2020,58
6/16/2020,140
6/17/2020,180
6/18/2020,199
6/19/2020,152
6/20/2020,223
6/21/2020,105
6/22/2020,136
6/23/2020,182
6/24/2020,111
6/25/2020,160
6/26/2020,149
6/27/2020,305
6/28/2020,163
6/29/2020,89
6/30/2020,73
7/1/2020,157
7/2/2020,158
7/3/2020,212
7/4/2020,163
7/5/2020,111
7/6/2020,157
7/7/2020,140
7/8/2020,162
7/9/2020,177
7/10/2020,152
7/11/2020,167
7/12/2020,172
7/13/2020,154
7/14/2020,203
7/15/2020,142
7/16/2020,143
7/17/2020,216
7/18/2020,177
7/19/2020,218
7/20/2020,174
7/21/2020,165
7/22/2020,192
7/23/2020,270
7/24/2020,214
7/25/2020,210
7/26/2020,273
7/27/2020,182
7/28/2020,178
7/29/2020,356
7/30/2020,304
7/31/2020,387
8/1/2020,290
8/2/2020,353
8/3/2020,165
8/4/2020,438
8/5/2020,338
8/6/2020,162
8/7/2020,320
