date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,3
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,6
3/10/2020,0
3/11/2020,3
3/12/2020,0
3/13/2020,0
3/14/2020,0
3/15/2020,25
3/16/2020,20
3/17/2020,28
3/18/2020,22
3/19/2020,42
3/20/2020,0
3/21/2020,41
3/22/2020,98
3/23/2020,0
3/24/2020,61
3/25/2020,231
3/26/2020,194
3/27/2020,0
3/28/2020,218
3/29/2020,247
3/30/2020,421
3/31/2020,0
4/1/2020,325
4/2/2020,346
4/3/2020,427
4/4/2020,367
4/5/2020,920
4/6/2020,326
4/7/2020,1158
4/8/2020,656
4/9/2020,783
4/10/2020,0
4/11/2020,726
4/12/2020,1242
4/13/2020,536
4/14/2020,560
4/15/2020,752
4/16/2020,788
4/17/2020,0
4/18/2020,736
4/19/2020,1376
4/20/2020,509
4/21/2020,582
4/22/2020,962
4/23/2020,879
4/24/2020,0
4/25/2020,1150
4/26/2020,1721
4/27/2020,626
4/28/2020,736
4/29/2020,893
4/30/2020,1730
5/1/2020,0
5/2/2020,1001
5/3/2020,1935
5/4/2020,709
5/5/2020,1046
5/6/2020,0
5/7/2020,2322
5/8/2020,1049
5/9/2020,1053
5/10/2020,786
5/11/2020,688
5/12/2020,751
5/13/2020,1091
5/14/2020,1083
5/15/2020,982
5/16/2020,836
5/17/2020,0
5/18/2020,2742
5/19/2020,777
5/20/2020,1208
5/21/2020,893
5/22/2020,1071
5/23/2020,818
5/24/2020,839
5/25/2020,535
5/26/2020,736
5/27/2020,1286
5/28/2020,1279
5/29/2020,1027
5/30/2020,763
5/31/2020,549
6/1/2020,848
6/2/2020,807
6/3/2020,876
6/4/2020,912
6/5/2020,712
6/6/2020,491
6/7/2020,431
6/8/2020,500
6/9/2020,561
6/10/2020,732
6/11/2020,416
6/12/2020,692
6/13/2020,396
6/14/2020,331
6/15/2020,377
6/16/2020,560
6/17/2020,260
6/18/2020,319
6/19/2020,408
6/20/2020,350
6/21/2020,297
6/22/2020,404
6/23/2020,330
6/24/2020,440
6/25/2020,338
6/26/2020,335
6/27/2020,327
6/28/2020,477
6/29/2020,305
6/30/2020,359
7/1/2020,505
7/2/2020,538
7/3/2020,380
7/4/2020,291
7/5/2020,272
7/6/2020,492
7/7/2020,465
7/8/2020,586
7/9/2020,463
7/10/2020,557
7/11/2020,642
7/12/2020,418
7/13/2020,733
7/14/2020,756
7/15/2020,648
7/16/2020,707
7/17/2020,835
7/18/2020,925
7/19/2020,554
7/20/2020,860
7/21/2020,627
7/22/2020,664
7/23/2020,930
7/24/2020,1288
7/25/2020,694
7/26/2020,1128
7/27/2020,648
7/28/2020,761
7/29/2020,892
7/30/2020,1169
7/31/2020,1019
8/1/2020,909
8/2/2020,870
8/3/2020,710
8/4/2020,572
8/5/2020,579
8/6/2020,801
8/7/2020,775
8/8/2020,922
8/9/2020,755
8/10/2020,585
