date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,1
3/13/2020,0
3/14/2020,4
3/15/2020,9
3/16/2020,5
3/17/2020,13
3/18/2020,12
3/19/2020,8
3/20/2020,4
3/21/2020,14
3/22/2020,23
3/23/2020,16
3/24/2020,9
3/25/2020,29
3/26/2020,8
3/27/2020,13
3/28/2020,43
3/29/2020,42
3/30/2020,50
3/31/2020,0
4/1/2020,41
4/2/2020,32
4/3/2020,56
4/4/2020,24
4/5/2020,14
4/6/2020,29
4/7/2020,20
4/8/2020,18
4/9/2020,23
4/10/2020,23
4/11/2020,33
4/12/2020,17
4/13/2020,65
4/14/2020,36
4/15/2020,36
4/16/2020,26
4/17/2020,31
4/18/2020,20
4/19/2020,20
4/20/2020,8
4/21/2020,13
4/22/2020,19
4/23/2020,30
4/24/2020,28
4/25/2020,25
4/26/2020,33
4/27/2020,17
4/28/2020,16
4/29/2020,39
4/30/2020,28
5/1/2020,0
5/2/2020,29
5/3/2020,53
5/4/2020,21
5/5/2020,28
5/6/2020,0
5/7/2020,120
5/8/2020,0
5/9/2020,60
5/10/2020,23
5/11/2020,5
5/12/2020,53
5/13/2020,0
5/14/2020,88
5/15/2020,45
5/16/2020,39
5/17/2020,26
5/18/2020,28
5/19/2020,78
5/20/2020,58
5/21/2020,71
5/22/2020,0
5/23/2020,65
5/24/2020,61
5/25/2020,35
5/26/2020,0
5/27/2020,80
5/28/2020,37
5/29/2020,56
5/30/2020,43
5/31/2020,24
6/1/2020,28
6/2/2020,41
6/3/2020,0
6/4/2020,28
6/5/2020,36
6/6/2020,88
6/7/2020,0
6/8/2020,18
6/9/2020,18
6/10/2020,61
6/11/2020,0
6/12/2020,54
6/13/2020,36
6/14/2020,53
6/15/2020,9
6/16/2020,0
6/17/2020,17
6/18/2020,42
6/19/2020,60
6/20/2020,0
6/21/2020,19
6/22/2020,14
6/23/2020,23
6/24/2020,77
6/25/2020,-1
6/26/2020,32
6/27/2020,89
6/28/2020,30
6/29/2020,31
6/30/2020,42
7/1/2020,34
7/2/2020,0
7/3/2020,69
7/4/2020,0
7/5/2020,26
7/6/2020,17
7/7/2020,20
7/8/2020,26
7/9/2020,13
7/10/2020,0
7/11/2020,40
7/12/2020,19
7/13/2020,8
7/14/2020,12
7/15/2020,20
7/16/2020,38
7/17/2020,8
7/18/2020,2
7/19/2020,65
7/20/2020,0
7/21/2020,11
7/22/2020,15
7/23/2020,21
7/24/2020,-1
7/25/2020,57
7/26/2020,18
7/27/2020,6
7/28/2020,28
7/29/2020,22
7/30/2020,22
7/31/2020,27
8/1/2020,21
8/2/2020,12
8/3/2020,5
8/4/2020,17
8/5/2020,5
8/6/2020,18
8/7/2020,11
8/8/2020,16
8/9/2020,9
8/10/2020,-1
8/11/2020,19
8/12/2020,20
8/13/2020,26
