date,new_cases
01/27/2020,0
01/18/2021,2211
08/29/2020,970
08/23/2021,1429
06/29/2020,1873
04/12/2021,8115
02/04/2021,1276
07/06/2021,282
04/17/2021,3677
11/22/2020,3632
02/03/2021,1290
06/24/2020,1400
04/05/2021,8365
05/31/2021,243
06/06/2020,421
08/18/2020,1454
08/12/2021,1934
09/25/2020,1042
02/24/2020,0
05/04/2021,2531
01/31/2021,1000
08/12/2020,1529
08/22/2020,885
01/26/2021,1608
03/15/2020,495
12/04/2020,4948
05/24/2021,891
11/25/2020,6140
01/21/2021,1815
05/19/2021,1120
02/07/2021,946
09/22/2020,1768
09/30/2020,1094
09/15/2021,4437
08/01/2020,967
07/08/2020,1620
01/03/2021,2349
08/30/2020,712
04/19/2020,616
06/21/2020,445
06/02/2020,1063
03/20/2020,1041
08/01/2021,592
05/06/2020,1482
08/19/2020,1452
06/14/2020,301
02/12/2020,0
05/03/2021,3069
04/11/2021,4644
10/17/2021,3113
08/17/2020,1621
01/29/2021,1312
07/17/2020,1473
06/07/2021,299
01/22/2021,1859
12/18/2020,3027
03/11/2021,2315
07/10/2021,191
10/21/2020,2636
03/13/2020,375
04/28/2020,1218
08/08/2021,282
09/21/2021,3511
03/14/2021,2012
04/14/2020,1056
07/27/2020,1596
04/15/2021,5798
01/12/2021,2281
09/18/2020,1284
06/25/2020,1488
12/02/2020,6274
07/10/2020,1463
02/25/2021,1180
06/18/2021,159
10/06/2020,1507
12/29/2020,3334
06/29/2021,197
06/15/2021,198
10/27/2020,3797
02/12/2021,1269
05/08/2020,2848
06/01/2021,536
09/20/2021,2735
10/09/2020,1576
09/01/2020,1437
01/26/2020,0
02/06/2021,1050
07/13/2021,327
06/18/2020,804
12/15/2020,3623
12/12/2020,2611
05/21/2020,1245
08/11/2021,1730
08/10/2021,1592
02/10/2020,0
01/01/2021,2011
10/03/2020,956
09/07/2021,1730
06/02/2021,386
10/19/2020,2578
11/05/2020,6015
09/20/2020,903
10/26/2021,4463
08/25/2020,1407
06/07/2020,308
04/07/2021,7739
04/20/2021,4940
04/21/2021,4555
11/09/2020,7966
08/15/2021,1296
06/25/2021,140
10/04/2021,3274
08/18/2021,1464
12/24/2020,1932
11/19/2020,6304
06/08/2021,257
05/28/2021,459
07/23/2020,1416
06/17/2021,156
05/07/2021,1927
12/19/2020,2107
10/01/2021,4774
10/23/2021,0
03/25/2020,1258
04/09/2020,1112
02/16/2020,0
09/26/2021,2905
07/04/2020,534
05/15/2020,3612
06/06/2021,183
02/16/2021,1158
07/15/2020,1759
09/24/2021,3159
12/28/2020,3938
09/09/2021,3488
07/29/2021,797
08/09/2021,94
08/22/2021,1428
08/21/2020,1358
02/15/2020,0
05/18/2021,1223
11/28/2020,4152
07/21/2020,1529
12/22/2020,2719
08/31/2021,2321
04/08/2021,7384
03/14/2020,393
06/12/2021,160
03/30/2021,6813
11/20/2020,6283
02/28/2021,1057
07/27/2021,789
03/23/2020,1333
04/16/2021,5281
02/09/2020,0
02/27/2020,0
11/18/2020,6821
02/08/2020,0
09/08/2020,1586
10/26/2020,3856
05/03/2020,501
07/24/2020,1371
07/13/2020,1820
05/31/2020,402
07/17/2021,313
10/18/2020,1504
09/26/2020,862
01/25/2020,0
05/25/2020,331
04/13/2021,6931
02/26/2020,0
05/21/2021,877
02/14/2020,0
10/31/2020,2944
09/03/2020,1216
10/29/2020,3645
02/14/2021,827
10/23/2020,2652
07/09/2020,1508
06/20/2020,480
02/23/2020,0
06/23/2021,163
09/17/2020,1335
01/24/2021,1195
09/24/2020,1222
03/21/2020,852
08/24/2021,2307
12/31/2020,2567
01/16/2021,1547
06/09/2020,824
04/26/2020,657
05/10/2020,487
05/02/2020,686
03/22/2020,846
04/13/2020,1165
10/30/2021,0
11/21/2020,4337
10/20/2020,2575
09/09/2020,1602
01/28/2021,1420
06/14/2021,209
07/19/2021,533
09/02/2021,2636
04/08/2020,1221
08/28/2021,1877
05/16/2020,702
10/28/2020,3885
07/01/2021,194
02/09/2021,1833
08/20/2020,1367
07/03/2021,141
10/08/2020,1587
12/21/2020,3262
06/22/2020,1188
06/13/2021,131
03/26/2020,1218
09/25/2021,2905
03/15/2021,3447
05/23/2021,509
07/14/2020,1696
10/22/2021,4357
07/03/2020,927
01/27/2021,1692
02/07/2020,0
04/04/2020,1084
05/26/2021,599
10/12/2020,1997
06/28/2021,201
11/27/2020,5273
05/17/2021,1485
09/06/2021,1726
10/03/2021,3271
04/24/2020,1380
12/08/2020,4471
09/23/2020,1710
10/01/2020,1056
02/04/2020,0
03/24/2021,6114
12/01/2020,6504
10/04/2020,886
11/14/2020,4761
09/06/2020,667
05/14/2021,1392
08/27/2021,2137
07/05/2021,227
08/06/2021,702
04/18/2021,3377
09/21/2020,1958
02/02/2021,1329
12/26/2020,2546
10/31/2021,0
09/22/2021,4207
02/01/2021,1639
05/26/2020,1145
12/30/2020,3134
05/29/2021,329
04/02/2020,1218
06/05/2020,780
12/27/2020,2290
08/13/2020,1412
11/13/2020,6634
10/19/2021,4849
05/06/2021,2181
02/23/2021,1347
02/20/2020,0
11/10/2020,8323
04/27/2020,1261
09/13/2021,2333
04/15/2020,1055
01/09/2021,1987
03/20/2021,3193
01/23/2021,1416
04/11/2020,903
05/25/2021,632
06/05/2021,237
01/30/2021,1160
07/22/2021,582
01/10/2021,1784
07/06/2020,1603
07/31/2020,1406
11/30/2020,7151
09/28/2021,3958
06/26/2021,107
03/02/2021,1577
03/11/2020,203
08/19/2021,2871
03/27/2021,4577
05/19/2020,2690
04/01/2021,6669
01/31/2020,0
03/04/2020,24
07/01/2020,1626
05/11/2020,2620
03/05/2020,26
10/05/2020,1544
10/20/2021,3940
03/31/2020,1398
05/13/2020,1588
12/14/2020,3951
06/16/2021,184
03/18/2021,3471
07/16/2020,1661
10/06/2021,5318
04/29/2020,1458
02/06/2020,0
08/06/2020,1354
02/11/2020,0
02/13/2021,945
02/19/2020,0
09/10/2021,3534
03/08/2021,2228
08/10/2020,1764
03/24/2020,1155
10/22/2020,2707
09/18/2021,2734
08/25/2021,2888
11/24/2020,6582
07/19/2020,694
10/16/2020,1796
06/19/2021,131
05/12/2021,1650
06/15/2020,859
01/30/2020,0
06/11/2021,199
10/18/2021,3115
07/20/2021,530
12/23/2020,2829
09/29/2021,4736
08/03/2020,1669
10/02/2021,3271
08/24/2020,1534
08/15/2020,890
12/03/2020,5344
01/23/2020,0
08/26/2020,1292
02/03/2020,0
10/10/2020,1325
12/13/2020,2307
08/16/2021,1298
11/26/2020,2494
03/26/2021,5846
10/02/2020,1071
01/13/2021,2198
08/30/2021,1880
06/16/2020,830
01/15/2021,2296
03/29/2020,958
07/24/2021,508
10/10/2021,3272
04/30/2020,1576
07/28/2020,1521
04/01/2020,1690
12/09/2020,4467
09/11/2020,1385
10/14/2020,2010
09/15/2020,1548
08/20/2021,1975
05/13/2021,1469
03/01/2020,14
09/10/2020,1268
05/28/2020,1052
01/20/2021,2056
10/25/2021,8572
03/29/2021,7445
11/29/2020,3712
05/29/2020,1054
03/03/2021,1685
06/04/2020,860
03/31/2021,6914
10/27/2021,5323
07/16/2021,367
08/29/2021,1877
08/23/2020,821
02/05/2021,1211
04/23/2020,1284
10/24/2021,0
02/22/2021,1419
09/16/2020,1422
12/05/2020,3580
04/29/2021,3136
02/21/2021,909
09/12/2020,948
12/25/2020,1353
10/07/2020,1570
01/07/2021,2742
07/12/2020,763
08/05/2021,814
07/05/2020,701
08/04/2020,1586
08/09/2020,807
05/14/2020,3332
07/28/2021,855
09/27/2020,826
05/07/2020,1256
09/04/2020,1111
01/29/2020,0
03/10/2021,2551
06/28/2020,602
03/05/2021,1690
12/07/2020,5540
09/28/2020,1244
06/30/2021,214
