date,new_cases
02/10/2020,0
09/25/2021,927
08/08/2020,797
05/18/2021,516
10/14/2021,2916
10/31/2021,0
09/14/2020,402
03/31/2021,1648
09/30/2020,687
07/03/2020,0
02/16/2021,452
07/24/2021,140
06/02/2021,128
03/02/2021,425
06/10/2020,447
06/23/2021,71
06/09/2021,139
03/12/2021,1102
07/13/2020,398
10/05/2021,7124
09/01/2020,1221
12/20/2020,2684
11/28/2020,9022
09/19/2021,818
12/18/2020,2718
03/10/2020,2
06/05/2021,294
06/27/2020,933
08/22/2020,1451
06/05/2020,1228
08/24/2020,409
02/03/2021,634
05/17/2020,704
06/18/2021,108
08/19/2020,1247
05/10/2020,0
06/12/2021,148
02/14/2021,776
07/10/2020,804
04/16/2021,2287
03/12/2020,5
10/12/2021,7925
11/26/2020,0
04/29/2021,1913
09/24/2021,2862
10/04/2020,0
12/30/2020,1997
10/14/2020,1069
02/15/2020,0
04/03/2020,0
07/25/2020,0
08/10/2020,323
02/08/2021,564
05/03/2021,1105
02/28/2021,804
10/24/2020,2259
02/09/2020,0
03/18/2021,1496
11/11/2020,4889
07/18/2021,86
05/09/2021,803
11/13/2020,5544
02/18/2020,0
10/03/2020,2460
03/25/2021,1857
08/09/2021,374
10/26/2020,1570
03/27/2021,1736
02/08/2020,0
12/31/2020,2195
06/24/2021,121
04/14/2020,114
07/29/2021,543
10/21/2020,1060
10/27/2021,1799
03/06/2021,946
02/14/2020,0
12/02/2020,5165
02/20/2020,0
10/07/2020,2182
06/04/2021,253
04/13/2021,1358
07/06/2020,564
08/28/2020,0
10/10/2020,2956
12/21/2020,1992
03/23/2020,26
10/04/2021,1181
05/26/2021,432
02/05/2020,0
01/29/2020,0
11/24/2020,6416
10/05/2020,1914
05/14/2021,1305
10/26/2021,6522
10/29/2021,3317
04/20/2020,97
10/17/2020,1694
08/14/2020,690
12/17/2020,2759
08/27/2021,1902
10/25/2021,2981
07/15/2021,209
03/18/2020,12
01/25/2020,0
07/07/2021,231
09/11/2021,892
01/10/2021,2159
09/27/2020,1979
08/11/2020,0
02/23/2020,0
02/26/2020,0
10/12/2020,1435
01/17/2021,1333
04/11/2020,178
01/29/2021,1114
01/01/2021,0
08/16/2021,487
09/03/2020,1881
08/04/2021,933
04/08/2021,2524
07/12/2021,63
06/20/2020,453
11/18/2020,5094
10/25/2020,1680
05/05/2020,617
02/24/2020,0
09/14/2021,4598
06/30/2021,68
01/07/2021,1983
08/12/2021,1311
02/28/2020,0
08/17/2021,3044
10/28/2021,2685
02/29/2020,0
02/12/2020,0
04/30/2021,1874
02/21/2021,879
06/28/2020,-3
11/08/2020,5908
05/20/2020,0
05/16/2021,805
11/01/2021,2480
04/24/2020,0
09/17/2021,2635
01/11/2021,980
12/13/2020,3425
09/22/2020,678
02/02/2020,0
07/23/2020,769
04/25/2020,261
08/29/2021,634
09/03/2021,2130
06/07/2020,338
03/16/2021,708
01/14/2021,1581
08/31/2021,3870
08/08/2021,372
08/21/2020,0
02/01/2020,0
02/09/2021,572
06/13/2021,146
04/02/2021,2536
08/26/2021,1829
02/23/2021,500
03/29/2021,1550
03/04/2020,0
04/28/2020,464
08/07/2020,916
05/06/2021,1651
05/27/2020,0
03/22/2020,99
05/14/2020,1323
06/25/2021,92
01/24/2021,1181
02/27/2021,812
07/28/2021,619
08/11/2021,1625
05/24/2021,468
11/01/2020,2200
04/18/2020,39
07/01/2021,83
04/05/2020,121
06/01/2021,67
10/21/2021,2351
08/05/2021,861
03/28/2021,1225
07/17/2021,86
12/01/2020,3549
08/21/2021,555
10/18/2021,951
05/01/2020,594
12/10/2020,3499
07/16/2020,666
09/04/2020,0
01/16/2021,1485
07/21/2021,273
05/26/2020,504
02/04/2021,1410
07/03/2021,111
02/22/2021,555
08/26/2020,1154
07/26/2020,1512
11/27/2020,5698
03/30/2021,1273
12/14/2020,3018
09/26/2020,0
05/18/2020,657
04/23/2021,2164
05/11/2021,575
10/17/2021,950
06/19/2020,792
03/04/2021,940
04/08/2020,88
07/25/2021,140
06/28/2021,81
06/21/2021,99
03/17/2021,1036
02/06/2021,993
07/17/2020,457
11/22/2020,7205
04/02/2020,47
08/03/2020,1215
01/23/2021,1540
09/27/2021,930
08/30/2020,650
12/04/2020,5347
03/20/2021,1380
06/03/2020,362
02/12/2021,1048
06/16/2021,86
04/27/2020,579
02/15/2021,602
09/07/2021,520
04/24/2021,2103
05/02/2020,498
10/01/2020,1066
08/05/2020,861
04/03/2021,2064
12/07/2020,5290
11/30/2020,5794
04/15/2021,2729
11/03/2020,3476
09/13/2021,896
01/31/2021,988
02/19/2021,995
12/11/2020,3750
10/22/2021,2134
01/06/2021,2326
10/30/2020,3154
06/11/2021,161
07/06/2021,49
12/25/2020,0
08/25/2021,1400
11/29/2020,8946
05/31/2020,358
01/26/2020,0
01/08/2021,2374
03/16/2020,6
11/21/2020,6252
08/10/2021,1685
03/05/2020,0
06/24/2020,0
09/02/2020,0
03/26/2020,53
02/20/2021,870
11/25/2020,6387
09/13/2020,638
09/10/2020,0
09/25/2020,1470
01/27/2021,827
08/14/2021,486
05/03/2020,1010
10/09/2020,1390
08/02/2020,0
01/28/2020,0
07/27/2020,478
03/19/2020,26
12/23/2020,1508
02/17/2021,758
03/03/2021,779
03/02/2020,0
09/08/2020,260
05/06/2020,728
09/20/2021,821
09/05/2020,1621
01/30/2020,0
01/09/2021,2469
11/19/2020,7863
03/11/2021,1093
09/11/2020,467
03/15/2020,40
03/09/2021,734
10/06/2021,3883
02/19/2020,0
06/15/2021,90
04/19/2020,257
05/13/2021,1009
08/04/2020,617
09/04/2021,518
02/16/2020,0
05/21/2020,1335
07/08/2020,1003
07/30/2021,700
09/28/2021,6192
03/15/2021,826
06/29/2020,315
07/16/2021,246
07/28/2020,666
08/12/2020,457
10/10/2021,1065
05/31/2021,66
10/13/2021,2376
10/16/2020,2290
06/09/2020,346
10/24/2021,0
03/03/2020,0
10/20/2021,1846
11/20/2020,6794
02/27/2020,0
08/17/2020,0
08/30/2021,636
03/26/2021,1699
09/20/2020,2221
02/03/2020,0
04/05/2021,1383
04/15/2020,53
10/08/2021,3645
09/30/2021,2874
07/12/2020,1201
03/21/2021,951
03/07/2020,0
07/22/2021,338
05/08/2021,1282
09/19/2020,914
01/28/2021,1316
03/08/2021,472
12/26/2020,2142
02/18/2021,913
01/24/2020,0
03/29/2020,135
07/14/2020,0
08/23/2021,556
10/19/2021,5663
06/19/2021,108
07/20/2020,1253
07/02/2021,101
06/08/2020,299
06/23/2020,294
10/20/2020,1092
05/17/2021,589
04/16/2020,151
09/26/2021,927
10/13/2020,0
10/22/2020,1561
02/25/2020,0
09/01/2021,1424
12/19/2020,2746
05/05/2021,1241
02/11/2020,0
05/25/2020,1387
07/24/2020,801
04/29/2020,491
04/22/2021,1970
03/11/2020,1
05/30/2020,1319
11/06/2020,5442
09/07/2020,383
06/26/2020,0
07/26/2021,143
05/09/2020,1183
01/18/2021,969
04/04/2021,0
06/30/2020,855
08/02/2021,210
07/31/2020,724
11/04/2020,3827
06/27/2021,97
07/21/2020,504
07/02/2020,414
08/13/2021,1324
04/26/2020,156
09/15/2020,0
01/26/2021,707
02/10/2021,651
03/14/2021,997
01/03/2021,2712
04/01/2020,53
02/21/2020,0
03/19/2021,1435
07/09/2020,631
04/06/2021,3012
02/07/2021,901
06/29/2021,79
04/26/2021,1197
05/20/2021,866
09/17/2020,909
08/31/2020,0
03/28/2020,42
05/24/2020,728
03/23/2021,855
03/08/2020,1
07/04/2020,512
02/07/2020,0
05/27/2021,499
11/10/2020,4893
10/11/2020,1171
03/21/2020,22
07/08/2021,124
07/19/2020,0
04/30/2020,0
07/01/2020,494
05/25/2021,243
09/21/2020,480
01/21/2021,1270
06/20/2021,109
11/02/2020,2948
01/12/2021,1315
10/03/2021,1178
06/26/2021,69
08/27/2020,850
07/29/2020,745
