date,new_cases
10/01/2021,1724
05/13/2021,463
07/09/2021,1639
10/28/2020,3507
02/24/2020,0
07/21/2020,1216
04/07/2021,666
05/22/2021,293
07/31/2020,1014
09/14/2021,2743
07/29/2021,4217
06/16/2021,724
01/27/2020,0
05/11/2021,522
05/14/2020,186
01/31/2021,890
08/12/2020,1403
10/24/2020,1278
10/10/2021,730
07/09/2020,1205
12/14/2020,5441
05/24/2021,463
10/12/2020,2789
06/02/2020,217
03/30/2021,571
08/22/2021,1444
04/06/2020,293
07/07/2020,1238
04/18/2020,149
04/10/2021,428
10/17/2020,937
11/08/2020,2399
10/05/2020,2533
09/21/2021,2129
11/16/2020,7149
04/08/2021,609
09/16/2021,2526
05/12/2021,619
10/15/2020,2067
03/19/2021,472
03/25/2021,555
04/28/2020,366
02/27/2020,0
06/26/2021,655
05/30/2020,298
02/19/2021,789
03/02/2021,637
06/13/2021,301
04/29/2020,307
06/04/2021,516
05/26/2020,257
09/12/2020,781
06/21/2020,174
09/27/2020,761
10/29/2021,1121
11/11/2020,5753
04/21/2021,921
12/20/2020,1826
07/26/2021,2414
10/04/2020,754
01/28/2021,1774
08/23/2020,540
07/12/2021,2276
06/29/2020,882
10/07/2021,1595
01/25/2021,2568
09/15/2021,2639
01/15/2021,2193
04/11/2021,429
03/23/2021,636
09/26/2020,917
03/27/2021,367
07/06/2020,1173
10/31/2020,1900
02/07/2021,577
02/22/2021,959
08/30/2020,604
04/21/2020,221
11/10/2020,6781
03/31/2020,285
09/10/2020,1729
07/23/2020,1209
09/29/2021,1859
10/22/2021,1187
04/23/2021,716
07/13/2021,2240
02/07/2020,0
05/02/2020,68
05/28/2020,201
09/04/2021,1507
06/20/2020,208
08/14/2021,1747
12/08/2020,4528
12/16/2020,3888
07/14/2021,2882
09/18/2020,1605
08/28/2020,1399
05/23/2021,189
05/21/2021,510
02/08/2020,0
06/15/2020,430
04/29/2021,756
02/21/2020,0
08/03/2021,4488
06/09/2021,687
04/26/2020,72
08/06/2021,2765
06/08/2020,304
08/18/2020,1306
10/24/2021,1118
06/10/2021,637
05/15/2021,307
04/22/2021,888
09/26/2021,859
04/04/2020,130
03/18/2020,55
08/02/2021,2640
10/12/2021,1330
08/10/2020,1528
12/04/2020,4190
07/27/2021,2948
10/09/2020,2121
09/25/2021,1110
10/27/2021,2467
12/31/2020,3800
11/27/2020,3690
01/26/2021,1950
08/26/2021,2744
10/02/2020,1619
09/03/2020,1627
05/24/2020,64
10/10/2020,1072
01/24/2021,984
05/17/2020,103
05/31/2021,181
04/11/2020,91
04/07/2020,218
02/02/2021,1773
07/11/2021,171
07/14/2020,1368
02/18/2021,911
03/10/2020,0
08/21/2021,1833
01/29/2021,1847
09/25/2020,1691
03/01/2021,775
09/02/2021,2826
04/20/2021,704
01/05/2021,4921
11/26/2020,897
08/08/2020,679
07/05/2020,338
03/20/2020,101
09/01/2021,3111
08/08/2021,1322
03/13/2020,7
03/20/2021,325
02/22/2020,0
03/23/2020,172
12/17/2020,3766
02/16/2021,785
04/23/2020,225
03/25/2020,221
07/30/2021,2778
12/09/2020,3800
04/27/2021,791
07/11/2020,647
03/04/2021,608
07/24/2020,1114
04/04/2021,267
08/19/2021,2774
06/08/2021,644
04/14/2021,583
06/09/2020,267
09/23/2021,1987
10/21/2021,1142
07/23/2021,2906
12/02/2020,4600
04/30/2021,848
07/06/2021,1633
07/02/2020,948
10/16/2020,1914
05/14/2021,432
02/21/2021,424
03/04/2020,1
01/22/2020,0
01/23/2021,1146
01/23/2020,0
08/26/2020,1650
10/30/2020,3306
11/25/2020,4404
04/28/2021,795
10/26/2021,0
06/17/2020,424
03/16/2021,594
03/14/2020,11
12/21/2020,5063
11/22/2020,2136
03/26/2021,532
01/26/2020,0
09/05/2020,742
08/16/2020,556
10/29/2020,3421
08/25/2020,1514
05/25/2021,453
10/19/2020,2839
02/10/2021,950
11/01/2021,1121
02/03/2020,0
06/05/2020,230
02/12/2021,951
06/24/2020,618
11/21/2020,2436
05/15/2020,184
04/15/2020,206
04/14/2020,198
08/14/2020,1156
09/22/2020,1852
01/27/2021,1595
03/10/2021,699
03/24/2021,562
10/09/2021,770
01/29/2020,0
09/02/2020,1786
09/17/2021,2333
03/06/2020,1
04/08/2020,226
01/13/2021,2837
09/29/2020,1978
07/15/2021,2337
12/19/2020,1932
01/18/2021,2901
05/16/2020,90
03/29/2020,134
11/01/2020,1841
07/04/2020,322
10/03/2021,762
06/15/2021,857
06/27/2021,423
01/31/2020,0
03/26/2020,248
07/15/2020,1196
02/18/2020,0
03/27/2020,282
10/05/2021,1932
05/04/2020,210
10/13/2020,2438
06/06/2021,163
03/01/2020,0
01/25/2020,0
06/13/2020,155
12/24/2020,2251
08/04/2021,3946
10/18/2020,820
08/29/2020,738
02/26/2020,0
02/01/2021,2108
08/21/2020,1216
05/09/2020,113
06/03/2021,704
04/16/2021,373
08/05/2020,1219
02/15/2021,575
08/20/2021,2433
10/04/2021,1181
05/20/2020,216
07/12/2020,443
06/23/2021,1232
06/02/2021,604
04/15/2021,503
01/16/2021,1436
02/26/2021,605
02/09/2021,1048
10/20/2020,2397
05/06/2020,183
01/07/2021,3845
03/30/2020,345
08/06/2020,1140
01/04/2021,6513
08/13/2020,1190
11/19/2020,5220
06/23/2020,577
06/12/2020,308
11/09/2020,8364
08/30/2021,3325
04/05/2021,763
10/22/2020,2420
04/06/2021,676
08/09/2021,2396
10/08/2021,1288
03/07/2020,0
04/19/2020,133
09/23/2020,1948
02/06/2021,740
01/17/2021,1183
05/06/2021,607
08/04/2020,1263
06/01/2021,478
03/19/2020,70
09/08/2021,2430
02/25/2020,0
09/16/2020,1739
02/14/2021,465
06/10/2020,297
09/13/2020,663
02/11/2021,1007
05/27/2020,262
06/16/2020,458
07/16/2020,1061
03/22/2020,75
11/17/2020,5853
07/17/2020,1026
02/28/2020,0
02/05/2020,0
11/30/2020,6712
05/20/2021,621
07/26/2020,415
05/08/2021,355
07/21/2021,3346
03/17/2020,45
04/03/2020,226
07/04/2021,1108
08/23/2021,2319
09/19/2020,851
10/06/2021,1558
06/03/2020,218
05/18/2020,208
08/31/2020,1903
02/12/2020,0
12/29/2020,4495
04/17/2020,163
07/08/2020,1346
11/04/2020,5271
11/20/2020,4871
05/10/2021,399
01/02/2021,2722
08/11/2020,1356
10/14/2021,1469
08/27/2020,1469
06/04/2020,236
09/28/2021,2140
02/15/2020,0
04/25/2020,118
02/13/2020,0
05/17/2021,398
12/13/2020,1717
10/16/2021,717
09/28/2020,2303
02/11/2020,0
05/01/2021,991
05/01/2020,288
02/09/2020,0
03/05/2020,0
06/21/2021,733
06/22/2021,871
09/05/2021,1283
06/30/2021,1291
05/21/2020,258
07/17/2021,1394
12/30/2020,4553
07/07/2021,1708
12/03/2020,4543
11/12/2020,5745
04/24/2021,379
01/01/2021,1232
12/07/2020,5898
02/20/2021,496
12/15/2020,4184
07/28/2020,1151
12/26/2020,2581
08/31/2021,2898
12/27/2020,2034
10/13/2021,1459
07/18/2020,644
09/06/2021,1085
05/27/2021,641
02/28/2021,376
08/11/2021,3580
08/18/2021,3421
06/29/2021,1313
12/23/2020,3686
08/15/2021,1374
08/09/2020,467
08/07/2020,1095
08/05/2021,3257
09/06/2020,589
07/29/2020,1245
08/10/2021,4213
04/01/2020,261
08/03/2020,1449
10/21/2020,2481
09/11/2020,1625
04/26/2021,524
04/12/2020,93
05/12/2020,172
01/24/2020,0
11/24/2020,5042
09/07/2020,721
08/24/2020,1712
05/29/2020,210
01/14/2021,2773
07/28/2021,2982
11/03/2020,4419
03/31/2021,496
05/28/2021,459
09/09/2021,3289
08/07/2021,1768
03/12/2020,1
07/19/2020,497
06/19/2021,519
03/15/2020,11
01/12/2021,3111
01/30/2020,0
09/01/2020,1666
01/20/2021,2331
10/20/2021,1178
09/20/2020,653
07/25/2021,1115
02/13/2021,507
04/12/2021,792
08/25/2021,2932
06/26/2020,576
03/11/2020,2
06/12/2021,415
02/01/2020,0
06/18/2021,519
05/05/2020,270
07/20/2021,2995
02/16/2020,0
06/20/2021,523
06/28/2021,922
07/16/2021,2391
04/25/2021,316
06/06/2020,89
02/04/2021,1393
02/08/2021,1393
10/07/2020,2201
12/28/2020,6006
11/07/2020,2927
03/18/2021,501
05/19/2020,178
02/17/2021,757
04/13/2020,240
07/19/2021,1992
06/14/2020,105
03/08/2021,815
01/28/2020,0
04/27/2020,270
12/01/2020,5079
07/03/2021,1176
06/25/2020,583
09/15/2020,1933
06/19/2020,422
03/12/2021,612
05/31/2020,176
09/07/2021,2510
04/24/2020,205
07/31/2021,1937
11/29/2020,2147
03/07/2021,407
06/07/2020,54
08/17/2020,1602
08/28/2021,1281
05/26/2021,660
05/02/2021,324
05/30/2021,154
04/02/2021,547
06/07/2021,705
02/14/2020,0
09/10/2021,2761
02/25/2021,594
12/05/2020,2109
10/11/2021,988
04/17/2021,10839
06/11/2020,516
10/27/2020,3204
09/11/2021,1773
03/09/2020,1
02/17/2020,0
09/21/2020,2287
03/28/2021,370
10/01/2020,1752
08/01/2020,550
06/01/2020,267
11/28/2020,2456
10/31/2021,504
06/14/2021,580
10/25/2020,1186
01/08/2021,3561
07/20/2020,1426
10/14/2020,2347
11/05/2020,5996
03/09/2021,621
07/22/2020,1166
03/29/2021,720
05/05/2021,629
05/04/2021,633
09/08/2020,2354
02/24/2021,605
03/13/2021,362
07/18/2021,1020
07/01/2021,1220
09/09/2020,2117
07/25/2020,530
05/07/2021,531
03/02/2020,0
03/22/2021,664
01/03/2021,2498
09/18/2021,1419
09/14/2020,2218
04/03/2021,348
04/09/2020,199
11/02/2020,5647
07/05/2021,729
07/13/2020,1326
09/22/2021,2113
05/10/2020,65
04/10/2020,216
08/27/2021,2593
08/13/2021,3083
02/02/2020,0
05/16/2021,207
06/05/2021,162
09/30/2021,1889
04/18/2021,443
10/15/2021,1061
03/03/2020,0
01/21/2021,2260
01/19/2021,2582
11/23/2020,6560
05/03/2021,510
05/03/2020,68
02/23/2020,0
10/26/2020,3898
02/03/2021,1617
06/28/2020,253
05/23/2020,86
03/06/2021,330
11/15/2020,2199
04/09/2021,577
10/11/2020,935
09/30/2020,1838
06/11/2021,552
03/03/2021,625
03/15/2021,758
12/11/2020,3868
04/19/2021,-10199
07/01/2020,943
11/14/2020,2490
10/23/2020,2260
10/28/2021,1092
08/20/2020,1366
09/27/2021,1554
09/03/2021,2521
05/25/2020,75
04/22/2020,228
12/22/2020,3859
05/09/2021,256
03/08/2020,2
08/12/2021,3082
02/20/2020,0
01/10/2021,1651
02/06/2020,0
12/06/2020,1776
01/22/2021,1993
10/06/2020,2228
03/21/2020,77
10/30/2021,684
06/17/2021,917
05/18/2021,458
10/18/2021,983
09/04/2020,1505
07/10/2020,1120
02/05/2021,1264
03/17/2021,549
06/27/2020,360
04/30/2020,263
04/16/2020,200
04/05/2020,103
12/18/2020,3570
11/18/2020,5211
12/10/2020,3844
02/04/2020,0
11/06/2020,5346
05/08/2020,131
02/19/2020,0
09/24/2020,1958
03/21/2021,345
06/18/2020,558
10/08/2020,2149
09/24/2021,2232
12/25/2020,553
02/27/2021,309
05/11/2020,179
07/08/2021,2160
09/13/2021,2143
07/03/2020,632
03/28/2020,183
08/15/2020,671
12/12/2020,2010
04/02/2020,269
09/17/2020,1776
08/19/2020,1401
07/10/2021,1089
08/01/2021,1220
11/13/2020,5280
07/30/2020,1072
05/07/2020,140
05/13/2020,247
10/17/2021,411
09/19/2021,1004
10/25/2021,977
10/02/2021,1010
02/10/2020,0
