date,new_cases
02/02/2021,1059
05/11/2021,206
04/19/2021,303
10/30/2021,0
05/15/2021,115
08/31/2021,2939
09/09/2020,566
04/13/2020,217
09/24/2020,550
05/12/2020,308
07/19/2021,727
04/07/2021,271
10/15/2021,256
02/17/2021,491
07/04/2021,109
07/04/2020,436
04/12/2020,140
04/11/2020,146
10/01/2020,657
01/23/2021,1120
12/22/2020,2223
04/14/2020,219
07/02/2021,158
08/06/2021,2303
03/13/2020,37
07/29/2020,1204
05/23/2020,239
11/24/2020,1586
10/13/2020,862
03/02/2021,342
08/16/2021,3323
03/10/2020,25
05/03/2021,282
02/24/2021,588
07/08/2020,1083
10/28/2020,775
10/09/2020,737
04/18/2021,142
07/17/2021,724
07/10/2021,253
10/21/2020,877
04/20/2021,302
09/02/2021,3352
12/01/2020,2155
08/21/2020,752
07/24/2021,1202
08/20/2021,2416
07/15/2021,534
11/17/2020,1196
12/26/2020,1819
08/03/2021,2821
03/12/2020,35
04/12/2021,375
01/08/2021,3546
03/19/2021,355
01/30/2021,777
06/16/2020,560
12/17/2020,2083
06/20/2021,91
01/01/2021,1825
08/29/2020,359
03/06/2020,12
01/12/2021,1921
09/30/2021,822
05/27/2021,128
01/10/2021,1129
12/11/2020,2716
08/24/2020,881
06/08/2020,428
09/25/2021,591
09/09/2021,1892
04/30/2020,247
12/13/2020,1447
08/28/2021,2656
07/16/2021,724
02/04/2021,1141
10/19/2020,943
02/03/2021,1033
03/22/2020,92
09/06/2020,292
03/19/2020,95
12/15/2020,2225
04/06/2021,244
02/21/2021,303
07/21/2020,1393
10/27/2021,344
07/16/2020,1427
10/29/2020,677
01/21/2021,2060
09/08/2020,593
10/16/2021,256
06/14/2021,146
05/17/2020,174
06/05/2021,89
05/29/2020,349
04/09/2021,223
04/16/2021,245
07/17/2020,1216
10/18/2021,1278
05/17/2021,235
07/07/2020,1125
11/09/2020,1421
01/02/2021,1889
01/19/2021,1967
03/25/2021,233
06/24/2021,187
03/09/2020,35
11/12/2020,1367
05/26/2021,156
10/22/2021,389
05/08/2021,170
06/17/2021,115
05/13/2021,157
