date,new_cases
04/04/2021,105
05/19/2020,8
10/02/2021,490
06/05/2021,39
11/15/2020,1272
07/26/2020,39
12/11/2020,978
10/02/2020,459
07/13/2020,2
10/17/2020,638
12/22/2020,623
08/01/2021,88
06/15/2020,3
06/19/2021,18
09/09/2020,278
05/23/2021,35
05/26/2021,77
03/22/2020,7
06/04/2020,0
02/23/2020,0
07/15/2020,266
07/01/2021,66
10/18/2021,426
03/26/2020,25
09/15/2020,137
07/11/2021,28
02/22/2021,31
10/23/2021,0
08/22/2020,160
10/15/2020,877
04/30/2020,2
12/10/2020,759
07/22/2021,141
07/27/2021,259
03/25/2021,164
09/27/2020,200
10/15/2021,1142
08/27/2020,144
08/08/2021,129
02/20/2020,0
10/09/2021,554
10/29/2020,887
01/17/2021,337
06/10/2020,7
02/25/2020,0
01/13/2021,576
01/30/2020,0
05/04/2021,223
03/16/2020,0
06/22/2020,17
10/26/2020,621
02/19/2021,277
03/10/2020,0
01/09/2021,534
05/31/2020,10
08/15/2020,118
12/05/2020,633
10/24/2020,639
04/08/2021,224
04/23/2021,155
03/31/2021,231
03/22/2021,38
04/01/2021,173
05/18/2020,0
03/27/2021,117
10/20/2020,703
08/13/2020,136
04/26/2021,14
03/26/2021,150
07/11/2020,84
04/14/2020,6
04/30/2021,154
02/20/2021,264
04/16/2021,118
05/05/2020,-1
10/18/2020,588
12/23/2020,575
10/28/2020,620
02/15/2020,0
04/05/2021,0
06/02/2021,158
09/20/2020,127
09/28/2020,306
07/16/2020,124
10/10/2020,203
10/01/2020,431
06/28/2020,67
10/16/2020,-2
02/04/2020,0
01/24/2021,242
08/23/2021,216
04/02/2020,16
04/09/2020,13
03/07/2021,72
04/03/2020,18
02/21/2021,138
05/16/2021,41
07/28/2021,239
10/26/2021,1123
08/11/2021,369
09/08/2021,1047
10/14/2021,1287
10/23/2020,183
11/17/2020,1371
10/25/2020,738
08/10/2020,0
09/04/2020,19
09/30/2021,1209
06/27/2020,0
03/02/2021,155
10/28/2021,983
