date,new_cases
09/26/2021,142
06/09/2021,53
02/24/2020,0
11/03/2020,1114
10/08/2021,552
05/03/2021,149
10/18/2021,923
08/25/2020,238
08/15/2021,53
06/04/2020,27
04/25/2020,55
02/25/2021,90
10/23/2020,935
09/09/2020,333
05/04/2020,34
01/27/2021,145
02/28/2021,43
10/26/2021,643
11/22/2020,714
08/25/2021,356
03/11/2021,121
03/24/2020,5
04/12/2021,231
05/05/2020,41
03/24/2021,197
08/03/2020,148
06/02/2021,42
06/26/2021,3
07/06/2020,33
08/16/2021,343
02/24/2021,90
05/14/2020,65
05/22/2021,26
06/26/2020,28
01/07/2021,282
12/20/2020,82
07/07/2021,29
10/27/2021,666
07/27/2021,80
08/28/2020,374
05/27/2020,17
06/30/2021,11
05/23/2021,30
03/08/2021,95
10/24/2020,845
04/15/2021,177
12/05/2020,477
09/27/2021,1102
03/15/2020,0
03/21/2020,2
06/03/2021,106
02/10/2020,0
07/20/2021,26
06/15/2020,21
09/08/2020,238
10/18/2020,659
09/24/2021,637
03/30/2021,211
04/02/2020,12
01/02/2021,150
08/18/2020,186
05/30/2021,9
03/01/2021,105
02/20/2021,49
09/22/2020,473
03/09/2020,0
01/23/2020,0
09/25/2021,141
08/12/2020,201
09/21/2020,264
07/08/2020,73
08/31/2021,458
10/14/2021,560
10/06/2021,705
10/19/2021,578
05/17/2021,100
12/29/2020,372
03/04/2021,211
02/19/2021,75
03/15/2021,149
07/24/2020,122
02/01/2020,0
10/17/2021,108
11/18/2020,1382
05/08/2020,54
09/14/2021,943
04/07/2021,197
06/22/2020,25
04/24/2021,32
03/25/2020,8
03/03/2021,0
06/05/2020,39
09/07/2021,639
01/10/2021,114
05/06/2021,123
10/09/2021,136
07/11/2021,9
06/06/2021,16
11/01/2020,972
07/21/2021,34
09/12/2020,426
08/26/2021,283
12/15/2020,2
06/10/2021,35
10/07/2020,527
11/16/2020,1082
08/26/2020,333
05/01/2021,69
10/22/2020,887
06/29/2020,44
12/08/2020,2333
02/05/2020,0
01/24/2020,0
09/02/2021,440
02/03/2020,0
09/18/2021,99
02/25/2020,0
07/01/2021,11
01/25/2020,0
01/20/2021,148
08/21/2021,57
05/13/2020,76
01/19/2021,151
09/03/2021,452
05/04/2021,169
05/24/2020,53
08/17/2020,135
06/06/2020,71
11/21/2020,1143
12/19/2020,251
05/23/2020,48
07/28/2021,75
09/23/2021,640
01/25/2021,132
07/30/2021,74
03/17/2021,119
06/22/2021,16
09/10/2020,241
10/06/2020,493
09/08/2021,615
06/15/2021,19
08/11/2021,150
03/29/2020,4
04/08/2020,14
06/20/2020,25
07/18/2020,112
06/08/2021,44
04/04/2021,76
02/15/2021,138
08/07/2021,25
08/23/2020,124
08/14/2020,122
10/04/2021,1137
09/12/2021,105
09/20/2021,845
09/28/2021,825
12/12/2020,281
11/15/2020,1089
08/29/2021,87
01/13/2021,243
04/28/2020,49
02/20/2020,0
04/25/2021,121
10/12/2021,661
07/05/2020,37
11/13/2020,2270
03/14/2021,25
03/17/2020,4
10/03/2021,133
10/08/2020,656
04/09/2021,213
01/08/2021,120
03/25/2021,184
08/24/2020,229
08/04/2020,124
05/28/2021,46
04/29/2021,175
02/13/2021,46
06/21/2020,37
10/22/2021,471
11/01/2021,813
12/21/2020,332
05/18/2020,31
04/11/2021,63
12/01/2020,480
05/08/2021,43
02/07/2021,29
07/09/2020,99
04/18/2021,51
03/03/2020,0
07/21/2020,160
05/31/2021,18
02/06/2021,49
08/19/2020,274
08/30/2020,332
03/26/2021,154
12/23/2020,225
10/21/2020,887
02/12/2021,85
10/16/2021,108
09/04/2021,86
07/04/2021,1
03/07/2021,28
10/05/2020,502
02/11/2020,0
07/12/2021,42
05/21/2020,134
12/04/2020,555
02/26/2020,0
07/29/2021,84
02/19/2020,0
08/16/2020,60
08/15/2020,143
01/24/2021,57
05/16/2021,31
03/27/2021,47
03/13/2020,0
07/17/2021,3
08/07/2020,181
03/16/2021,134
09/01/2020,267
07/03/2021,1
04/11/2020,15
01/26/2020,0
05/19/2021,78
11/24/2020,1077
04/20/2020,42
07/30/2020,168
04/16/2021,139
04/13/2021,176
05/12/2020,53
04/26/2021,189
09/24/2020,434
04/14/2020,10
08/22/2020,140
09/19/2020,351
05/27/2021,49
07/31/2021,14
07/15/2020,103
02/07/2020,0
02/02/2020,0
12/02/2020,970
03/22/2021,164
10/13/2020,702
04/04/2020,13
02/10/2021,139
11/17/2020,1263
09/27/2020,259
07/04/2020,57
03/22/2020,2
05/11/2020,27
01/16/2021,150
06/11/2021,40
07/19/2021,59
09/21/2021,641
07/14/2021,32
05/19/2020,63
09/17/2020,897
11/19/2020,1404
02/27/2020,0
09/16/2021,490
10/19/2020,1029
05/22/2020,88
10/30/2021,0
09/19/2021,100
05/26/2021,40
03/23/2021,136
07/23/2021,45
02/27/2021,29
05/11/2021,111
05/02/2020,46
08/19/2021,302
07/17/2020,115
08/11/2020,85
03/05/2021,0
08/06/2020,150
08/08/2020,88
08/01/2021,16
03/29/2021,241
05/07/2020,48
07/22/2020,126
09/06/2020,170
10/31/2021,303
08/17/2021,252
04/07/2020,12
11/10/2020,1031
05/26/2020,-35
11/30/2020,403
04/10/2021,44
09/07/2020,71
05/13/2021,96
11/08/2020,0
09/30/2020,372
03/01/2020,0
06/04/2021,27
03/16/2020,0
02/12/2020,0
06/18/2021,7
09/13/2020,254
02/14/2020,0
10/10/2021,137
04/03/2020,14
02/21/2020,0
01/31/2020,0
07/20/2020,81
08/04/2021,117
02/23/2020,0
03/21/2021,50
02/21/2021,35
08/30/2021,659
01/03/2021,199
11/07/2020,1101
07/08/2021,13
03/04/2020,0
06/01/2021,41
07/10/2020,84
08/23/2021,506
10/25/2021,996
04/28/2021,144
01/29/2020,0
07/27/2020,155
12/24/2020,274
07/26/2020,110
03/10/2020,0
04/27/2020,75
09/05/2020,297
10/09/2020,588
03/26/2020,13
10/07/2021,693
03/18/2020,2
03/28/2020,26
10/05/2021,806
01/15/2021,115
02/11/2021,113
09/01/2021,536
07/31/2020,133
03/31/2021,208
04/21/2020,17
07/19/2020,107
03/06/2020,0
12/10/2020,506
10/12/2020,508
08/05/2021,119
12/30/2020,294
06/29/2021,27
10/11/2021,951
01/22/2020,0
06/11/2020,39
10/31/2020,1127
09/22/2021,629
03/09/2021,101
11/11/2020,1800
02/18/2021,119
05/17/2020,52
10/15/2021,522
02/16/2020,0
04/21/2021,167
04/23/2021,119
04/13/2020,23
01/01/2021,121
07/12/2020,91
07/16/2021,25
01/26/2021,154
01/18/2021,164
04/06/2020,18
08/20/2020,232
09/15/2020,269
