date,new_cases
02/06/2020,0
07/30/2021,311
03/13/2021,170
07/26/2021,322
12/08/2020,1571
04/20/2020,166
06/28/2020,97
04/30/2021,193
02/10/2020,0
03/12/2021,321
08/19/2020,282
05/28/2020,245
10/01/2020,669
10/20/2020,642
03/29/2020,20
04/27/2020,342
12/02/2020,2488
03/05/2020,0
08/04/2020,198
05/29/2021,12
07/24/2021,98
04/14/2020,48
10/20/2021,802
09/21/2021,881
05/24/2020,170
06/14/2020,105
06/17/2021,-157
06/18/2020,161
09/04/2021,447
06/23/2020,108
05/26/2020,235
04/14/2021,368
07/31/2020,362
07/09/2020,203
07/19/2021,140
10/28/2020,1282
04/28/2020,14
07/13/2020,230
10/26/2021,598
08/31/2021,890
10/09/2021,346
10/02/2021,392
12/26/2020,173
02/21/2021,158
12/10/2020,1647
01/25/2021,623
02/01/2021,480
08/21/2021,288
07/10/2021,39
04/15/2020,66
01/13/2021,1075
04/05/2020,45
03/06/2021,211
07/06/2020,117
06/11/2021,27
05/16/2021,24
02/18/2021,425
10/27/2021,866
01/29/2021,720
11/02/2020,939
01/22/2020,0
04/21/2020,108
09/14/2020,311
05/12/2021,157
07/26/2020,204
12/22/2020,1380
08/29/2020,316
08/02/2020,276
08/17/2021,612
05/13/2020,356
06/01/2020,272
04/18/2020,165
01/15/2021,771
03/15/2021,289
06/06/2021,21
06/30/2021,64
05/03/2020,349
10/09/2020,1029
04/26/2021,272
03/06/2020,0
07/17/2020,227
06/25/2020,123
04/15/2021,391
03/05/2021,364
08/03/2020,261
03/02/2021,340
10/18/2021,155
06/24/2020,134
05/31/2020,172
02/12/2020,0
02/24/2020,0
09/27/2021,592
01/20/2021,1288
03/18/2020,4
12/11/2020,1350
07/07/2021,85
03/23/2020,5
11/07/2020,1674
07/06/2021,101
07/30/2020,383
06/19/2020,146
07/01/2021,137
09/13/2021,632
02/12/2021,409
07/23/2021,206
01/11/2021,870
04/30/2020,514
10/19/2021,1360
05/08/2021,82
09/15/2020,357
03/28/2020,25
07/02/2020,174
06/06/2020,160
02/06/2021,298
05/10/2021,254
12/14/2020,756
09/12/2021,632
01/24/2021,276
01/28/2020,0
05/22/2020,372
10/23/2021,0
10/25/2021,2239
05/19/2020,234
12/12/2020,980
08/05/2020,351
04/24/2021,150
02/17/2021,312
07/29/2020,277
02/22/2020,0
03/25/2021,305
01/12/2021,1122
03/26/2020,2
06/05/2020,182
04/04/2021,144
09/08/2021,955
05/20/2021,97
10/10/2021,346
06/18/2021,13
05/04/2020,431
10/30/2020,1591
03/16/2021,322
05/11/2020,254
01/16/2021,376
03/17/2021,326
02/08/2020,0
08/09/2020,189
03/31/2020,27
09/26/2021,591
01/14/2021,931
04/05/2021,272
10/15/2020,958
02/13/2020,0
01/19/2021,1106
10/16/2021,152
03/20/2021,148
06/10/2020,181
02/24/2021,426
03/24/2020,12
01/03/2021,583
02/09/2021,545
05/31/2021,31
08/29/2021,238
04/07/2020,47
04/12/2021,344
02/25/2020,0
09/29/2020,545
06/02/2021,104
