date,new_cases
05/03/2020,89
04/01/2020,48
08/02/2021,111
02/14/2021,280
01/11/2021,707
08/10/2021,88
03/19/2020,5
09/11/2020,47
03/31/2020,53
08/27/2021,320
04/07/2020,32
07/20/2021,59
03/01/2020,0
08/25/2021,294
04/25/2020,67
03/03/2020,1
07/07/2020,18
07/09/2021,23
07/01/2021,23
11/21/2020,484
09/12/2020,32
04/29/2021,271
08/09/2020,13
12/27/2020,876
02/27/2021,273
03/05/2020,0
06/23/2020,13
06/22/2020,14
03/21/2021,227
08/12/2021,306
03/15/2021,198
12/11/2020,1188
05/18/2021,130
04/07/2021,425
10/15/2021,626
11/25/2020,394
08/11/2020,21
04/18/2020,55
11/06/2020,204
12/26/2020,1031
01/22/2020,0
10/24/2021,0
07/31/2021,109
02/07/2020,0
08/28/2021,316
07/31/2020,39
05/03/2021,129
05/26/2020,34
01/05/2021,664
08/11/2021,148
12/15/2020,670
04/11/2020,44
06/19/2020,0
09/25/2021,417
10/25/2021,651
05/25/2020,48
07/21/2020,13
12/25/2020,0
04/05/2020,48
12/23/2020,504
06/05/2020,77
10/19/2021,377
10/08/2021,646
07/11/2021,20
01/19/2021,845
05/17/2020,40
09/14/2021,421
12/19/2020,649
03/13/2020,0
12/02/2020,566
07/04/2021,17
09/08/2021,540
03/12/2021,310
01/28/2020,0
04/20/2020,55
12/16/2020,888
04/28/2020,72
04/21/2020,44
06/07/2021,22
03/13/2021,245
11/22/2020,317
04/06/2020,46
09/01/2021,332
09/23/2020,17
10/26/2021,0
12/08/2020,807
10/16/2021,538
03/24/2021,389
05/21/2020,67
05/11/2021,132
08/22/2021,243
04/19/2021,197
04/16/2021,385
09/09/2021,523
01/20/2021,728
03/15/2020,7
09/02/2021,298
05/06/2020,104
10/22/2020,77
03/18/2020,13
06/25/2021,11
01/02/2021,1156
01/25/2020,0
06/09/2020,53
06/24/2020,27
11/29/2020,478
01/30/2020,0
12/20/2020,933
05/27/2021,143
05/17/2021,98
05/11/2020,89
09/09/2020,23
03/27/2020,29
02/04/2021,396
01/26/2020,0
08/14/2021,187
02/19/2020,0
10/05/2021,396
06/12/2020,42
11/11/2020,229
05/28/2020,100
03/25/2021,518
10/12/2021,1384
03/26/2021,335
05/22/2020,79
07/19/2020,15
02/23/2021,258
01/14/2021,653
07/23/2020,23
03/18/2021,335
07/13/2021,30
07/24/2021,44
11/28/2020,689
08/05/2021,228
04/17/2020,76
05/21/2021,77
09/20/2021,361
07/12/2021,22
07/15/2021,35
07/08/2021,33
03/23/2020,23
08/22/2020,21
10/01/2020,51
10/17/2021,538
05/14/2021,126
05/06/2021,253
06/01/2021,21
02/21/2020,0
09/07/2020,29
12/30/2020,545
08/15/2020,16
09/25/2020,41
07/18/2020,23
06/15/2020,27
04/16/2020,72
02/10/2021,329
10/16/2020,88
02/08/2020,0
04/12/2020,56
05/26/2021,42
02/05/2021,478
03/02/2021,215
07/14/2020,23
10/07/2021,628
02/16/2021,198
08/04/2021,122
09/11/2021,405
07/17/2021,19
10/01/2021,495
04/23/2021,320
06/08/2020,36
07/03/2021,17
01/23/2021,625
08/08/2020,39
02/06/2020,0
01/28/2021,696
02/26/2020,0
06/29/2021,26
03/04/2020,0
07/30/2021,103
