date,new_cases
04/11/2021,3387
09/24/2020,641
12/12/2020,6795
02/08/2021,2561
05/07/2021,967
05/06/2020,1301
03/18/2021,4473
05/19/2020,993
04/20/2020,3505
01/24/2021,5272
04/21/2021,3475
08/27/2020,349
07/01/2021,218
03/11/2020,8
07/08/2021,331
02/21/2020,0
01/16/2021,6057
05/30/2021,246
07/23/2020,286
02/12/2020,0
03/10/2021,3775
01/06/2021,5848
03/13/2021,4034
03/07/2020,2
07/31/2020,747
06/20/2020,355
06/04/2021,288
10/16/2021,1452
02/28/2020,0
08/14/2020,615
09/17/2020,631
06/13/2020,454
03/05/2021,3701
04/18/2021,3149
01/17/2021,5132
04/21/2020,3581
06/23/2021,268
10/01/2021,1673
09/02/2021,2542
03/19/2021,4390
03/01/2020,0
10/09/2021,1828
04/03/2021,4445
05/06/2021,1413
06/01/2021,158
09/30/2020,814
01/29/2020,0
09/27/2020,759
03/17/2021,4313
08/03/2021,1313
07/05/2021,86
07/19/2021,312
05/16/2021,269
02/10/2021,4370
02/02/2021,3150
06/30/2020,433
07/29/2020,506
06/11/2020,495
04/29/2020,2408
07/26/2020,534
02/24/2020,0
09/04/2020,508
08/28/2021,1934
02/28/2021,2389
06/05/2021,358
02/16/2020,0
04/19/2021,2183
04/03/2020,4305
05/23/2021,301
07/25/2020,547
05/03/2020,3028
04/20/2021,2839
03/30/2020,3250
06/05/2020,825
06/11/2021,274
10/04/2020,694
09/30/2021,2327
03/20/2021,4909
12/07/2020,4420
10/14/2020,1145
10/18/2020,1455
04/05/2020,3381
09/07/2020,364
05/12/2021,486
11/24/2020,4987
09/23/2020,490
11/03/2020,2432
07/05/2020,392
08/19/2020,371
10/30/2020,2363
01/23/2020,0
03/26/2020,2474
09/18/2021,2623
08/21/2021,2158
11/28/2020,3740
01/31/2020,0
06/14/2020,286
03/11/2021,3815
02/10/2020,0
10/13/2020,1191
04/06/2020,3585
01/10/2021,5646
09/09/2021,2210
10/23/2021,1140
09/21/2020,477
04/08/2021,4332
06/08/2020,348
01/05/2021,5328
07/17/2020,95
03/01/2021,3140
02/23/2021,3158
12/18/2020,4566
04/27/2020,2150
10/27/2021,1289
05/19/2021,444
08/05/2021,1466
09/20/2020,497
07/11/2020,370
04/11/2020,3563
09/25/2020,626
09/10/2021,2664
01/26/2021,4776
12/14/2020,5536
04/17/2021,3922
01/14/2021,7092
08/20/2020,135
03/02/2020,0
01/22/2020,0
03/31/2021,3672
04/24/2021,2783
10/19/2020,1438
09/15/2021,2275
10/01/2020,711
04/22/2020,3478
10/11/2021,954
04/13/2020,2734
06/17/2020,301
04/28/2021,2113
07/18/2021,428
04/16/2020,4287
04/07/2020,3326
03/22/2021,3151
03/22/2020,587
04/09/2020,3590
12/30/2020,5287
05/24/2021,102
09/25/2021,2234
01/13/2021,7880
06/02/2020,658
02/17/2021,4109
01/08/2021,5769
08/30/2021,1508
01/21/2021,5049
10/08/2020,1417
02/22/2021,2704
10/03/2021,1454
06/20/2021,208
02/13/2021,3757
11/29/2020,5187
08/06/2021,1346
06/18/2021,205
09/16/2020,454
09/03/2020,422
10/20/2020,1263
08/21/2020,330
10/05/2021,1648
05/21/2020,1091
05/14/2020,1162
03/15/2020,54
04/22/2021,3230
09/21/2021,2165
07/12/2021,215
11/18/2020,4736
10/10/2020,960
09/22/2020,506
10/30/2021,1230
05/31/2021,197
02/21/2021,2031
10/28/2021,1965
02/01/2021,3517
09/27/2021,1159
06/29/2020,133
08/07/2020,405
05/09/2020,1641
05/20/2020,1413
08/27/2021,2592
04/27/2021,2124
11/26/2020,4877
10/31/2021,1215
10/22/2021,1706
01/30/2021,5274
08/08/2020,391
06/24/2021,272
05/18/2021,646
07/03/2020,418
02/03/2020,0
06/16/2020,353
05/02/2020,2531
04/23/2020,4124
05/11/2020,1428
02/04/2020,0
07/25/2021,596
07/06/2020,245
09/06/2020,339
02/01/2020,0
03/16/2020,80
01/28/2020,0
10/25/2021,943
