date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,0
3/10/2020,0
3/11/2020,3
3/12/2020,2
3/13/2020,0
3/14/2020,2
3/15/2020,10
3/16/2020,4
3/17/2020,2
3/18/2020,5
3/19/2020,7
3/20/2020,8
3/21/2020,14
3/22/2020,8
3/23/2020,18
3/24/2020,17
3/25/2020,12
3/26/2020,24
3/27/2020,55
3/28/2020,17
3/29/2020,29
3/30/2020,44
3/31/2020,34
4/1/2020,48
4/2/2020,40
4/3/2020,92
4/4/2020,48
4/5/2020,81
4/6/2020,62
4/7/2020,108
4/8/2020,71
4/9/2020,124
4/10/2020,102
4/11/2020,83
4/12/2020,71
4/13/2020,100
4/14/2020,62
4/15/2020,77
4/16/2020,113
4/17/2020,114
4/18/2020,87
4/19/2020,47
4/20/2020,126
4/21/2020,101
4/22/2020,138
4/23/2020,169
4/24/2020,142
4/25/2020,139
4/26/2020,66
4/27/2020,97
4/28/2020,151
4/29/2020,239
4/30/2020,198
5/1/2020,102
5/2/2020,219
5/3/2020,118
5/4/2020,181
5/5/2020,107
5/6/2020,153
5/7/2020,202
5/8/2020,180
5/9/2020,105
5/10/2020,85
5/11/2020,206
5/12/2020,143
5/13/2020,152
5/14/2020,139
5/15/2020,159
5/16/2020,185
5/17/2020,91
5/18/2020,158
5/19/2020,96
5/20/2020,125
5/21/2020,155
5/22/2020,153
5/23/2020,170
5/24/2020,148
5/25/2020,83
5/26/2020,104
5/27/2020,122
5/28/2020,112
5/29/2020,129
5/30/2020,131
5/31/2020,65
6/1/2020,111
6/2/2020,224
6/3/2020,116
6/4/2020,213
6/5/2020,319
6/6/2020,128
6/7/2020,140
6/8/2020,122
6/9/2020,43
6/10/2020,145
6/11/2020,117
6/12/2020,159
6/13/2020,95
6/14/2020,102
6/15/2020,122
6/16/2020,88
6/17/2020,132
6/18/2020,88
6/19/2020,107
6/20/2020,170
6/21/2020,135
6/22/2020,129
6/23/2020,144
6/24/2020,152
6/25/2020,202
6/26/2020,216
6/27/2020,211
6/28/2020,190
6/29/2020,173
6/30/2020,165
7/1/2020,129
7/2/2020,244
7/3/2020,256
7/4/2020,287
7/5/2020,193
7/6/2020,251
7/7/2020,220
7/8/2020,290
7/9/2020,234
7/10/2020,298
7/11/2020,224
7/12/2020,255
7/13/2020,263
7/14/2020,223
7/15/2020,327
7/16/2020,297
7/17/2020,318
7/18/2020,280
7/19/2020,235
7/20/2020,244
7/21/2020,302
7/22/2020,311
7/23/2020,335
7/24/2020,312
7/25/2020,313
7/26/2020,254
7/27/2020,460
7/28/2020,289
7/29/2020,345
7/30/2020,252
7/31/2020,212
8/1/2020,196
8/2/2020,220
8/3/2020,114
8/4/2020,210
8/5/2020,226
8/6/2020,207
8/7/2020,192
8/8/2020,150
8/9/2020,200
8/10/2020,129
8/11/2020,199
8/12/2020,173
8/13/2020,171
