date,new_cases
05/15/2021,180
10/23/2021,0
10/06/2021,738
01/27/2020,0
02/24/2021,516
08/12/2020,525
10/21/2020,472
02/07/2020,0
07/09/2020,552
10/10/2020,806
09/25/2021,660
08/17/2021,1002
07/09/2021,813
08/22/2020,637
04/11/2020,116
10/22/2020,789
10/01/2020,430
05/12/2021,464
12/22/2020,1090
07/18/2020,1186
11/03/2020,911
04/01/2020,166
06/07/2021,209
11/06/2020,1562
04/16/2020,110
10/25/2021,1496
12/02/2020,2129
10/20/2021,716
06/04/2021,361
05/24/2020,90
01/31/2021,959
03/30/2020,124
10/14/2020,479
02/02/2020,0
12/09/2020,3053
10/04/2021,625
07/23/2020,1263
09/25/2020,483
07/15/2020,841
11/08/2020,1276
04/08/2020,231
04/10/2021,752
06/20/2020,645
02/17/2020,0
09/26/2021,660
03/12/2021,858
07/04/2020,857
12/14/2020,2579
10/22/2021,822
01/21/2021,1200
04/24/2020,190
06/02/2020,142
07/31/2020,1142
12/13/2020,2882
12/23/2020,2988
01/08/2021,2866
06/14/2021,147
03/20/2021,271
07/18/2021,689
07/06/2021,338
01/24/2021,1194
08/07/2021,1003
05/29/2021,128
01/30/2020,0
09/08/2020,130
12/21/2020,1939
09/12/2021,983
07/10/2020,1005
03/23/2020,55
11/27/2020,1536
09/13/2021,984
08/25/2021,1362
05/23/2021,135
05/21/2020,89
01/10/2021,2259
09/28/2020,462
10/30/2020,1232
05/12/2020,159
02/22/2020,0
07/19/2020,1288
10/25/2020,891
10/16/2021,465
12/25/2020,1853
01/26/2021,956
12/04/2020,2902
04/27/2020,88
03/02/2021,309
10/26/2021,724
04/05/2021,181
03/30/2021,221
03/20/2020,14
10/08/2021,745
07/26/2021,800
03/16/2021,346
11/01/2020,716
03/07/2020,1
09/04/2021,798
06/29/2021,625
05/03/2021,267
03/28/2021,143
08/13/2021,1280
06/17/2020,202
03/25/2021,444
04/03/2020,56
08/01/2020,994
07/02/2021,508
07/24/2021,800
05/07/2021,498
11/04/2020,1068
07/30/2021,1310
09/29/2020,402
01/14/2021,2187
08/29/2021,933
03/21/2020,45
08/03/2020,985
10/19/2020,583
11/09/2020,960
09/14/2021,1361
09/10/2020,288
02/13/2021,813
03/02/2020,0
02/23/2021,398
10/13/2020,487
02/09/2021,546
05/06/2021,394
05/25/2021,265
03/22/2020,36
05/14/2021,389
12/03/2020,2536
02/05/2021,897
11/24/2020,2853
11/11/2020,1107
01/23/2020,0
05/30/2021,128
02/07/2021,651
04/29/2020,86
05/08/2021,266
08/29/2020,602
08/09/2021,1004
08/11/2020,547
09/10/2021,1552
07/03/2021,336
10/26/2020,475
04/30/2021,510
03/14/2021,222
08/02/2020,1131
09/04/2020,489
