date,new_cases
10/29/2021,4188
10/28/2021,3199
10/27/2021,3500
10/26/2021,1641
10/25/2021,2355
10/24/2021,2152
10/23/2021,3464
10/22/2021,2735
10/21/2021,3178
10/20/2021,3537
10/19/2021,1850
10/18/2021,2316
10/17/2021,3149
10/16/2021,4018
10/15/2021,4307
10/14/2021,3345
10/13/2021,3519
10/12/2021,2348
10/11/2021,3783
10/10/2021,2077
10/9/2021,3539
10/8/2021,4337
10/7/2021,3678
10/6/2021,4271
10/5/2021,2724
10/4/2021,1834
10/3/2021,3396
10/2/2021,3336
10/1/2021,3928
9/30/2021,3378
9/29/2021,3826
9/28/2021,2721
9/27/2021,2826
9/26/2021,2963
9/25/2021,3798
9/24/2021,4463
9/23/2021,3294
9/22/2021,2969
9/21/2021,3611
9/20/2021,2163
9/19/2021,3520
9/18/2021,3286
9/17/2021,3873
9/16/2021,4738
9/15/2021,3181
9/14/2021,2553
9/13/2021,2298
9/12/2021,3735
9/11/2021,3591
9/10/2021,4064
9/9/2021,3430
9/8/2021,2455
9/7/2021,2262
9/6/2021,2459
9/5/2021,2869
9/4/2021,3374
9/3/2021,3791
9/2/2021,3256
9/1/2021,2829
8/31/2021,2380
8/30/2021,2642
8/29/2021,2917
8/28/2021,2917
8/27/2021,4223
8/26/2021,3172
8/25/2021,2393
8/24/2021,1766
8/23/2021,2294
8/22/2021,2498
8/21/2021,2906
8/20/2021,2782
8/19/2021,2758
8/18/2021,2658
8/17/2021,2045
8/16/2021,2069
8/15/2021,2221
8/14/2021,2322
8/13/2021,2574
8/12/2021,2444
8/11/2021,2191
8/10/2021,1722
8/9/2021,1681
8/8/2021,1773
8/7/2021,2441
8/6/2021,1765
8/5/2021,1689
8/4/2021,1526
8/3/2021,1488
8/2/2021,941
8/1/2021,1254
7/31/2021,1368
7/30/2021,1259
7/29/2021,1174
7/28/2021,945
7/27/2021,775
7/26/2021,553
7/25/2021,912
7/24/2021,740
7/23/2021,774
7/22/2021,650
7/21/2021,582
7/20/2021,475
7/19/2021,362
7/18/2021,491
7/17/2021,402
7/16/2021,377
7/15/2021,406
7/14/2021,336
7/13/2021,285
7/12/2021,223
7/11/2021,254
7/10/2021,255
7/9/2021,321
7/8/2021,218
7/7/2021,173
7/6/2021,128
7/5/2021,141
7/4/2021,161
7/3/2021,151
7/2/2021,243
7/1/2021,175
6/30/2021,131
6/29/2021,106
6/28/2021,134
6/27/2021,148
6/26/2021,160
6/25/2021,141
6/24/2021,169
6/23/2021,132
6/22/2021,127
6/21/2021,55
6/20/2021,54
6/19/2021,237
6/18/2021,236
6/17/2021,212
6/16/2021,170
6/15/2021,146
6/14/2021,164
6/13/2021,200
6/12/2021,272
6/11/2021,265
6/10/2021,264
6/9/2021,216
6/8/2021,221
6/7/2021,293
6/6/2021,309
6/5/2021,490
6/4/2021,429
6/3/2021,296
6/2/2021,263
6/1/2021,215
5/31/2021,287
5/30/2021,528
5/29/2021,532
5/28/2021,547
5/27/2021,631
5/26/2021,590
5/25/2021,479
5/24/2021,589
5/23/2021,634
5/22/2021,852
5/21/2021,967
5/20/2021,1013
5/19/2021,959
5/18/2021,628
5/17/2021,798
5/16/2021,933
5/15/2021,1370
5/14/2021,1266
5/13/2021,1361
5/12/2021,1143
5/11/2021,959
5/10/2021,912
5/9/2021,1425
5/8/2021,1939
5/7/2021,1480
5/6/2021,1543
5/5/2021,1358
5/4/2021,1341
5/3/2021,1284
5/2/2021,1857
5/1/2021,1857
4/30/2021,2232
4/29/2021,2468
4/28/2021,1849
4/27/2021,1513
4/26/2021,1696
4/25/2021,2162
4/24/2021,2292
4/23/2021,2770
4/22/2021,2798
4/21/2021,2341
4/20/2021,2148
4/19/2021,2235
4/18/2021,3016
4/17/2021,4194
4/16/2021,3129
4/15/2021,4150
4/14/2021,3298
4/13/2021,2718
4/12/2021,2750
4/11/2021,3514
4/10/2021,3988
4/9/2021,4646
4/8/2021,4553
4/7/2021,3746
4/6/2021,2850
4/5/2021,3465
4/4/2021,3779
4/3/2021,4126
4/2/2021,3993
4/1/2021,4566
3/31/2021,4197
3/30/2021,3370
3/29/2021,3637
3/28/2021,4193
3/27/2021,4298
3/26/2021,4114
3/25/2021,4048
3/24/2021,3469
3/23/2021,3309
3/22/2021,2796
3/21/2021,3735
3/20/2021,3859
3/19/2021,3693
3/18/2021,3748
3/17/2021,3587
3/16/2021,3138
3/15/2021,2803
3/14/2021,2809
3/13/2021,3147
3/12/2021,4218
3/11/2021,3199
3/10/2021,3069
3/9/2021,2907
3/8/2021,2562
3/7/2021,3282
3/6/2021,3568
3/5/2021,4100
3/4/2021,3568
3/3/2021,3389
3/2/2021,2683
3/1/2021,2732
2/28/2021,3623
2/27/2021,3769
2/26/2021,3785
2/25/2021,4433
2/24/2021,2826
2/23/2021,3122
2/22/2021,2788
2/21/2021,3226
2/20/2021,3542
2/19/2021,3838
2/18/2021,3356
2/17/2021,3014
2/16/2021,3053
2/15/2021,2910
2/14/2021,4194
2/13/2021,4182
2/12/2021,4209
2/11/2021,4906
2/10/2021,3783
2/9/2021,3514
2/8/2021,3901
2/7/2021,4743
2/6/2021,5902
2/5/2021,4894
2/4/2021,4475
2/3/2021,3342
2/2/2021,4023
2/1/2021,4314
1/31/2021,5775
1/30/2021,6776
1/29/2021,6799
1/28/2021,7296
1/27/2021,6081
1/26/2021,5983
1/25/2021,6308
1/24/2021,6960
1/23/2021,7926
1/22/2021,8837
1/21/2021,8688
1/20/2021,6770
1/19/2021,7162
1/18/2021,6957
1/17/2021,8091
1/16/2021,9677
1/15/2021,12217
1/14/2021,8302
1/13/2021,8755
1/12/2021,9220
1/11/2021,8424
1/10/2021,10036
1/9/2021,10899
1/8/2021,12548
1/7/2021,11249
1/6/2021,11025
1/5/2021,7803
1/4/2021,7483
1/3/2021,8028
1/2/2021,9846
1/1/2021,11204
12/31/2020,10809
12/30/2020,8712
12/29/2020,6868
12/28/2020,6884
12/27/2020,4781
12/26/2020,6857
12/25/2020,8275
12/24/2020,7906
12/23/2020,7564
12/22/2020,6260
12/21/2020,5669
12/20/2020,6713
12/19/2020,6574
12/18/2020,8198
12/17/2020,7287
12/16/2020,6467
12/15/2020,6207
12/14/2020,6015
12/13/2020,6816
12/12/2020,7146
12/11/2020,7248
12/10/2020,6808
12/9/2020,6858
12/8/2020,5874
12/7/2020,4537
12/6/2020,6575
12/5/2020,7532
12/4/2020,7674
12/3/2020,6548
12/2/2020,5775
12/1/2020,4716
11/30/2020,4315
11/29/2020,4429
11/28/2020,3962
11/27/2020,5618
11/26/2020,4602
11/25/2020,4349
11/24/2020,3153
11/23/2020,4124
11/22/2020,3461
11/21/2020,4028
11/20/2020,3447
11/19/2020,3463
11/18/2020,3547
11/17/2020,3154
11/16/2020,2205
11/15/2020,2192
11/14/2020,3591
11/13/2020,3575
11/12/2020,3135
11/11/2020,3089
11/10/2020,2757
11/9/2020,1988
11/8/2020,2037
11/7/2020,2422
11/6/2020,2006
11/5/2020,1930
11/4/2020,1331
11/3/2020,1519
11/2/2020,992
11/1/2020,1309
10/31/2020,1350
10/30/2020,1352
10/29/2020,1439
10/28/2020,1194
10/27/2020,1260
10/26/2020,767
10/25/2020,979
10/24/2020,1306
10/23/2020,1066
10/22/2020,1098
10/21/2020,1187
10/20/2020,765
10/19/2020,579
10/18/2020,778
10/17/2020,978
10/16/2020,1047
10/15/2020,952
10/14/2020,768
10/13/2020,848
10/12/2020,636
10/11/2020,674
10/10/2020,872
10/9/2020,968
10/8/2020,1140
10/7/2020,812
10/6/2020,826
10/5/2020,465
10/4/2020,690
10/3/2020,1019
10/2/2020,999
10/1/2020,849
9/30/2020,554
9/29/2020,666
9/28/2020,455
9/27/2020,484
9/26/2020,576
9/25/2020,537
9/24/2020,531
9/23/2020,385
9/22/2020,403
9/21/2020,313
9/20/2020,464
9/19/2020,494
9/18/2020,442
9/17/2020,563
9/16/2020,400
9/15/2020,460
9/14/2020,318
9/13/2020,481
9/12/2020,543
9/11/2020,611
9/10/2020,421
9/9/2020,363
9/8/2020,335
9/7/2020,317
9/6/2020,434
9/5/2020,522
9/4/2020,539
9/3/2020,585
9/2/2020,444
9/1/2020,449
8/31/2020,388
8/30/2020,417
8/29/2020,357
8/28/2020,366
8/27/2020,476
8/26/2020,306
8/25/2020,398
8/24/2020,194
8/23/2020,293
8/22/2020,386
8/21/2020,423
8/20/2020,328
8/19/2020,358
8/18/2020,371
8/17/2020,173
8/16/2020,300
8/15/2020,352
8/14/2020,360
8/13/2020,299
8/12/2020,314
8/11/2020,393
8/10/2020,239
8/9/2020,267
8/8/2020,377
8/7/2020,370
8/6/2020,370
8/5/2020,335
8/4/2020,430
8/3/2020,304
8/2/2020,268
8/1/2020,441
7/31/2020,359
7/30/2020,465
7/29/2020,413
7/28/2020,336
7/27/2020,318
7/26/2020,307
7/25/2020,410
7/24/2020,393
7/23/2020,423
7/22/2020,355
7/21/2020,464
7/20/2020,235
7/19/2020,204
7/18/2020,367
7/17/2020,409
7/16/2020,384
7/15/2020,465
7/14/2020,597
7/13/2020,307
7/12/2020,336
7/11/2020,423
7/10/2020,435
7/9/2020,309
7/8/2020,403
7/7/2020,316
7/6/2020,271
7/5/2020,294
7/4/2020,358
7/3/2020,458
7/2/2020,448
7/1/2020,329
6/30/2020,284
6/29/2020,202
6/28/2020,300
6/27/2020,339
6/26/2020,434
6/25/2020,398
6/24/2020,289
6/23/2020,282
6/22/2020,257
6/21/2020,279
6/20/2020,325
6/19/2020,386
6/18/2020,299
6/17/2020,217
6/16/2020,299
6/15/2020,239
6/14/2020,309
6/13/2020,377
6/12/2020,385
6/11/2020,337
6/10/2020,249
6/9/2020,343
6/8/2020,318
6/7/2020,323
6/6/2020,537
6/5/2020,541
6/4/2020,514
6/3/2020,550
6/2/2020,716
6/1/2020,480
5/31/2020,558
5/30/2020,624
5/29/2020,603
5/28/2020,685
5/27/2020,462
5/26/2020,502
5/25/2020,641
5/24/2020,732
5/23/2020,990
5/22/2020,887
5/21/2020,963
5/20/2020,796
5/19/2020,883
5/18/2020,613
5/17/2020,896
5/16/2020,1176
5/15/2020,950
5/14/2020,1095
5/13/2020,1049
5/12/2020,664
5/11/2020,720
5/10/2020,1145
5/9/2020,1209
5/8/2020,1371
5/7/2020,1626
5/6/2020,1309
5/5/2020,1016
5/4/2020,1218
5/3/2020,1461
5/2/2020,1999
5/1/2020,1730
4/30/2020,2044
4/29/2020,2082
4/28/2020,1261
4/27/2020,1720
4/26/2020,2757
4/25/2020,5913
4/24/2020,3512
4/23/2020,2821
4/22/2020,2419
4/21/2020,1659
4/20/2020,2356
4/19/2020,2802
4/18/2020,3258
4/17/2020,3152
4/16/2020,3661
4/15/2020,3734
4/14/2020,3475
4/13/2020,2782
4/12/2020,3336
4/11/2020,4022
4/10/2020,5218
4/9/2020,5397
4/8/2020,5616
4/7/2020,3709
4/6/2020,3708
4/5/2020,4082
4/4/2020,4694
4/3/2020,5132
4/2/2020,4299
4/1/2020,3617
3/31/2020,3612
3/30/2020,3299
3/29/2020,3193
3/28/2020,3315
3/27/2020,3372
3/26/2020,2910
3/25/2020,2194
3/24/2020,2191
3/23/2020,2447
3/22/2020,1978
3/21/2020,1451
3/20/2020,1011
3/19/2020,640
3/18/2020,313
3/17/2020,243
3/16/2020,87
3/15/2020,89
3/14/2020,44
3/13/2020,37
3/12/2020,66
3/11/2020,27
3/10/2020,12
3/9/2020,97
3/8/2020,0
3/7/2020,7
3/6/2020,9
3/5/2020,11
3/4/2020,1
3/3/2020,0
3/2/2020,0
3/1/2020,0
2/29/2020,0
2/28/2020,0
2/27/2020,0
2/26/2020,0
2/25/2020,0
2/24/2020,0
2/23/2020,0
2/22/2020,0
2/21/2020,0
2/20/2020,0
2/19/2020,0
2/18/2020,0
2/17/2020,0
2/16/2020,0
2/15/2020,0
2/14/2020,0
2/13/2020,0
2/12/2020,0
2/11/2020,0
2/10/2020,0
2/9/2020,0
2/8/2020,0
2/7/2020,0
2/6/2020,0
2/5/2020,0
2/4/2020,0
2/3/2020,0
2/2/2020,0
2/1/2020,0
1/31/2020,0
1/30/2020,0
1/29/2020,0
1/28/2020,0
1/27/2020,0
1/26/2020,0
1/25/2020,0
1/24/2020,0
1/23/2020,0
1/22/2020,0
