date,new_cases
04/03/2021,2293
01/06/2021,7814
10/31/2020,2915
02/23/2020,0
04/22/2020,392
11/10/2020,6508
09/04/2020,1332
08/19/2020,958
04/29/2021,1786
10/05/2021,5533
05/19/2020,680
01/28/2020,0
09/12/2020,1242
06/20/2020,531
08/06/2020,1166
08/29/2020,1216
04/19/2020,1380
12/04/2020,10114
05/07/2020,555
02/02/2020,0
11/25/2020,10835
12/12/2020,11252
02/25/2021,2409
07/04/2020,926
06/01/2020,471
09/03/2020,1345
07/31/2020,1533
09/29/2020,1105
03/25/2021,1501
09/14/2020,1079
09/01/2020,1453
02/22/2020,0
08/25/2020,844
06/03/2021,490
10/19/2021,3617
04/13/2020,457
08/27/2020,1244
12/31/2020,9632
06/17/2021,244
01/07/2021,10251
09/21/2021,6814
02/11/2020,0
05/01/2021,1707
06/19/2021,252
12/24/2020,8828
08/04/2021,2167
05/28/2020,476
07/20/2020,1236
06/24/2021,303
03/11/2021,1448
03/09/2021,1893
10/13/2021,5648
06/01/2021,312
04/06/2021,1871
03/06/2021,1506
05/24/2021,566
04/23/2021,1788
05/12/2021,1449
04/21/2021,1789
06/06/2020,353
04/28/2020,444
03/03/2020,0
11/02/2020,2909
07/09/2021,354
12/05/2020,10469
02/13/2020,0
03/25/2020,140
06/05/2021,379
09/11/2021,8405
10/22/2020,2425
01/24/2021,4481
03/07/2021,735
08/26/2020,1089
07/02/2021,185
08/20/2021,3783
06/04/2020,490
09/24/2020,991
07/14/2021,407
10/12/2021,4456
01/19/2021,4989
09/12/2021,4463
04/24/2020,475
05/20/2020,484
08/19/2021,3446
08/12/2020,1422
08/15/2020,1117
03/23/2020,91
09/04/2021,6369
03/26/2020,163
04/20/2021,1799
06/20/2021,252
09/15/2020,1001
05/21/2021,1004
10/15/2020,2178
08/29/2021,3963
09/01/2021,7102
01/31/2020,0
12/15/2020,8755
02/19/2020,0
09/21/2020,856
07/31/2021,1469
10/15/2021,4937
07/01/2020,1076
07/02/2020,1301
10/25/2020,2309
07/03/2021,201
10/03/2020,1157
07/18/2020,1542
01/24/2020,0
06/17/2020,412
01/08/2021,9535
01/29/2021,4874
07/15/2020,1316
02/01/2020,0
11/16/2020,7268
09/09/2020,973
05/08/2020,885
08/21/2020,1043
10/06/2021,6296
03/02/2021,1709
08/22/2021,2194
02/06/2020,0
08/09/2021,1269
07/07/2020,948
09/14/2021,7325
04/09/2020,364
02/01/2021,3287
06/13/2021,251
01/23/2020,0
12/09/2020,10094
02/20/2020,0
07/09/2020,1150
11/19/2020,7787
02/27/2021,1774
05/14/2020,636
07/04/2021,105
06/07/2020,365
12/01/2020,9030
11/13/2020,8071
03/16/2021,1883
04/30/2020,724
03/22/2020,104
01/27/2020,0
11/15/2020,7853
07/06/2020,805
02/16/2020,0
09/16/2021,8349
03/24/2020,122
12/19/2020,8567
10/13/2020,1447
04/15/2020,511
10/03/2021,3445
08/13/2021,2732
09/29/2021,6463
04/20/2020,1317
02/15/2021,1915
08/25/2021,4600
08/01/2020,928
08/11/2020,1095
11/03/2020,4229
04/12/2020,268
10/27/2020,2509
01/25/2021,4334
09/02/2020,1157
12/30/2020,8178
10/25/2021,2325
10/10/2020,1356
04/06/2020,407
11/04/2020,4071
05/04/2020,560
08/06/2021,1666
10/11/2021,2936
03/17/2021,1458
07/03/2020,1091
08/12/2021,3272
08/14/2020,1131
09/17/2020,1067
04/21/2020,806
06/14/2021,178
08/30/2020,922
10/05/2020,1057
10/01/2020,1327
04/24/2021,1526
06/23/2020,590
08/24/2020,849
11/05/2020,4961
07/23/2020,1444
09/13/2020,837
06/22/2021,349
07/19/2020,1110
09/23/2020,903
11/30/2020,6631
03/23/2021,1628
01/14/2021,7654
06/26/2021,254
06/26/2020,987
06/10/2020,413
04/16/2021,2003
05/26/2021,987
04/11/2021,1855
06/12/2021,385
01/02/2021,14293
09/05/2021,5561
08/08/2021,1413
02/29/2020,0
08/17/2021,3235
05/11/2020,696
02/02/2021,3657
10/02/2021,6094
02/04/2020,0
08/28/2021,5204
09/11/2020,1240
04/10/2021,2048
06/15/2021,296
10/07/2021,6310
10/04/2021,4212
03/13/2020,0
03/31/2020,266
04/14/2021,2216
09/26/2021,4266
11/29/2020,7729
11/12/2020,7101
12/28/2020,4519
04/04/2021,0
08/20/2020,1122
05/21/2020,731
09/07/2020,0
06/27/2020,817
12/16/2020,5409
04/18/2021,1076
05/31/2021,310
10/28/2021,4190
05/25/2020,566
07/13/2021,344
01/10/2021,6088
07/12/2020,1378
12/02/2020,7835
09/25/2021,5379
10/29/2020,3590
03/30/2020,280
05/10/2021,713
01/09/2021,8374
07/12/2021,224
07/10/2020,1525
03/21/2020,78
07/17/2021,486
07/29/2020,1396
12/20/2020,8377
04/10/2020,366
11/23/2020,11885
07/24/2020,1560
04/22/2021,1724
04/17/2021,1987
02/19/2021,2306
08/09/2020,879
07/05/2020,968
08/21/2021,3452
08/04/2020,1143
05/16/2020,520
01/15/2021,7149
04/07/2020,332
05/17/2020,449
08/02/2020,944
05/11/2021,1411
01/20/2021,6378
09/08/2021,6823
07/19/2021,418
12/23/2020,7790
02/15/2020,0
03/08/2021,1254
08/31/2020,895
06/28/2020,854
08/13/2020,1178
01/31/2021,3011
03/10/2020,3
01/28/2021,5432
03/28/2020,269
03/16/2020,13
02/23/2021,2775
09/20/2020,762
03/05/2021,1750
10/26/2021,3807
10/02/2020,1495
08/27/2021,4855
07/29/2021,1205
06/19/2020,609
07/26/2021,543
01/12/2021,7981
06/09/2021,391
01/13/2021,6701
11/22/2020,8133
03/30/2021,2458
06/25/2020,892
08/01/2021,857
10/17/2021,2515
10/14/2021,5143
12/29/2020,7526
10/28/2020,2607
01/17/2021,5247
06/04/2021,621
10/08/2021,6651
04/14/2020,305
07/30/2021,1183
02/14/2020,0
03/19/2020,31
07/10/2021,299
09/27/2021,3681
03/26/2021,2742
03/28/2021,1019
02/05/2021,3683
02/08/2021,1926
05/06/2020,607
06/09/2020,325
02/04/2021,4120
02/21/2020,0
10/17/2020,2234
04/03/2020,410
06/18/2021,252
10/16/2020,2148
02/21/2021,1461
10/30/2021,3421
05/09/2020,681
07/17/2020,1679
07/26/2020,889
10/29/2021,3485
07/27/2020,1104
06/29/2020,737
04/23/2020,577
09/26/2020,1115
04/02/2020,355
12/03/2020,8921
02/05/2020,0
02/18/2020,0
03/20/2021,1483
05/16/2021,618
03/15/2020,32
10/24/2020,2858
09/22/2020,685
10/19/2020,1837
05/23/2021,683
05/06/2021,1387
09/28/2021,7283
07/21/2021,785
10/30/2020,3845
01/22/2020,0
10/18/2021,2810
03/11/2020,0
06/16/2020,434
03/01/2020,0
09/13/2021,5568
03/09/2020,0
04/26/2021,1396
02/17/2020,0
03/03/2021,2022
06/10/2021,344
06/23/2021,323
07/08/2020,1277
03/21/2021,931
10/11/2020,1291
08/03/2020,932
05/30/2020,468
02/03/2021,3991
01/18/2021,4312
12/10/2020,0
04/17/2020,693
09/24/2021,7095
02/27/2020,0
01/29/2020,0
10/20/2020,2015
09/18/2021,6716
07/30/2020,1733
11/28/2020,6895
09/10/2020,1121
04/12/2021,1934
08/10/2020,883
09/19/2021,4428
06/29/2021,277
06/14/2020,300
09/27/2020,800
05/28/2021,660
05/13/2021,1161
10/10/2021,5399
05/15/2021,919
