date,new_cases
10/29/2021,706
10/28/2021,1616
10/27/2021,0
10/26/2021,2642
10/25/2021,0
10/24/2021,0
10/23/2021,0
10/22/2021,763
10/21/2021,1049
10/20/2021,1148
10/19/2021,895
10/18/2021,951
10/17/2021,947
10/16/2021,947
10/15/2021,1146
10/14/2021,1180
10/13/2021,1182
10/12/2021,1214
10/11/2021,824
10/10/2021,820
10/9/2021,820
10/8/2021,1721
10/7/2021,1720
10/6/2021,1559
10/5/2021,1096
10/4/2021,996
10/3/2021,994
10/2/2021,994
10/1/2021,1537
9/30/2021,1452
9/29/2021,1880
9/28/2021,1500
9/27/2021,1614
9/26/2021,1613
9/25/2021,1613
9/24/2021,1154
9/23/2021,1230
9/22/2021,2361
9/21/2021,2243
9/20/2021,1449
9/19/2021,1449
9/18/2021,1449
9/17/2021,2136
9/16/2021,2124
9/15/2021,2263
9/14/2021,1966
9/13/2021,1838
9/12/2021,1834
9/11/2021,1834
9/10/2021,2903
9/9/2021,2627
9/8/2021,2462
9/7/2021,1300
9/6/2021,2519
9/5/2021,2518
9/4/2021,2518
9/3/2021,2518
9/2/2021,3080
9/1/2021,3274
8/31/2021,2538
8/30/2021,1903
8/29/2021,1899
8/28/2021,1899
8/27/2021,3845
8/26/2021,3338
8/25/2021,4152
8/24/2021,2534
8/23/2021,1676
8/22/2021,1674
8/21/2021,1674
8/20/2021,2988
8/19/2021,2851
8/18/2021,2502
8/17/2021,2360
8/16/2021,1958
8/15/2021,1957
8/14/2021,1957
8/13/2021,1957
8/12/2021,2814
8/11/2021,2468
8/10/2021,2199
8/9/2021,1670
8/8/2021,1668
8/7/2021,1668
8/6/2021,2364
8/5/2021,2303
8/4/2021,2342
8/3/2021,2160
8/2/2021,1407
8/1/2021,1404
7/31/2021,1404
7/30/2021,2328
7/29/2021,1777
7/28/2021,1806
7/27/2021,1474
7/26/2021,1028
7/25/2021,1026
7/24/2021,1026
7/23/2021,1322
7/22/2021,1194
7/21/2021,1581
7/20/2021,1203
7/19/2021,600
7/18/2021,600
7/17/2021,600
7/16/2021,791
7/15/2021,750
7/14/2021,705
7/13/2021,1082
7/12/2021,259
7/11/2021,259
7/10/2021,259
7/9/2021,611
7/8/2021,551
7/7/2021,456
7/6/2021,151
7/5/2021,226
7/4/2021,224
7/3/2021,224
7/2/2021,367
7/1/2021,303
6/30/2021,329
6/29/2021,276
6/28/2021,156
6/27/2021,156
6/26/2021,156
6/25/2021,197
6/24/2021,224
6/23/2021,273
6/22/2021,265
6/21/2021,154
6/20/2021,153
6/19/2021,153
6/18/2021,153
6/17/2021,181
6/16/2021,209
6/15/2021,216
6/14/2021,45
6/13/2021,99
6/12/2021,187
6/11/2021,204
6/10/2021,178
6/9/2021,122
6/8/2021,124
6/7/2021,80
6/6/2021,94
6/5/2021,134
6/4/2021,110
6/3/2021,153
6/2/2021,115
6/1/2021,42
5/31/2021,70
5/30/2021,78
5/29/2021,139
5/28/2021,178
5/27/2021,144
5/26/2021,137
5/25/2021,15
5/24/2021,39
5/23/2021,52
5/22/2021,107
5/21/2021,118
5/20/2021,106
5/19/2021,147
5/18/2021,149
5/17/2021,108
5/16/2021,95
5/15/2021,112
5/14/2021,117
5/13/2021,140
5/12/2021,127
5/11/2021,178
5/10/2021,107
5/9/2021,120
