date,new_cases
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,1
3/1/2020,0
3/2/2020,2
3/3/2020,0
3/4/2020,0
3/5/2020,0
3/6/2020,0
3/7/2020,4
3/8/2020,7
3/9/2020,0
3/10/2020,1
3/11/2020,4
3/12/2020,5
3/13/2020,0
3/14/2020,0
3/15/2020,15
3/16/2020,8
3/17/2020,18
3/18/2020,10
3/19/2020,13
3/20/2020,26
3/21/2020,23
3/22/2020,24
3/23/2020,30
3/24/2020,18
3/25/2020,57
3/26/2020,50
3/27/2020,98
3/28/2020,65
3/29/2020,69
3/30/2020,58
3/31/2020,84
4/1/2020,46
4/2/2020,90
4/3/2020,73
4/4/2020,100
4/5/2020,69
4/6/2020,64
4/7/2020,49
4/8/2020,58
4/9/2020,82
4/10/2020,50
4/11/2020,76
4/12/2020,80
4/13/2020,57
4/14/2020,49
4/15/2020,30
4/16/2020,73
4/17/2020,49
4/18/2020,59
4/19/2020,66
4/20/2020,46
4/21/2020,46
4/22/2020,57
4/23/2020,68
4/24/2020,50
4/25/2020,76
4/26/2020,58
4/27/2020,43
4/28/2020,31
4/29/2020,61
4/30/2020,64
5/1/2020,69
5/2/2020,56
5/3/2020,45
5/4/2020,79
5/5/2020,80
5/6/2020,77
5/7/2020,73
5/8/2020,79
5/9/2020,92
5/10/2020,68
5/11/2020,58
5/12/2020,72
5/13/2020,58
5/14/2020,63
5/15/2020,62
5/16/2020,71
5/17/2020,11
5/18/2020,64
5/19/2020,39
5/20/2020,75
5/21/2020,16
5/22/2020,47
5/23/2020,24
5/24/2020,39
5/25/2020,22
5/26/2020,18
5/27/2020,71
5/28/2020,48
5/29/2020,45
5/30/2020,54
5/31/2020,58
6/1/2020,59
6/2/2020,33
6/3/2020,64
6/4/2020,75
6/5/2020,96
6/6/2020,92
6/7/2020,146
6/8/2020,114
6/9/2020,66
6/10/2020,72
6/11/2020,177
6/12/2020,140
6/13/2020,158
6/14/2020,101
6/15/2020,184
6/16/2020,278
6/17/2020,120
6/18/2020,148
6/19/2020,206
6/20/2020,178
6/21/2020,187
6/22/2020,146
6/23/2020,191
6/24/2020,170
6/25/2020,124
6/26/2020,250
6/27/2020,276
6/28/2020,247
6/29/2020,144
6/30/2020,171
7/1/2020,275
7/2/2020,363
7/3/2020,342
7/4/2020,294
7/5/2020,300
7/6/2020,165
7/7/2020,210
7/8/2020,214
7/9/2020,369
7/10/2020,266
7/11/2020,397
7/12/2020,319
7/13/2020,268
7/14/2020,367
7/15/2020,276
7/16/2020,428
7/17/2020,293
7/18/2020,347
7/19/2020,430
7/20/2020,268
7/21/2020,292
7/22/2020,255
7/23/2020,319
7/24/2020,391
7/25/2020,388
7/26/2020,266
7/27/2020,330
7/28/2020,328
7/29/2020,305
7/30/2020,410
7/31/2020,362
8/1/2020,324
8/2/2020,280
8/3/2020,269
8/4/2020,333
8/5/2020,279
8/6/2020,247
8/7/2020,411
8/8/2020,374
8/9/2020,262
8/10/2020,216
8/11/2020,286
8/12/2020,248
8/13/2020,278
