date,new_cases
02/03/2021,3092
08/24/2021,3026
08/14/2020,808
08/30/2021,2240
02/10/2021,3006
04/19/2020,1311
12/06/2020,8213
03/10/2020,4
01/02/2021,7898
01/14/2021,6464
11/21/2020,7004
10/07/2021,5819
10/13/2020,1352
04/05/2021,2666
06/10/2020,440
04/23/2020,1824
08/04/2021,1397
08/19/2021,3889
06/01/2021,471
10/10/2020,1744
10/04/2021,4395
11/14/2020,5553
07/29/2020,808
05/11/2021,2593
04/03/2020,1387
06/24/2021,200
04/14/2021,5897
07/04/2020,635
03/18/2020,43
09/01/2020,841
09/30/2021,4892
05/21/2020,936
05/27/2020,783
04/29/2021,3705
09/29/2021,4570
04/28/2020,1398
09/16/2021,5786
10/23/2021,4573
03/19/2021,3463
02/06/2021,4141
05/15/2021,1923
06/30/2020,588
07/31/2020,1017
04/06/2020,1492
08/28/2021,3842
03/01/2020,0
06/01/2020,404
09/19/2021,4500
04/11/2020,1763
08/02/2021,866
11/08/2020,3163
04/14/2020,1096
06/18/2020,449
02/25/2020,0
06/29/2021,189
03/20/2021,4072
09/22/2020,878
05/15/2020,1047
08/21/2021,2727
03/04/2020,0
03/03/2021,2504
06/16/2020,353
12/23/2020,9849
01/15/2021,6728
04/07/2020,1559
03/09/2021,2999
08/08/2020,831
03/13/2020,9
01/30/2021,5494
09/23/2021,5489
01/19/2021,5631
09/14/2020,700
06/20/2021,117
04/27/2020,952
01/13/2021,8171
12/02/2020,8964
03/15/2021,1395
09/17/2020,952
09/27/2020,924
10/02/2020,1145
12/18/2020,9317
10/01/2021,5352
12/30/2020,9491
10/26/2021,3742
05/16/2021,1041
06/11/2021,402
10/15/2020,1586
09/03/2020,1049
05/08/2021,2578
02/15/2020,0
04/30/2021,4392
01/31/2021,3958
03/25/2021,3710
10/08/2020,1351
07/02/2021,165
09/07/2020,600
03/04/2021,3228
09/15/2020,1094
01/03/2021,4844
05/10/2020,1457
03/01/2021,1687
07/25/2021,573
08/14/2021,2223
07/22/2021,559
07/21/2020,1050
08/26/2020,511
08/19/2020,600
07/26/2021,413
05/28/2021,980
05/03/2020,1073
10/08/2021,5583
06/04/2020,555
05/14/2021,1792
12/12/2020,11288
03/16/2020,15
06/25/2021,198
01/24/2021,3826
05/12/2020,806
12/11/2020,12787
08/13/2021,2020
06/27/2021,133
04/30/2020,1597
11/01/2020,2092
05/29/2020,726
10/04/2020,984
02/18/2020,0
09/09/2020,1008
01/12/2021,7571
04/13/2021,7083
08/05/2021,1800
03/29/2021,2885
06/24/2020,496
10/29/2020,2372
12/16/2020,10211
05/07/2020,1131
07/30/2020,932
03/21/2020,115
03/03/2020,0
03/07/2020,2
03/08/2020,3
05/23/2021,938
08/29/2020,854
02/17/2020,0
07/30/2021,992
03/27/2020,539
10/17/2020,1867
02/25/2021,2354
04/25/2020,1433
08/07/2021,1661
10/05/2021,4019
07/05/2020,537
01/09/2021,9637
10/03/2020,1208
09/18/2020,788
11/04/2020,2865
10/21/2021,4998
10/16/2020,1609
10/19/2021,3899
11/26/2020,8420
09/12/2021,4125
05/06/2021,2408
05/30/2021,485
12/25/2020,7041
09/18/2021,5617
10/14/2020,1280
01/28/2021,6987
07/12/2020,650
01/05/2021,8684
10/30/2020,2511
02/20/2020,0
07/31/2021,1142
05/25/2020,530
07/20/2021,597
06/26/2020,618
07/29/2021,1064
03/20/2020,99
09/05/2020,941
12/15/2020,9920
04/26/2021,1865
04/04/2020,1704
08/22/2020,813
01/29/2021,8419
12/28/2020,3675
10/02/2021,3392
05/10/2021,996
05/18/2020,826
02/10/2020,0
04/28/2021,3301
04/24/2020,1815
06/16/2021,243
01/17/2021,5783
02/17/2021,3429
02/02/2020,0
02/14/2021,2431
03/19/2020,66
02/27/2020,0
01/20/2021,5592
03/26/2021,4989
11/25/2020,6959
04/26/2020,1328
02/29/2020,0
05/02/2021,2440
10/16/2021,4485
07/03/2020,792
09/02/2021,4816
08/23/2021,1787
10/06/2021,5058
04/01/2021,3839
10/26/2020,1668
01/24/2020,0
10/30/2021,4366
08/25/2020,592
03/25/2020,259
11/05/2020,2949
06/13/2021,187
02/21/2021,1873
09/10/2021,5005
02/04/2021,3344
05/09/2021,1271
08/21/2020,740
11/30/2020,4409
04/12/2020,1180
10/24/2021,3414
10/09/2020,1427
05/22/2021,1344
04/08/2020,1807
09/08/2021,4391
08/12/2020,959
10/27/2020,2352
02/24/2021,2692
05/02/2020,1403
08/28/2020,864
03/16/2021,3145
02/26/2021,3361
05/08/2020,1478
09/17/2021,5198
09/04/2020,931
01/22/2021,5319
08/13/2020,1015
08/15/2021,2098
08/05/2020,754
06/08/2020,369
04/18/2021,2938
07/17/2020,1041
06/14/2020,349
02/23/2020,0
04/27/2021,3811
12/27/2020,5072
02/11/2020,0
02/20/2021,2714
01/30/2020,0
07/28/2021,760
02/22/2021,1483
01/16/2021,6850
11/28/2020,7846
03/24/2021,4866
11/29/2020,5450
07/08/2021,237
05/13/2020,759
12/05/2020,12452
06/20/2020,491
05/24/2021,613
04/16/2020,1326
04/01/2020,993
04/23/2021,4025
02/09/2020,0
07/11/2021,191
06/25/2020,593
03/28/2020,561
03/05/2021,2612
08/12/2021,2311
09/25/2021,4966
09/13/2021,3150
04/24/2021,4009
10/25/2020,1744
09/16/2020,791
03/07/2021,1538
09/15/2021,4812
07/13/2021,336
06/09/2020,504
04/09/2020,2033
10/01/2020,1032
05/26/2020,456
07/18/2021,337
06/04/2021,734
12/08/2020,10264
05/06/2020,961
08/31/2021,3249
08/06/2020,815
05/01/2021,3030
04/15/2020,1233
04/10/2020,1817
03/30/2020,695
10/22/2021,4496
01/22/2020,0
11/02/2020,1992
11/01/2021,2764
11/11/2020,4824
06/05/2020,473
05/23/2020,777
04/07/2021,4526
04/10/2021,4690
08/31/2020,516
06/21/2020,470
05/31/2021,381
12/19/2020,10258
05/05/2021,2729
11/10/2020,4336
06/10/2021,460
07/23/2021,635
05/04/2020,939
08/16/2021,1279
08/17/2020,457
02/01/2020,0
10/19/2020,1189
08/25/2021,3612
04/04/2021,3254
06/29/2020,556
01/31/2020,0
06/22/2020,459
04/18/2020,1791
10/12/2021,3898
09/22/2021,4394
05/20/2021,1397
05/29/2021,782
05/04/2021,3220
03/14/2020,18
11/18/2020,6739
05/03/2021,1646
05/13/2021,2058
06/02/2021,718
06/15/2020,354
07/02/2020,849
09/01/2021,3100
05/18/2021,1910
03/06/2021,2863
02/08/2020,0
11/09/2020,3388
03/29/2020,637
10/29/2021,4506
07/01/2021,176
10/20/2021,3584
11/06/2020,3507
09/20/2020,683
09/30/2020,868
08/03/2021,1562
06/14/2021,140
10/07/2020,1407
10/25/2021,2425
10/14/2021,5253
03/27/2021,4062
06/28/2021,82
07/17/2021,414
04/21/2020,1246
06/06/2020,775
07/15/2021,418
06/02/2020,606
06/07/2021,224
02/26/2020,0
05/17/2020,672
05/28/2020,653
03/18/2021,3115
10/31/2021,3114
02/09/2021,4443
09/11/2020,1038
07/14/2021,304
01/25/2020,0
11/22/2020,7099
09/06/2020,669
09/21/2021,4939
04/20/2021,5098
02/12/2021,3473
10/28/2020,2321
06/12/2021,347
11/27/2020,7389
09/06/2021,2503
02/15/2021,1852
07/22/2020,810
09/14/2021,3732
05/30/2020,724
08/20/2021,2446
03/06/2020,0
03/26/2020,548
07/09/2021,228
07/16/2020,818
07/23/2020,837
02/03/2020,0
10/31/2020,2693
10/05/2020,799
08/29/2021,2442
02/19/2021,2712
02/11/2021,4034
05/19/2021,1198
07/25/2020,1106
09/23/2020,810
06/28/2020,496
12/01/2020,5826
08/04/2020,882
09/27/2021,3010
12/29/2020,9044
02/07/2020,0
07/27/2021,1021
08/03/2020,576
07/06/2021,96
03/14/2021,1912
07/03/2021,217
03/13/2021,2821
05/22/2020,943
08/16/2020,718
10/23/2020,2207
03/24/2020,244
06/27/2020,629
05/17/2021,793
07/10/2020,914
10/20/2020,1559
10/21/2020,1430
02/16/2020,0
08/08/2021,1240
01/27/2021,5557
11/15/2020,5408
07/24/2020,1227
07/20/2020,751
03/30/2021,5416
04/17/2021,5096
10/24/2020,2158
05/14/2020,983
05/09/2020,1164
02/28/2021,1777
06/21/2021,107
08/01/2020,916
04/22/2021,4458
12/14/2020,8091
02/07/2021,4395
01/29/2020,0
02/24/2020,0
12/04/2020,12391
05/19/2020,580
06/18/2021,289
03/17/2021,3220
10/22/2020,2102
04/12/2021,2507
01/26/2020,0
12/24/2020,8741
03/11/2021,2765
03/02/2021,2539
08/01/2021,978
06/07/2020,436
05/20/2020,813
12/10/2020,12230
02/13/2020,0
01/26/2021,5085
09/10/2020,568
06/12/2020,685
02/28/2020,0
07/08/2020,907
12/21/2020,7759
04/13/2020,1311
04/19/2021,2142
09/24/2021,5071
02/27/2021,3421
03/31/2020,778
07/28/2020,1116
09/07/2021,2536
01/21/2021,5785
03/05/2020,0
08/22/2021,2125
04/05/2020,1437
08/06/2021,1711
02/12/2020,0
02/21/2020,0
11/03/2020,2765
04/25/2021,2880
07/27/2020,751
04/11/2021,3647
01/23/2021,5822
08/23/2020,614
07/07/2020,905
09/25/2020,1026
03/12/2020,8
02/06/2020,0
03/22/2021,1605
06/23/2020,526
12/09/2020,8144
01/10/2021,7309
12/22/2020,8345
10/03/2021,6289
07/19/2021,220
09/24/2020,910
08/10/2021,2099
05/21/2021,1971
07/21/2021,541
01/28/2020,0
07/09/2020,735
06/09/2021,333
12/03/2020,10768
08/18/2020,625
02/05/2020,0
03/09/2020,3
04/29/2020,1147
01/23/2020,0
07/05/2021,120
06/05/2021,600
08/18/2021,2186
11/23/2020,5029
10/17/2021,3821
04/02/2020,1132
09/28/2021,5429
01/25/2021,3803
09/08/2020,483
09/19/2020,924
07/04/2021,136
10/11/2021,2872
02/05/2021,5063
03/28/2021,3049
07/24/2021,646
06/17/2020,367
10/09/2021,5610
06/03/2021,572
09/20/2021,2569
03/12/2021,3056
05/07/2021,3011
10/28/2021,4312
06/15/2021,371
10/12/2020,1111
07/07/2021,184
03/11/2020,5
02/01/2021,3352
02/02/2021,3711
01/01/2021,8491
08/30/2020,691
04/20/2020,943
07/12/2021,130
12/20/2020,6465
03/31/2021,4393
01/18/2021,3988
07/14/2020,917
01/11/2021,5229
05/26/2021,1037
10/10/2021,3907
03/22/2020,116
06/13/2020,446
05/11/2020,574
06/19/2020,551
08/10/2020,646
04/21/2021,4459
09/02/2020,942
04/06/2021,5008
09/29/2020,1152
09/26/2021,4247
04/03/2021,5494
04/16/2021,5564
05/16/2020,1048
06/06/2021,354
08/17/2021,2544
07/18/2020,825
03/08/2021,1412
08/09/2021,1097
09/09/2021,4197
04/22/2020,1296
12/26/2020,7287
08/15/2020,853
11/19/2020,7040
10/18/2021,2902
11/20/2020,7062
02/14/2020,0
07/11/2020,815
08/20/2020,833
08/02/2020,655
02/22/2020,0
08/11/2021,1848
04/02/2021,4893
07/19/2020,744
10/27/2021,4178
06/30/2021,173
03/17/2020,29
07/01/2020,658
11/07/2020,3928
02/18/2021,3268
08/09/2020,802
05/24/2020,701
01/27/2020,0
12/13/2020,9779
09/05/2021,3176
03/15/2020,13
10/18/2020,1285
05/01/2020,1463
10/15/2021,5725
06/03/2020,538
05/25/2021,1155
08/11/2020,835
05/27/2021,937
07/10/2021,252
06/11/2020,538
05/05/2020,871
04/17/2020,1824
06/23/2021,224
05/31/2020,529
09/13/2020,671
09/03/2021,3438
07/26/2020,859
11/24/2020,6106
08/27/2020,649
03/21/2021,2366
12/17/2020,9709
10/06/2020,929
02/16/2021,2391
02/19/2020,0
02/04/2020,0
08/27/2021,3845
08/26/2021,3162
02/23/2021,2846
04/15/2021,4934
01/04/2021,3636
03/02/2020,0
06/26/2021,190
03/10/2021,2534
07/13/2020,412
06/22/2021,250
09/11/2021,5131
06/17/2021,305
09/28/2020,679
04/09/2021,5203
08/07/2020,799
09/04/2021,4783
05/12/2021,2059
02/13/2021,3850
10/13/2021,5012
12/31/2020,8374
11/13/2020,5942
01/07/2021,9407
01/08/2021,10535
09/21/2020,570
09/12/2020,968
03/23/2020,150
02/08/2021,2356
11/16/2020,4519
07/15/2020,1087
06/08/2021,582
10/11/2020,1175
07/06/2020,512
09/26/2020,941
11/17/2020,5608
08/24/2020,421
06/19/2021,225
07/16/2021,418
04/08/2021,4482
11/12/2020,5592
03/23/2021,3498
12/07/2020,7120
01/06/2021,9877
