date,new_cases
07/29/2021,694
03/21/2020,14
01/23/2020,0
07/09/2020,212
04/10/2020,34
01/25/2021,41
02/20/2021,228
05/05/2020,5
10/25/2020,321
06/17/2020,21
04/12/2020,12
06/10/2021,57
09/28/2021,231
02/05/2021,311
08/22/2020,281
06/26/2020,49
06/02/2021,80
09/09/2021,584
04/27/2021,811
08/23/2020,30
11/28/2020,461
12/18/2020,752
10/15/2020,557
03/31/2020,88
03/30/2020,12
03/20/2021,292
06/09/2021,65
01/30/2020,0
06/24/2020,44
07/20/2021,337
10/24/2020,609
06/07/2020,6
03/07/2021,65
04/17/2021,1085
07/01/2020,89
11/12/2020,782
05/21/2020,13
12/08/2020,1086
08/04/2020,414
02/11/2020,0
10/02/2020,342
08/16/2020,187
08/22/2021,487
09/03/2020,277
08/24/2021,1249
09/11/2021,488
12/07/2020,233
04/30/2020,19
08/23/2021,155
12/16/2020,886
03/08/2021,18
04/24/2020,17
02/11/2021,307
05/25/2021,157
04/14/2021,1230
03/24/2021,433
11/09/2020,176
07/23/2021,382
01/17/2021,298
07/14/2021,217
06/21/2021,9
06/22/2020,1
11/29/2020,426
01/10/2021,283
08/21/2020,320
07/07/2020,195
09/07/2020,34
03/22/2020,12
04/20/2021,1274
03/12/2021,222
04/24/2021,776
05/08/2020,16
05/29/2021,89
07/11/2020,324
11/25/2020,1241
02/07/2020,0
11/18/2020,1216
07/03/2020,119
10/07/2020,414
08/21/2021,1009
03/01/2020,0
07/17/2020,338
09/17/2020,695
01/26/2020,0
07/04/2020,144
02/15/2021,24
05/27/2021,108
11/22/2020,473
08/07/2021,968
01/04/2021,68
05/19/2020,8
02/08/2020,0
04/09/2021,1354
04/18/2020,21
09/09/2020,381
12/12/2020,922
05/28/2020,9
01/24/2020,0
07/27/2020,56
11/30/2020,118
08/31/2020,25
09/12/2020,556
12/30/2020,802
03/10/2021,200
08/06/2021,828
05/18/2020,2
09/06/2020,101
06/16/2020,17
04/19/2020,9
01/08/2021,820
09/03/2021,557
05/15/2021,197
09/22/2021,246
07/15/2020,368
07/03/2021,68
01/28/2020,0
03/04/2020,0
05/26/2020,5
07/02/2020,80
01/16/2021,649
07/23/2020,305
11/08/2020,431
02/18/2021,266
06/30/2020,85
03/11/2021,209
03/25/2021,389
02/18/2020,0
12/14/2020,196
05/30/2021,54
04/16/2020,32
05/17/2021,17
04/03/2020,52
11/02/2020,74
07/24/2021,444
05/02/2020,11
10/01/2020,320
09/16/2021,305
03/06/2021,195
03/29/2021,92
06/06/2020,10
08/27/2020,216
05/13/2020,14
04/17/2020,26
10/21/2020,545
09/27/2020,128
08/27/2021,838
12/06/2020,492
05/06/2020,23
01/18/2021,56
05/31/2021,9
04/25/2020,17
08/26/2021,891
06/11/2020,14
05/12/2021,254
09/07/2021,251
07/18/2021,114
05/15/2020,9
10/12/2021,112
02/09/2020,0
07/31/2020,90
10/31/2020,769
05/12/2020,15
12/23/2020,701
08/28/2021,786
08/15/2021,555
09/26/2020,310
03/13/2020,0
10/11/2021,16
01/01/2021,419
02/15/2020,0
08/17/2021,1307
06/03/2020,17
03/26/2020,43
04/14/2020,27
07/26/2020,73
01/12/2021,825
07/14/2020,454
05/23/2021,64
01/31/2021,162
03/23/2020,10
04/10/2021,1325
06/04/2021,74
04/06/2020,3
05/27/2020,5
02/16/2021,154
10/31/2021,54
05/06/2021,363
06/11/2021,49
12/22/2020,789
02/26/2020,0
12/31/2020,665
01/03/2021,194
01/23/2021,484
06/25/2021,50
01/11/2021,80
11/16/2020,180
04/22/2020,21
04/04/2020,50
08/01/2020,365
05/03/2020,6
06/23/2021,50
09/19/2021,134
02/19/2020,0
06/04/2020,9
02/21/2020,0
10/13/2021,150
02/16/2020,0
11/06/2020,1039
10/13/2020,293
06/13/2020,17
03/05/2021,165
10/18/2021,3
04/08/2021,1088
10/19/2021,127
06/01/2020,1
01/02/2021,47
05/09/2021,130
12/17/2020,812
02/24/2021,227
06/15/2020,7
06/14/2020,11
05/02/2021,218
06/06/2021,30
01/22/2020,0
10/26/2021,91
08/16/2021,120
12/19/2020,759
03/26/2021,337
04/11/2020,3
05/05/2021,380
07/07/2021,138
02/10/2020,0
10/12/2020,27
08/30/2021,122
07/20/2020,64
02/25/2021,202
11/05/2020,969
10/08/2021,174
07/12/2020,131
09/11/2020,618
03/01/2021,24
04/12/2021,191
07/02/2021,80
07/28/2021,603
03/17/2021,311
09/08/2021,778
07/16/2021,231
08/01/2021,353
02/19/2021,179
09/13/2021,53
08/26/2020,288
09/18/2021,301
10/30/2021,90
01/20/2021,617
03/03/2020,0
03/02/2020,0
10/28/2021,158
02/09/2021,336
01/29/2020,0
08/02/2020,121
08/09/2021,189
11/21/2020,1074
07/21/2021,373
10/10/2021,57
07/24/2020,304
03/12/2020,0
02/03/2020,0
03/22/2021,41
07/16/2020,422
03/06/2020,0
03/02/2021,250
06/28/2021,10
06/21/2020,4
01/29/2021,352
08/30/2020,89
11/27/2020,94
03/24/2020,34
08/03/2021,981
12/03/2020,1220
03/28/2020,50
12/27/2020,196
05/22/2020,6
04/29/2020,17
12/21/2020,104
09/19/2020,434
10/03/2020,341
12/04/2020,1142
09/23/2020,369
01/06/2021,666
10/25/2021,19
03/11/2020,0
10/17/2021,33
11/03/2020,798
02/14/2020,0
10/08/2020,453
02/23/2020,0
10/14/2021,104
09/25/2021,242
05/03/2021,49
08/11/2021,1030
02/24/2020,0
02/13/2021,239
08/08/2021,521
09/25/2020,341
08/29/2020,204
02/28/2021,76
04/15/2021,1228
10/30/2020,671
04/09/2020,27
10/20/2020,541
09/05/2020,263
02/29/2020,0
02/27/2020,0
08/04/2021,859
10/28/2020,661
