date,new_cases
03/26/2021,489
05/24/2021,39
09/18/2020,146
01/15/2021,1013
08/01/2021,159
08/08/2021,196
05/11/2020,189
06/20/2021,22
01/07/2021,1218
01/31/2020,0
06/20/2020,58
01/06/2021,1575
05/08/2020,269
03/17/2021,439
05/24/2020,106
07/20/2021,77
06/08/2021,22
06/29/2020,16
05/16/2021,102
03/04/2021,418
02/13/2020,0
02/24/2021,446
10/07/2021,316
03/09/2020,1
10/28/2021,264
04/24/2021,300
03/16/2020,1
07/19/2021,27
03/25/2020,19
08/11/2020,112
03/11/2020,2
03/24/2021,454
04/07/2020,215
10/13/2020,171
10/05/2021,258
07/07/2020,48
05/06/2020,302
10/27/2021,261
05/25/2020,84
02/02/2020,0
09/03/2021,360
01/18/2021,507
04/10/2021,536
09/21/2020,43
03/15/2021,148
07/15/2021,50
07/21/2020,64
09/28/2021,316
09/11/2021,375
03/21/2020,14
03/01/2021,166
07/09/2021,29
08/20/2020,87
08/07/2020,112
10/30/2021,0
09/15/2021,349
02/18/2021,383
02/18/2020,0
09/18/2021,354
01/22/2020,0
12/24/2020,946
08/10/2020,34
11/04/2020,555
04/30/2020,356
07/30/2020,152
09/13/2020,98
01/04/2021,644
01/11/2021,654
09/04/2020,83
08/29/2020,68
09/01/2021,348
12/03/2020,1467
08/26/2020,91
10/26/2021,185
01/21/2021,898
02/21/2021,276
11/15/2020,765
05/11/2021,150
02/01/2021,311
04/08/2020,259
08/21/2020,157
04/10/2020,286
06/25/2021,18
04/21/2020,378
02/20/2021,353
10/02/2021,275
01/10/2021,1091
10/14/2020,223
03/05/2021,377
03/07/2021,224
08/30/2020,59
07/07/2021,34
05/07/2020,323
03/23/2021,403
07/14/2021,46
11/16/2020,507
12/28/2020,706
07/05/2021,5
10/10/2020,198
04/03/2020,65
03/20/2021,401
10/25/2021,463
12/20/2020,1077
04/16/2021,464
10/13/2021,296
05/21/2020,181
12/13/2020,943
03/06/2020,0
09/29/2021,289
04/28/2021,339
01/26/2021,678
05/29/2021,46
03/17/2020,3
05/29/2020,126
04/17/2021,376
04/06/2021,423
09/12/2020,103
08/31/2021,346
05/30/2021,31
10/15/2020,296
09/30/2020,184
08/28/2021,375
09/25/2020,125
05/12/2020,174
07/15/2020,50
07/12/2020,34
06/21/2020,35
05/07/2021,205
09/17/2020,120
11/22/2020,740
02/04/2020,0
05/30/2020,173
12/25/2020,888
09/08/2021,432
03/27/2021,502
08/23/2020,95
07/01/2020,38
04/23/2020,389
09/16/2020,124
05/04/2021,190
12/30/2020,1211
03/08/2021,193
02/25/2020,0
09/26/2021,230
10/18/2020,298
07/05/2020,32
08/19/2020,85
07/28/2021,183
07/01/2021,14
09/09/2020,72
09/30/2021,372
06/27/2021,18
06/09/2020,45
08/04/2020,141
02/13/2021,383
11/08/2020,584
10/11/2021,261
05/16/2020,232
08/25/2021,363
07/31/2021,200
04/13/2021,493
02/14/2020,0
02/04/2021,665
04/13/2020,289
04/27/2021,232
03/19/2021,394
09/21/2021,363
12/11/2020,1194
07/13/2020,40
09/19/2021,297
08/09/2021,136
06/30/2021,21
06/05/2020,106
04/09/2020,274
07/03/2020,60
06/11/2021,20
01/24/2020,0
02/24/2020,0
02/07/2021,348
08/14/2021,318
08/10/2021,213
04/12/2021,250
06/02/2021,42
08/11/2021,314
10/01/2020,186
09/11/2020,111
02/05/2021,603
08/23/2021,133
02/21/2020,0
02/08/2020,0
02/16/2020,0
11/18/2020,1401
09/06/2020,37
07/13/2021,41
09/14/2021,465
04/19/2021,203
02/14/2021,320
05/31/2021,18
03/04/2020,0
04/02/2021,441
04/05/2020,135
02/01/2020,0
10/23/2020,522
01/02/2021,775
09/24/2020,119
09/12/2021,322
09/27/2021,208
06/28/2021,8
01/30/2020,0
08/17/2021,372
01/23/2020,0
08/13/2021,367
06/16/2020,75
02/28/2021,342
06/17/2021,24
09/05/2020,80
02/16/2021,309
06/01/2020,75
08/27/2020,124
08/24/2021,250
04/12/2020,280
08/26/2021,395
08/13/2020,101
11/07/2020,703
01/09/2021,1188
02/06/2021,503
08/05/2021,236
05/02/2020,295
12/14/2020,528
05/27/2020,153
01/25/2020,0
05/13/2021,158
06/22/2021,17
09/02/2020,69
04/24/2020,423
01/27/2020,0
04/20/2021,327
07/18/2020,98
12/07/2020,963
07/27/2020,54
07/22/2020,91
07/06/2021,12
05/31/2020,109
10/01/2021,321
04/11/2020,392
11/13/2020,792
03/30/2021,408
10/06/2020,169
02/23/2020,0
04/28/2020,203
11/30/2020,756
05/20/2021,86
12/29/2020,1290
06/15/2021,24
06/01/2021,8
05/06/2021,207
04/11/2021,325
08/08/2020,92
06/07/2020,66
03/14/2020,0
07/23/2020,86
04/29/2021,293
10/28/2020,474
10/19/2021,216
09/13/2021,237
01/27/2021,656
11/12/2020,1034
10/16/2020,244
08/03/2021,208
07/17/2021,56
02/25/2021,410
10/23/2021,0
01/05/2021,1157
02/19/2020,0
12/26/2020,250
06/11/2020,100
05/02/2021,175
08/09/2020,89
07/12/2021,22
04/26/2021,120
11/20/2020,1035
07/19/2020,75
10/05/2020,78
08/14/2020,88
08/02/2021,91
12/31/2020,1379
04/01/2021,492
08/05/2020,101
10/10/2021,288
09/06/2021,213
12/23/2020,919
07/02/2020,71
04/30/2021,274
07/24/2020,108
12/22/2020,936
02/10/2020,0
01/17/2021,747
03/09/2021,318
03/30/2020,104
01/29/2021,626
06/15/2020,32
05/28/2020,129
12/15/2020,1132
07/25/2020,119
05/03/2020,191
06/17/2020,52
02/20/2020,0
03/12/2021,352
02/12/2020,0
10/25/2020,334
06/14/2021,6
04/29/2020,348
02/02/2021,195
03/31/2020,81
07/08/2020,50
10/24/2020,455
02/17/2020,0
01/30/2021,591
10/31/2020,481
02/11/2020,0
03/23/2020,26
01/28/2020,0
09/10/2021,418
11/01/2020,479
04/22/2021,322
03/14/2021,294
03/18/2021,406
06/03/2021,31
08/15/2020,91
09/19/2020,138
06/25/2020,46
03/10/2021,405
01/01/2021,887
12/05/2020,1496
05/01/2020,345
10/27/2020,382
11/27/2020,415
07/22/2021,93
09/27/2020,129
02/07/2020,0
04/15/2020,268
05/23/2020,201
02/03/2020,0
04/15/2021,428
02/12/2021,398
02/09/2020,0
04/18/2020,284
07/14/2020,67
03/22/2021,209
03/22/2020,13
06/22/2020,30
02/10/2021,495
07/10/2021,20
01/12/2021,931
07/28/2020,133
04/09/2021,493
04/27/2020,285
08/12/2020,93
06/16/2021,26
10/21/2020,378
06/14/2020,48
09/01/2020,86
01/22/2021,1000
03/07/2020,0
05/28/2021,39
09/17/2021,359
12/27/2020,795
07/04/2021,17
01/31/2021,574
02/27/2021,377
06/12/2020,87
06/02/2020,94
06/24/2020,78
02/17/2021,394
04/18/2021,231
10/22/2020,474
05/18/2020,122
04/03/2021,425
05/22/2020,164
04/25/2021,207
01/26/2020,0
03/16/2021,278
05/10/2021,67
02/11/2021,451
08/28/2020,75
11/29/2020,1081
08/27/2021,387
01/24/2021,711
10/29/2021,234
10/02/2020,165
03/18/2020,14
01/28/2021,724
02/09/2021,363
06/08/2020,48
06/07/2021,9
08/17/2020,67
08/31/2020,44
08/16/2021,164
06/18/2020,51
03/31/2021,615
11/26/2020,1207
12/21/2020,438
07/02/2021,24
10/31/2021,0
12/06/2020,1096
12/18/2020,394
04/07/2021,594
02/03/2021,528
03/24/2020,16
05/23/2021,43
10/03/2020,184
12/08/2020,1267
11/19/2020,1011
06/21/2021,12
07/11/2020,65
12/12/2020,1257
04/06/2020,185
05/09/2021,113
03/19/2020,10
05/12/2021,166
02/15/2020,0
11/03/2020,430
06/29/2021,11
03/03/2021,442
12/19/2020,924
09/07/2021,142
07/24/2021,106
11/01/2021,558
10/17/2020,291
04/04/2020,98
01/14/2021,853
03/12/2020,8
08/21/2021,309
09/10/2020,105
03/13/2020,6
10/24/2021,0
07/18/2021,48
09/22/2020,98
06/24/2021,15
10/06/2021,330
05/18/2021,98
06/23/2020,59
10/04/2021,160
07/08/2021,28
10/20/2020,312
07/26/2020,105
11/21/2020,1282
08/25/2020,82
03/21/2021,301
11/02/2020,280
09/14/2020,56
09/20/2021,249
07/31/2020,94
05/01/2021,226
08/30/2021,185
07/25/2021,90
10/18/2021,52
07/03/2021,31
05/14/2020,197
03/29/2021,227
11/25/2020,948
04/23/2021,298
08/29/2021,236
01/19/2021,491
05/15/2021,105
05/22/2021,87
05/14/2021,143
05/08/2021,166
03/28/2020,36
02/26/2020,0
09/04/2021,359
01/23/2021,741
04/21/2021,374
09/02/2021,371
06/09/2021,37
11/06/2020,680
09/23/2021,351
05/27/2021,82
06/10/2021,40
07/30/2021,210
10/09/2021,390
02/22/2020,0
03/26/2020,32
10/15/2021,306
08/06/2020,116
08/22/2020,143
11/09/2020,294
02/15/2021,211
01/13/2021,978
09/05/2021,217
03/06/2021,368
12/04/2020,1608
03/28/2021,330
06/04/2021,54
03/08/2020,0
10/17/2021,242
10/14/2021,310
08/01/2020,86
08/15/2021,233
06/23/2021,30
07/04/2020,27
04/22/2020,381
06/12/2021,24
06/27/2020,61
07/10/2020,48
06/13/2020,78
07/16/2020,95
09/20/2020,113
02/22/2021,198
01/25/2021,330
08/02/2020,83
01/08/2021,1180
04/08/2021,500
06/10/2020,65
10/26/2020,191
02/26/2021,459
07/29/2021,196
03/02/2021,328
09/24/2021,361
10/16/2021,360
04/01/2020,69
06/30/2020,42
10/09/2020,269
11/10/2020,765
02/19/2021,335
05/21/2021,103
08/04/2021,299
05/13/2020,221
03/27/2020,39
08/18/2020,83
10/07/2020,180
11/24/2020,904
06/06/2020,98
04/14/2020,184
11/23/2020,456
04/02/2020,102
09/26/2020,142
08/06/2021,289
07/06/2020,25
11/11/2020,994
09/15/2020,92
04/19/2020,285
08/20/2021,335
07/16/2021,51
10/12/2020,91
11/05/2020,634
07/17/2020,85
07/26/2021,64
05/19/2021,127
05/05/2021,241
06/05/2021,34
06/28/2020,37
03/03/2020,0
01/29/2020,0
01/16/2021,911
10/03/2021,224
05/26/2020,74
06/26/2020,48
05/20/2020,210
12/02/2020,1447
09/07/2020,61
06/04/2020,99
04/04/2021,291
05/25/2021,69
03/29/2020,66
09/28/2020,36
05/19/2020,137
11/14/2020,1081
09/09/2021,373
08/16/2020,98
01/03/2021,878
07/23/2021,90
06/18/2021,27
10/20/2021,257
05/26/2021,73
04/05/2021,89
09/08/2020,27
06/06/2021,23
03/11/2021,438
06/03/2020,97
03/25/2021,491
01/20/2021,862
03/15/2020,0
07/21/2021,104
08/03/2020,53
07/20/2020,61
10/12/2021,63
08/18/2021,342
05/17/2021,62
02/06/2020,0
10/08/2020,247
03/01/2020,0
05/17/2020,243
08/07/2021,234
04/25/2020,408
06/26/2021,20
12/17/2020,1136
03/10/2020,1
09/29/2020,141
10/11/2020,183
04/26/2020,297
04/16/2020,317
10/21/2021,232
02/23/2021,346
05/05/2020,276
05/04/2020,177
11/17/2020,664
11/28/2020,981
03/05/2020,1
07/11/2021,31
10/22/2021,194
08/22/2021,215
10/04/2020,140
12/10/2020,1396
08/12/2021,309
04/14/2021,473
12/16/2020,1041
07/29/2020,94
06/13/2021,29
09/16/2021,361
03/02/2020,1
09/23/2020,126
03/13/2021,365
06/19/2020,69
12/09/2020,1354
02/28/2020,0
12/01/2020,1177
02/27/2020,0
05/10/2020,285
02/08/2021,178
06/19/2021,14
08/24/2020,54
02/29/2020,0
02/05/2020,0
09/22/2021,324
09/03/2020,96
09/25/2021,324
05/03/2021,116
07/09/2020,65
05/15/2020,228
07/27/2021,116
10/30/2020,510
03/20/2020,17
08/19/2021,355
05/09/2020,229
04/20/2020,340
10/08/2021,250
10/19/2020,126
04/17/2020,384
10/29/2020,422
