date,new_cases
05/01/2021,28
02/09/2020,0
01/05/2021,433
05/14/2020,60
06/27/2021,6
08/13/2021,139
10/21/2021,417
10/31/2020,1433
06/03/2020,95
03/01/2021,43
01/12/2021,244
02/14/2020,0
08/21/2021,110
04/22/2021,134
05/25/2020,23
09/18/2021,148
08/05/2020,89
07/27/2021,38
05/04/2021,229
09/25/2020,457
07/22/2020,58
05/09/2021,25
07/25/2020,105
10/04/2020,432
10/20/2020,621
11/12/2020,2020
07/29/2020,149
04/14/2021,225
07/04/2020,50
09/25/2021,127
04/28/2021,170
08/25/2020,80
02/14/2021,110
03/13/2021,146
04/02/2020,36
08/22/2021,110
07/23/2021,38
09/18/2020,389
08/27/2020,623
01/06/2021,608
08/03/2020,65
05/07/2021,76
11/14/2020,1855
07/21/2020,76
06/21/2021,6
04/24/2020,84
10/14/2020,876
01/13/2021,452
10/13/2021,1088
07/23/2020,66
02/24/2021,262
12/12/2020,735
12/17/2020,594
11/23/2020,783
02/01/2021,65
03/26/2020,5
03/12/2020,0
02/27/2020,0
05/28/2021,57
06/08/2021,29
03/13/2020,1
02/06/2020,0
01/14/2021,317
03/01/2020,0
02/25/2021,156
07/03/2021,11
09/28/2020,197
09/14/2020,163
03/06/2020,0
06/14/2020,65
02/13/2021,137
02/29/2020,0
08/03/2021,53
07/18/2021,24
07/26/2020,90
03/03/2020,0
05/27/2020,57
01/23/2021,247
02/03/2021,208
09/14/2021,992
07/16/2021,24
06/17/2020,84
06/13/2021,13
08/10/2021,123
04/02/2021,197
06/08/2020,33
06/24/2021,10
04/07/2020,32
09/30/2021,472
07/02/2020,67
05/24/2020,95
10/27/2021,453
04/20/2020,50
03/17/2021,175
02/03/2020,0
08/18/2021,376
02/07/2021,97
12/08/2020,538
10/11/2020,617
02/19/2021,147
09/17/2021,544
10/26/2020,538
01/17/2021,266
09/15/2020,193
06/28/2020,55
11/07/2020,1337
10/25/2021,295
03/14/2021,130
03/20/2020,0
05/26/2020,67
09/05/2020,293
10/24/2020,939
05/23/2020,112
10/06/2021,401
04/23/2021,199
09/24/2021,470
01/21/2021,337
05/17/2020,28
02/21/2020,0
08/19/2020,123
04/07/2021,295
03/12/2021,184
01/30/2021,115
05/29/2021,9
04/08/2021,222
08/06/2020,105
11/27/2020,2138
12/01/2020,448
07/18/2020,73
08/09/2020,128
04/09/2020,54
06/02/2020,33
10/17/2021,117
03/09/2021,157
04/23/2020,98
08/21/2020,193
08/27/2021,439
09/06/2020,220
08/08/2020,106
06/25/2021,14
07/07/2020,58
11/03/2020,1004
04/29/2020,60
05/02/2021,28
01/01/2021,0
03/31/2021,264
03/21/2021,144
05/08/2021,25
10/31/2021,0
06/10/2021,21
04/12/2020,104
03/23/2020,7
08/01/2021,53
02/20/2021,147
09/03/2020,334
07/05/2021,11
11/01/2021,403
07/13/2021,15
05/22/2020,106
08/20/2021,304
12/22/2020,435
02/18/2020,0
02/24/2020,0
06/30/2021,15
05/29/2020,73
09/02/2020,254
04/13/2021,262
12/06/2020,687
04/11/2021,0
12/31/2020,444
09/11/2021,175
07/04/2021,11
12/03/2020,1145
10/07/2021,474
02/08/2021,54
11/18/2020,1387
02/23/2021,212
06/16/2021,5
08/12/2021,153
03/03/2021,181
07/20/2020,37
08/04/2020,59
06/26/2021,6
07/05/2020,35
05/26/2021,48
04/03/2021,175
06/23/2021,22
10/19/2021,738
06/24/2020,66
11/16/2020,897
04/04/2020,25
10/02/2020,386
09/24/2020,463
09/30/2020,392
05/14/2021,45
07/14/2021,43
08/28/2020,323
07/28/2020,48
05/01/2020,76
08/22/2020,251
08/02/2021,53
12/20/2020,391
01/04/2021,111
01/28/2020,0
10/28/2020,1270
10/03/2020,464
08/19/2021,295
11/26/2020,0
07/11/2021,15
01/03/2021,703
01/22/2021,316
08/29/2021,153
09/22/2021,604
08/10/2020,58
07/20/2021,24
11/20/2020,1328
02/26/2021,143
10/18/2020,658
05/06/2021,84
03/28/2020,10
06/19/2021,4
05/25/2021,81
07/08/2021,15
03/04/2020,0
04/27/2021,148
09/12/2021,175
04/17/2020,100
02/28/2020,0
03/22/2021,105
06/29/2021,9
10/14/2021,341
03/20/2021,205
04/05/2020,28
12/13/2020,631
10/11/2021,107
09/27/2021,129
02/27/2021,186
07/26/2021,38
09/16/2021,552
07/14/2020,48
03/31/2020,7
08/28/2021,153
10/06/2020,278
06/04/2021,19
09/08/2020,103
05/13/2020,69
02/16/2021,217
05/28/2020,83
09/01/2020,240
03/26/2021,209
09/26/2021,127
04/14/2020,300
01/27/2021,228
01/08/2021,448
08/24/2021,785
06/30/2020,48
04/30/2020,76
06/27/2020,91
05/24/2021,11
12/14/2020,316
01/24/2021,185
03/08/2021,7
04/06/2021,163
01/26/2021,200
06/03/2021,15
12/24/2020,506
08/30/2020,380
03/07/2021,211
11/13/2020,1611
11/05/2020,1360
07/06/2020,42
06/05/2020,30
09/01/2021,578
08/17/2020,86
02/28/2021,134
11/21/2020,1144
02/02/2020,0
12/26/2020,417
03/21/2020,0
06/02/2021,18
12/28/2020,267
04/20/2021,171
01/16/2021,341
10/18/2021,120
09/19/2021,148
02/04/2021,174
07/17/2020,95
07/31/2020,79
05/30/2020,94
09/08/2021,309
02/15/2021,61
12/04/2020,1050
01/26/2020,0
09/19/2020,369
02/15/2020,0
05/12/2021,83
06/15/2021,11
06/06/2021,3
07/13/2020,25
10/24/2021,0
05/30/2021,9
06/05/2021,3
06/29/2020,35
07/21/2021,30
06/13/2020,91
03/24/2020,2
01/27/2020,0
03/19/2020,3
10/28/2021,312
04/08/2020,73
06/07/2020,71
08/09/2021,123
09/05/2021,307
06/18/2021,4
06/11/2020,61
01/23/2020,0
09/09/2021,619
08/26/2020,66
07/16/2020,42
08/06/2021,123
04/29/2021,134
10/23/2020,1185
05/05/2021,99
02/06/2021,188
03/19/2021,315
03/14/2020,0
07/02/2021,21
05/18/2020,40
03/27/2021,248
10/29/2020,1000
04/12/2021,187
09/12/2020,320
12/19/2020,564
07/01/2021,25
04/25/2020,107
10/15/2021,318
05/03/2021,29
10/02/2021,121
10/17/2020,806
03/30/2020,11
04/13/2020,138
10/16/2020,793
09/04/2021,453
05/10/2021,27
08/23/2020,141
02/21/2021,139
11/30/2020,564
06/26/2020,56
07/11/2020,53
02/09/2021,122
04/24/2021,136
01/07/2021,448
10/22/2021,337
06/14/2021,10
06/25/2020,60
05/15/2021,13
11/29/2020,801
06/04/2020,85
11/04/2020,937
11/28/2020,819
08/15/2020,94
03/30/2021,159
04/25/2021,47
07/17/2021,24
10/15/2020,797
06/15/2020,30
06/23/2020,27
08/23/2021,111
04/27/2020,33
08/16/2021,61
12/10/2020,704
07/24/2021,38
09/10/2020,263
06/12/2020,77
05/21/2021,34
04/26/2020,65
04/21/2020,69
02/10/2020,0
09/04/2020,259
12/15/2020,345
04/10/2021,238
09/16/2020,297
03/05/2021,164
10/13/2020,414
08/30/2021,157
10/16/2021,117
06/09/2021,12
07/29/2021,53
05/16/2020,72
05/16/2021,13
08/15/2021,59
10/01/2020,747
01/10/2021,417
09/02/2021,535
07/31/2021,53
02/25/2020,0
04/10/2020,89
08/01/2020,103
01/15/2021,425
09/20/2020,252
06/07/2021,6
06/11/2021,4
03/10/2020,5
04/21/2021,157
10/23/2021,0
04/05/2021,156
05/11/2020,97
11/06/2020,1488
07/19/2021,24
10/26/2021,718
09/17/2020,395
03/29/2021,92
