date,new_cases
10/29/2021,1153
10/28/2021,1595
10/27/2021,1260
10/26/2021,960
10/25/2021,2739
10/24/2021,0
10/23/2021,0
10/22/2021,1682
10/21/2021,1587
10/20/2021,1926
10/19/2021,1111
10/18/2021,540
10/17/2021,139
10/16/2021,809
10/15/2021,1525
10/14/2021,1634
10/13/2021,1886
10/12/2021,2397
10/11/2021,971
10/10/2021,1135
10/9/2021,1998
10/8/2021,2255
10/7/2021,2302
10/6/2021,2887
10/5/2021,3500
10/4/2021,1311
10/3/2021,1418
10/2/2021,2619
10/1/2021,2992
9/30/2021,3239
9/29/2021,3467
9/28/2021,4330
9/27/2021,1785
9/26/2021,1746
9/25/2021,2913
9/24/2021,3806
9/23/2021,3952
9/22/2021,4663
9/21/2021,6055
9/20/2021,1303
9/19/2021,2290
9/18/2021,4259
9/17/2021,5175
9/16/2021,5215
9/15/2021,6276
9/14/2021,8005
9/13/2021,2733
9/12/2021,3548
9/11/2021,6457
9/10/2021,7549
9/9/2021,8269
9/8/2021,10731
9/7/2021,3982
9/6/2021,3700
9/5/2021,4057
9/4/2021,7319
9/3/2021,8569
9/2/2021,9014
9/1/2021,10023
8/31/2021,11818
8/30/2021,3804
8/29/2021,4318
8/28/2021,8711
8/27/2021,9940
8/26/2021,9744
8/25/2021,11149
8/24/2021,11086
8/23/2021,3669
8/22/2021,4128
8/21/2021,7579
8/20/2021,8233
8/19/2021,7202
8/18/2021,8487
8/17/2021,8282
8/16/2021,2940
8/15/2021,3161
8/14/2021,5017
8/13/2021,5727
8/12/2021,5054
8/11/2021,5658
8/10/2021,5646
8/9/2021,2539
8/8/2021,2409
8/7/2021,3742
8/6/2021,4128
8/5/2021,3701
8/4/2021,4017
8/3/2021,3926
8/2/2021,1926
8/1/2021,1858
7/31/2021,2653
7/30/2021,2831
7/29/2021,2634
7/28/2021,2587
7/27/2021,2674
7/26/2021,1220
7/25/2021,1203
7/24/2021,1572
7/23/2021,1672
7/22/2021,1555
7/21/2021,1365
7/20/2021,1503
7/19/2021,587
7/18/2021,562
7/17/2021,803
7/16/2021,803
7/15/2021,784
7/14/2021,760
7/13/2021,772
7/12/2021,347
7/11/2021,368
7/10/2021,502
7/9/2021,536
7/8/2021,516
7/7/2021,510
7/6/2021,375
7/5/2021,139
7/4/2021,246
7/3/2021,257
7/2/2021,346
7/1/2021,253
6/30/2021,269
6/29/2021,263
6/28/2021,133
6/27/2021,104
6/26/2021,184
6/25/2021,193
6/24/2021,181
6/23/2021,205
6/22/2021,213
6/21/2021,89
6/20/2021,112
6/19/2021,158
6/18/2021,144
6/17/2021,182
6/16/2021,173
6/15/2021,205
6/14/2021,86
6/13/2021,113
6/12/2021,167
6/11/2021,207
6/10/2021,207
6/9/2021,179
6/8/2021,291
6/7/2021,109
6/6/2021,157
6/5/2021,229
6/4/2021,279
6/3/2021,261
6/2/2021,376
6/1/2021,152
5/31/2021,172
5/30/2021,161
5/29/2021,256
5/28/2021,352
5/27/2021,303
5/26/2021,434
5/25/2021,539
5/24/2021,199
5/23/2021,270
5/22/2021,407
5/21/2021,542
5/20/2021,524
5/19/2021,586
5/18/2021,665
5/17/2021,329
5/16/2021,351
5/15/2021,566
5/14/2021,701
5/13/2021,679
5/12/2021,711
5/11/2021,842
5/10/2021,375
5/9/2021,411
5/8/2021,703
5/7/2021,868
5/6/2021,902
5/5/2021,937
5/4/2021,1142
5/3/2021,503
5/2/2021,467
5/1/2021,802
4/30/2021,986
4/29/2021,998
4/28/2021,1185
4/27/2021,1279
4/26/2021,553
4/25/2021,522
4/24/2021,916
4/23/2021,1153
4/22/2021,1041
4/21/2021,1333
4/20/2021,1410
4/19/2021,680
4/18/2021,626
4/17/2021,1049
4/16/2021,1245
4/15/2021,1370
4/14/2021,1396
4/13/2021,1604
4/12/2021,703
4/11/2021,790
4/10/2021,1169
4/9/2021,1377
4/8/2021,1258
4/7/2021,1502
4/6/2021,1607
4/5/2021,442
4/4/2021,711
4/3/2021,922
4/2/2021,1284
4/1/2021,1132
3/31/2021,1365
3/30/2021,1569
3/29/2021,720
3/28/2021,604
3/27/2021,1122
3/26/2021,1288
3/25/2021,1312
3/24/2021,1455
3/23/2021,1642
3/22/2021,717
3/21/2021,722
3/20/2021,1162
3/19/2021,1516
3/18/2021,1208
3/17/2021,1477
