date,new_cases
06/28/2021,254
08/07/2021,672
04/12/2021,185
10/08/2021,1637
05/09/2021,232
12/19/2020,2408
05/15/2021,320
12/22/2020,2302
03/22/2020,44
07/11/2020,642
05/01/2020,75
11/21/2020,3395
04/02/2021,422
03/24/2021,562
07/01/2020,640
04/26/2020,266
09/12/2020,692
04/19/2020,205
08/04/2021,1050
01/11/2021,1484
12/10/2020,3401
02/01/2020,0
04/27/2021,327
06/01/2021,112
07/25/2021,567
03/06/2020,0
04/04/2020,182
05/17/2020,139
06/09/2021,360
05/31/2021,143
07/13/2020,545
08/03/2021,728
04/25/2021,281
06/07/2020,178
09/17/2021,1749
10/24/2021,0
07/29/2020,605
09/14/2021,1274
02/13/2021,943
07/02/2020,535
03/25/2021,527
02/15/2021,462
06/03/2021,343
06/24/2021,462
06/06/2021,223
09/28/2021,1130
04/04/2021,344
01/22/2021,2649
06/17/2021,369
09/20/2020,817
08/08/2021,672
02/28/2020,0
08/26/2021,1491
02/22/2020,0
09/16/2020,764
05/21/2021,300
10/21/2020,1363
05/11/2021,224
02/03/2021,1591
08/06/2020,510
10/04/2021,1100
02/09/2021,918
05/24/2020,169
06/08/2020,312
08/23/2020,312
09/06/2020,341
03/27/2021,460
02/05/2021,1216
09/23/2020,1453
06/15/2020,357
05/02/2020,153
08/01/2021,748
01/12/2021,2146
07/26/2020,438
10/06/2021,1975
04/16/2021,463
06/06/2020,687
11/04/2020,2110
05/19/2021,430
10/01/2020,1008
09/02/2021,1687
08/10/2021,634
04/15/2020,184
09/30/2020,906
01/23/2021,1771
09/30/2021,1704
05/23/2021,231
03/01/2020,0
05/03/2021,228
07/20/2021,559
02/02/2021,1201
01/29/2020,0
07/22/2020,606
01/09/2021,2613
01/10/2021,2276
05/31/2020,256
08/17/2020,239
04/06/2020,111
09/12/2021,1404
07/20/2020,402
04/13/2021,358
07/03/2020,650
01/28/2020,0
07/08/2021,668
03/19/2021,447
02/11/2020,0
11/01/2021,3179
11/19/2020,3968
04/08/2021,483
06/30/2021,574
07/19/2021,518
05/10/2020,83
12/24/2020,2892
09/15/2020,722
06/15/2021,237
10/25/2020,1765
11/20/2020,4588
05/30/2020,259
01/05/2021,3318
06/18/2020,660
03/17/2020,0
12/16/2020,2928
02/06/2021,1211
12/29/2020,2736
11/30/2020,1897
08/14/2021,807
10/24/2020,1608
05/01/2021,410
10/26/2020,1201
03/08/2020,1
09/24/2020,622
05/26/2021,268
08/05/2020,552
05/29/2021,192
01/31/2020,0
08/19/2021,1280
12/20/2020,1994
08/05/2021,1096
05/25/2020,84
02/23/2020,0
03/21/2021,375
06/29/2020,813
10/11/2021,1091
08/20/2020,501
08/03/2020,394
11/26/2020,3829
10/31/2020,1724
12/02/2020,4004
03/13/2020,2
02/01/2021,584
08/20/2021,1116
03/23/2021,383
10/27/2020,1145
02/22/2021,338
04/20/2020,108
10/01/2021,1715
01/08/2021,3793
12/21/2020,1819
10/20/2021,1410
09/15/2021,1885
04/17/2021,413
09/11/2021,1404
08/21/2020,327
10/19/2021,1343
03/26/2021,453
01/16/2021,2150
06/10/2021,313
08/18/2021,1488
05/20/2020,213
09/19/2020,1071
07/16/2021,669
05/06/2020,65
03/13/2021,491
10/02/2020,1107
05/09/2020,193
09/02/2020,453
09/28/2020,827
04/10/2020,41
03/08/2021,259
10/02/2021,1100
08/29/2021,1109
03/11/2021,646
08/25/2020,460
12/17/2020,3203
10/22/2020,1543
10/30/2020,2292
05/06/2021,395
01/03/2021,1819
10/05/2020,1105
07/25/2020,383
10/29/2020,1837
11/23/2020,2244
03/03/2021,729
05/07/2021,386
05/28/2021,272
06/07/2021,174
04/09/2020,145
06/04/2020,278
07/12/2020,572
09/19/2021,1131
10/07/2021,1805
04/06/2021,300
04/28/2021,518
06/26/2020,665
03/30/2021,371
11/11/2020,2335
10/23/2021,0
09/25/2021,1058
12/31/2020,4672
09/10/2020,501
11/05/2020,2807
02/23/2021,716
05/30/2021,176
03/07/2020,0
10/23/2020,1960
08/26/2020,357
07/30/2020,316
10/10/2021,1091
06/25/2021,309
02/25/2021,832
09/21/2021,1326
10/13/2021,1845
08/12/2021,1243
05/02/2021,279
11/15/2020,2667
05/26/2020,74
06/14/2021,169
01/13/2021,5188
03/18/2020,11
03/31/2020,128
11/06/2020,2987
09/11/2020,609
10/21/2021,2340
01/19/2021,1302
06/21/2020,425
02/06/2020,0
11/02/2020,1196
12/11/2020,2183
06/27/2021,282
03/16/2020,8
11/12/2020,3919
04/08/2020,112
07/24/2021,567
03/26/2020,56
09/01/2020,358
09/08/2020,275
04/29/2021,463
08/22/2021,906
06/05/2021,306
07/28/2021,843
06/02/2021,200
09/04/2021,1164
11/25/2020,1781
04/16/2020,123
08/31/2020,284
05/16/2020,154
07/16/2020,923
07/26/2021,568
03/18/2021,560
04/24/2021,472
05/18/2021,257
01/14/2021,2742
03/19/2020,28
05/27/2021,309
07/09/2021,655
02/04/2021,1273
10/31/2021,0
11/22/2020,3197
10/18/2021,1012
07/27/2020,413
12/08/2020,2333
01/30/2021,1468
10/06/2020,716
03/22/2021,159
09/06/2021,1164
07/07/2021,394
07/05/2020,498
03/05/2020,0
04/12/2020,132
07/02/2021,431
02/14/2021,710
09/23/2021,1598
06/03/2020,384
02/26/2021,651
08/08/2020,23
08/18/2020,298
10/09/2021,1091
10/11/2020,1200
10/13/2020,987
08/06/2021,894
