date,new_cases
04/12/2020,670
09/21/2020,872
09/06/2021,2392
11/09/2020,1435
06/20/2020,551
04/30/2021,963
03/28/2020,135
03/13/2021,1173
04/13/2020,424
03/28/2021,1143
04/27/2021,1120
02/05/2021,4710
06/26/2020,677
06/27/2020,489
06/14/2020,380
04/12/2021,2048
06/17/2020,463
12/09/2020,3914
03/17/2021,2082
10/12/2021,2360
04/08/2021,1542
08/02/2020,1324
06/24/2020,432
04/18/2021,978
06/17/2021,113
07/18/2021,416
04/25/2020,0
09/24/2020,941
09/08/2021,3952
10/18/2021,1736
04/01/2021,1537
11/23/2020,2544
09/10/2021,4026
03/29/2021,1431
02/17/2021,2304
07/06/2021,273
04/22/2020,1368
10/25/2020,904
09/29/2020,756
10/23/2020,1088
06/10/2020,470
11/21/2020,2117
08/07/2020,1307
02/03/2021,3059
10/10/2020,811
06/23/2020,520
09/05/2020,1199
03/18/2020,26
10/17/2020,900
07/10/2020,851
08/29/2020,938
02/22/2021,1769
10/09/2021,1642
02/09/2021,3203
08/21/2021,2471
08/25/2020,822
07/01/2021,180
03/06/2021,1163
10/03/2021,1894
02/27/2021,1736
05/04/2021,842
06/13/2020,637
07/04/2020,1355
04/24/2021,884
03/01/2020,0
01/30/2021,2558
07/10/2021,119
02/14/2020,0
10/16/2020,1114
05/06/2021,938
11/24/2020,2718
04/07/2021,1928
08/15/2021,1947
08/09/2020,664
05/05/2021,856
04/02/2020,306
05/21/2020,813
07/22/2020,844
10/10/2021,1642
12/16/2020,3853
03/07/2020,0
09/01/2021,4256
02/02/2021,2959
07/08/2020,613
01/05/2021,5387
07/01/2020,416
01/25/2021,4707
08/13/2021,2302
01/01/2021,3988
03/07/2021,892
09/28/2021,3151
06/19/2020,650
06/30/2021,224
07/12/2021,529
04/29/2020,885
03/05/2021,1477
08/01/2020,981
08/15/2020,938
09/14/2020,943
09/25/2020,975
02/18/2020,0
10/17/2021,1733
05/14/2021,685
07/27/2020,922
05/25/2020,1615
06/08/2020,487
07/04/2021,84
11/07/2020,1302
02/20/2020,0
07/17/2020,940
05/18/2020,1005
03/20/2021,1159
03/21/2021,1063
06/14/2021,136
09/07/2021,4479
06/04/2020,676
02/25/2020,0
02/22/2020,0
03/26/2020,144
06/19/2021,47
06/03/2020,951
06/05/2020,865
06/26/2021,74
06/25/2021,208
04/27/2020,804
11/11/2020,1521
04/28/2020,622
04/09/2021,1700
06/30/2020,0
03/02/2020,0
01/24/2020,0
04/21/2020,0
12/19/2020,3876
08/19/2021,2792
09/15/2020,845
12/10/2020,3395
01/12/2021,4598
11/08/2020,1302
02/15/2021,1770
06/22/2021,228
08/06/2020,2015
03/11/2021,1589
06/11/2020,564
07/12/2020,972
05/09/2020,854
05/08/2020,0
01/09/2021,5141
05/20/2020,1229
11/01/2021,3065
04/10/2020,0
11/02/2020,1261
12/27/2020,2599
08/11/2020,775
06/05/2021,155
08/05/2021,1844
03/16/2020,16
07/09/2021,286
07/14/2021,440
12/28/2020,4122
10/25/2021,3495
11/22/2020,3242
11/17/2020,2071
08/19/2020,863
01/14/2021,4795
06/07/2021,182
08/24/2021,3454
10/02/2021,1894
10/23/2021,0
03/05/2020,0
05/03/2020,1761
06/01/2021,186
01/22/2021,4904
07/06/2020,638
07/13/2021,412
07/28/2020,999
08/31/2021,3407
02/12/2020,0
10/29/2021,1408
02/29/2020,0
02/12/2021,3215
09/27/2020,449
06/10/2021,105
04/11/2020,568
01/25/2020,0
12/15/2020,3931
06/21/2020,471
10/19/2021,1822
07/23/2020,1127
02/16/2020,0
06/02/2021,258
12/26/2020,3999
02/04/2020,0
04/18/2020,0
11/27/2020,3173
06/21/2021,260
02/14/2021,1539
07/05/2021,254
10/15/2021,1359
08/11/2021,2361
07/19/2020,945
09/21/2021,3737
04/07/2020,312
10/05/2021,3919
08/14/2020,915
09/16/2020,1101
08/08/2021,1542
07/30/2020,984
12/06/2020,3817
04/11/2021,1310
09/26/2021,2402
10/27/2020,1345
07/11/2020,888
10/14/2020,1331
05/31/2020,791
03/10/2021,1251
02/18/2021,2034
04/02/2021,1542
10/07/2021,2836
05/09/2021,336
09/25/2021,2402
06/03/2021,259
04/13/2021,1301
04/16/2021,1608
10/03/2020,1067
06/16/2021,167
02/07/2021,1700
07/03/2020,658
10/04/2020,687
05/26/2021,357
07/16/2021,457
12/03/2020,2877
03/08/2021,1537
08/28/2021,2748
03/09/2020,3
07/27/2021,1087
03/04/2020,0
06/07/2020,570
02/26/2020,0
02/24/2021,2036
01/23/2020,0
03/22/2021,1267
12/05/2020,3880
02/02/2020,0
01/21/2021,4147
10/29/2020,1456
02/16/2021,2284
11/16/2020,2125
02/25/2021,1657
12/20/2020,4041
09/13/2020,757
07/14/2020,1084
05/20/2021,391
07/23/2021,780
10/07/2020,1844
10/26/2020,1134
04/29/2021,1249
07/02/2021,161
06/01/2020,841
06/15/2020,445
04/06/2021,1550
03/23/2021,1470
05/15/2020,1011
08/08/2020,897
09/23/2020,902
01/10/2021,4530
05/22/2020,799
02/28/2021,1124
12/24/2020,4078
01/07/2021,5238
09/04/2021,2390
12/21/2020,3593
10/13/2021,2602
08/04/2021,1761
09/04/2020,948
03/06/2020,0
08/18/2020,736
09/16/2021,4212
08/27/2020,1013
02/01/2021,2740
08/16/2020,730
10/24/2021,0
09/20/2021,2876
09/12/2020,874
08/23/2021,2473
05/30/2020,996
05/22/2021,236
02/27/2020,0
04/05/2021,1434
05/02/2020,830
08/29/2021,2748
06/25/2020,624
05/24/2021,654
03/20/2020,0
05/13/2020,1067
05/29/2020,1078
12/01/2020,2417
10/20/2020,1018
09/09/2021,4479
06/16/2020,444
06/18/2020,555
09/08/2020,882
10/08/2020,1114
03/14/2021,1130
12/18/2020,3583
02/05/2020,0
03/01/2021,1385
11/06/2020,2103
08/26/2021,3520
08/17/2020,862
05/27/2021,404
04/19/2020,937
02/06/2021,2948
