date,new_cases
10/29/2021,0
10/28/2021,307
10/27/2021,140
10/26/2021,85
10/25/2021,839
10/24/2021,0
10/23/2021,0
10/22/2021,0
10/21/2021,299
10/20/2021,94
10/19/2021,139
10/18/2021,238
10/17/2021,234
10/16/2021,234
10/15/2021,234
10/14/2021,131
10/13/2021,297
10/12/2021,111
10/11/2021,211
10/10/2021,209
10/9/2021,209
10/8/2021,245
10/7/2021,193
10/6/2021,192
10/5/2021,75
10/4/2021,173
10/3/2021,172
10/2/2021,172
10/1/2021,169
9/30/2021,211
9/29/2021,89
9/28/2021,160
9/27/2021,156
9/26/2021,156
9/25/2021,156
9/24/2021,211
9/23/2021,132
9/22/2021,131
9/21/2021,283
9/20/2021,192
9/19/2021,190
9/18/2021,190
9/17/2021,515
9/16/2021,26
9/15/2021,95
9/14/2021,93
9/13/2021,184
9/12/2021,181
9/11/2021,181
9/10/2021,181
9/9/2021,126
9/8/2021,49
9/7/2021,48
9/6/2021,190
9/5/2021,186
9/4/2021,186
9/3/2021,91
9/2/2021,104
9/1/2021,103
8/31/2021,189
8/30/2021,130
8/29/2021,129
8/28/2021,129
8/27/2021,129
8/26/2021,133
8/25/2021,122
8/24/2021,120
8/23/2021,109
8/22/2021,104
8/21/2021,104
8/20/2021,104
8/19/2021,118
8/18/2021,116
8/17/2021,116
8/16/2021,82
8/15/2021,81
8/14/2021,81
8/13/2021,81
8/12/2021,128
8/11/2021,128
8/10/2021,83
8/9/2021,76
8/8/2021,75
8/7/2021,75
8/6/2021,75
8/5/2021,182
8/4/2021,23
8/3/2021,22
8/2/2021,56
8/1/2021,52
7/31/2021,52
7/30/2021,52
7/29/2021,13
7/28/2021,12
7/27/2021,32
7/26/2021,24
7/25/2021,17
7/24/2021,17
7/23/2021,17
7/22/2021,17
7/21/2021,51
7/20/2021,16
7/19/2021,16
7/18/2021,10
7/17/2021,10
7/16/2021,10
7/15/2021,10
7/14/2021,13
7/13/2021,26
7/12/2021,9
7/11/2021,5
7/10/2021,5
7/9/2021,5
7/8/2021,10
7/7/2021,8
7/6/2021,7
7/5/2021,4
7/4/2021,2
7/3/2021,2
7/2/2021,2
7/1/2021,7
6/30/2021,2
6/29/2021,7
6/28/2021,3
6/27/2021,4
6/26/2021,3
6/25/2021,4
6/24/2021,7
6/23/2021,6
6/22/2021,1
6/21/2021,2
6/20/2021,0
6/19/2021,2
6/18/2021,3
6/17/2021,8
6/16/2021,8
6/15/2021,7
6/14/2021,1
6/13/2021,6
6/12/2021,1
6/11/2021,7
6/10/2021,10
6/9/2021,4
6/8/2021,13
6/7/2021,4
6/6/2021,10
6/5/2021,14
6/4/2021,14
6/3/2021,6
6/2/2021,8
6/1/2021,2
5/31/2021,13
5/30/2021,10
5/29/2021,10
5/28/2021,7
5/27/2021,19
5/26/2021,19
5/25/2021,8
5/24/2021,20
5/23/2021,22
5/22/2021,20
5/21/2021,34
5/20/2021,34
5/19/2021,48
5/18/2021,32
5/17/2021,28
5/16/2021,25
5/15/2021,58
5/14/2021,54
5/13/2021,78
5/12/2021,27
5/11/2021,65
5/10/2021,37
5/9/2021,24
5/8/2021,62
5/7/2021,94
5/6/2021,57
5/5/2021,54
5/4/2021,34
5/3/2021,27
5/2/2021,81
5/1/2021,84
4/30/2021,115
4/29/2021,86
4/28/2021,46
4/27/2021,58
4/26/2021,32
4/25/2021,95
4/24/2021,65
4/23/2021,81
4/22/2021,74
4/21/2021,75
4/20/2021,49
4/19/2021,91
4/18/2021,150
4/17/2021,64
4/16/2021,129
4/15/2021,168
4/14/2021,92
4/13/2021,71
4/12/2021,112
4/11/2021,216
4/10/2021,137
4/9/2021,156
4/8/2021,223
4/7/2021,44
4/6/2021,130
4/5/2021,115
4/4/2021,217
4/3/2021,160
4/2/2021,195
4/1/2021,258
3/31/2021,176
3/30/2021,74
3/29/2021,167
3/28/2021,232
3/27/2021,115
3/26/2021,248
3/25/2021,198
3/24/2021,96
3/23/2021,94
3/22/2021,82
3/21/2021,157
3/20/2021,178
3/19/2021,147
3/18/2021,142
3/17/2021,50
3/16/2021,62
3/15/2021,80
3/14/2021,179
3/13/2021,83
3/12/2021,121
3/11/2021,122
3/10/2021,73
3/9/2021,89
3/8/2021,101
3/7/2021,118
3/6/2021,119
3/5/2021,140
3/4/2021,115
3/3/2021,201
3/2/2021,69
3/1/2021,96
2/28/2021,90
2/27/2021,124
2/26/2021,105
2/25/2021,61
2/24/2021,77
2/23/2021,81
2/22/2021,92
2/21/2021,135
2/20/2021,106
2/19/2021,86
2/18/2021,119
2/17/2021,75
2/16/2021,60
2/15/2021,127
2/14/2021,117
2/13/2021,129
