date,new_cases
10/29/2021,2596
10/28/2021,3339
10/27/2021,1576
10/26/2021,1609
10/25/2021,5804
10/24/2021,0
10/23/2021,0
10/22/2021,2479
10/21/2021,3154
10/20/2021,2453
10/19/2021,1856
10/18/2021,1851
10/17/2021,1851
10/16/2021,1851
10/15/2021,2679
10/14/2021,2853
10/13/2021,3067
10/12/2021,1885
10/11/2021,2181
10/10/2021,2178
10/9/2021,2178
10/8/2021,2300
10/7/2021,2913
10/6/2021,2575
10/5/2021,2373
10/4/2021,2310
10/3/2021,2307
10/2/2021,2307
10/1/2021,3284
9/30/2021,2916
9/29/2021,2699
9/28/2021,2727
9/27/2021,2930
9/26/2021,2929
9/25/2021,2929
9/24/2021,3129
9/23/2021,4089
9/22/2021,2255
9/21/2021,2535
9/20/2021,2580
9/19/2021,2578
9/18/2021,2578
9/17/2021,3881
9/16/2021,3201
9/15/2021,3759
9/14/2021,2751
9/13/2021,3144
9/12/2021,3142
9/11/2021,3142
9/10/2021,3388
9/9/2021,4063
9/8/2021,3530
9/7/2021,2816
9/6/2021,2815
9/5/2021,2815
9/4/2021,2815
9/3/2021,4022
9/2/2021,4364
9/1/2021,4063
8/31/2021,3279
8/30/2021,2926
8/29/2021,2924
8/28/2021,2924
8/27/2021,4267
8/26/2021,3843
8/25/2021,2991
8/24/2021,3073
8/23/2021,2789
8/22/2021,2786
8/21/2021,2786
8/20/2021,3783
8/19/2021,3937
8/18/2021,3519
8/17/2021,2330
8/16/2021,2530
8/15/2021,2530
8/14/2021,2530
8/13/2021,3162
8/12/2021,3698
8/11/2021,3085
8/10/2021,2011
8/9/2021,2234
8/8/2021,2232
8/7/2021,2232
8/6/2021,2337
8/5/2021,2914
8/4/2021,2032
8/3/2021,2071
8/2/2021,2070
8/1/2021,2070
7/31/2021,2070
7/30/2021,714
7/29/2021,873
7/28/2021,1156
7/27/2021,1025
7/26/2021,1027
7/25/2021,1023
7/24/2021,1023
7/23/2021,136
7/22/2021,2562
7/21/2021,960
7/20/2021,730
7/19/2021,891
7/18/2021,889
7/17/2021,14
7/16/2021,747
7/15/2021,789
7/14/2021,703
7/13/2021,1105
7/12/2021,536
7/11/2021,535
7/10/2021,535
7/9/2021,453
7/8/2021,582
7/7/2021,403
7/6/2021,297
7/5/2021,295
7/4/2021,295
7/3/2021,295
7/2/2021,411
7/1/2021,477
6/30/2021,347
6/29/2021,318
6/28/2021,264
6/27/2021,262
6/26/2021,421
6/25/2021,492
6/24/2021,546
6/23/2021,803
6/22/2021,418
6/21/2021,261
6/20/2021,260
6/19/2021,540
6/18/2021,539
6/17/2021,438
6/16/2021,531
6/15/2021,433
6/14/2021,254
6/13/2021,302
6/12/2021,712
6/11/2021,639
6/10/2021,717
6/9/2021,507
6/8/2021,702
6/7/2021,366
6/6/2021,466
6/5/2021,794
6/4/2021,719
6/3/2021,867
6/2/2021,693
6/1/2021,309
5/31/2021,307
5/30/2021,519
5/29/2021,1066
5/28/2021,967
5/27/2021,1605
5/26/2021,1794
5/25/2021,921
5/24/2021,901
5/23/2021,147
5/22/2021,962
5/21/2021,1649
5/20/2021,938
5/19/2021,858
5/18/2021,668
5/17/2021,600
5/16/2021,974
5/15/2021,1024
5/14/2021,1597
5/13/2021,1388
5/12/2021,1141
5/11/2021,1082
5/10/2021,768
5/9/2021,1084
5/8/2021,1356
5/7/2021,1422
5/6/2021,1381
5/5/2021,1437
5/4/2021,1078
5/3/2021,1106
5/2/2021,1404
5/1/2021,1623
4/30/2021,1470
4/29/2021,1594
4/28/2021,1490
4/27/2021,1068
4/26/2021,1076
4/25/2021,1146
4/24/2021,1648
4/23/2021,1749
4/22/2021,1575
4/21/2021,1487
4/20/2021,1706
4/19/2021,428
4/18/2021,1286
4/17/2021,1594
4/16/2021,2016
4/15/2021,1423
4/14/2021,1326
4/13/2021,1003
4/12/2021,790
4/11/2021,1138
4/10/2021,1318
4/9/2021,1464
4/8/2021,1138
4/7/2021,1483
4/6/2021,645
4/5/2021,734
4/4/2021,938
4/3/2021,1207
4/2/2021,1338
4/1/2021,1330
3/31/2021,1164
3/30/2021,842
3/29/2021,637
3/28/2021,832
3/27/2021,1243
3/26/2021,1096
3/25/2021,1087
3/24/2021,950
3/23/2021,557
3/22/2021,572
3/21/2021,698
3/20/2021,943
3/19/2021,888
3/18/2021,929
3/17/2021,867
3/16/2021,653
3/15/2021,451
