date,new_cases
07/06/2021,40
04/20/2020,153
05/01/2021,759
08/22/2020,975
02/19/2021,919
03/31/2021,727
09/14/2021,2488
06/05/2020,357
06/08/2021,202
11/03/2020,6104
11/08/2020,4407
10/12/2020,2016
01/26/2021,1564
01/01/2021,2085
05/30/2020,523
09/25/2021,2232
06/25/2021,66
03/21/2020,75
06/24/2021,138
06/17/2020,290
07/26/2020,965
06/12/2020,2796
08/18/2021,1685
03/30/2021,861
08/16/2021,824
09/25/2020,2629
03/31/2020,130
10/23/2020,4643
07/25/2020,988
05/18/2021,558
03/13/2020,1
02/04/2020,0
12/08/2020,4620
08/05/2021,1744
02/02/2020,0
05/15/2021,622
06/18/2020,463
04/10/2021,950
03/19/2020,49
09/17/2021,3554
03/27/2020,135
07/11/2021,112
11/15/2020,6320
06/06/2021,98
03/07/2020,0
08/25/2020,687
03/16/2021,674
10/11/2021,1919
11/09/2020,4470
01/21/2021,2569
02/14/2021,562
06/13/2021,66
05/14/2020,373
07/12/2021,116
10/20/2021,2510
06/05/2021,98
11/19/2020,7448
04/08/2020,178
08/21/2020,858
03/28/2020,147
10/27/2020,5501
10/22/2020,3632
04/22/2021,840
01/02/2021,1129
10/13/2020,3428
04/17/2021,868
02/11/2020,0
08/31/2021,2531
01/29/2021,1804
04/15/2021,1084
03/02/2020,0
02/03/2020,0
05/02/2020,346
01/25/2020,0
08/13/2020,968
04/14/2021,1003
04/06/2020,173
06/03/2020,483
09/04/2021,1490
05/17/2021,136
01/11/2021,1682
05/20/2020,546
07/02/2020,584
03/14/2020,10
12/23/2020,3063
09/05/2021,1490
11/16/2020,4638
07/22/2020,747
03/26/2020,122
08/04/2020,770
03/17/2020,35
08/27/2021,2636
03/18/2021,683
06/21/2021,51
01/19/2021,1933
04/01/2021,867
10/23/2021,0
04/13/2021,1127
02/01/2020,0
04/14/2020,127
02/03/2021,1539
06/14/2021,69
05/16/2021,241
02/06/2021,1114
09/13/2021,1315
10/16/2021,2545
07/21/2021,425
05/05/2020,330
01/30/2021,1613
11/02/2020,3505
08/08/2021,844
10/10/2021,1917
06/09/2021,130
02/18/2021,866
11/04/2020,6255
01/23/2020,0
02/15/2021,426
09/12/2020,1430
10/25/2020,3778
02/10/2020,0
10/08/2021,3564
03/15/2020,8
02/13/2021,866
05/26/2021,365
02/05/2020,0
08/28/2020,864
06/04/2021,211
05/07/2020,314
12/14/2020,2329
12/01/2020,4635
01/16/2021,2409
02/25/2020,0
11/24/2020,6748
07/16/2020,942
07/29/2021,995
10/15/2020,4040
03/24/2021,1514
09/21/2021,4064
08/12/2020,531
02/08/2021,609
02/21/2020,0
11/25/2020,5997
02/21/2021,451
09/07/2020,575
09/10/2020,1592
04/12/2020,120
10/28/2020,4130
02/15/2020,0
06/28/2020,480
07/05/2021,51
02/04/2021,1719
06/15/2021,130
04/25/2020,331
10/08/2020,3274
08/03/2021,1571
12/24/2020,3263
07/15/2021,215
05/16/2020,502
11/14/2020,5581
08/27/2020,912
04/11/2020,153
07/30/2021,1185
05/24/2020,400
02/26/2021,793
12/13/2020,2965
10/12/2021,3292
11/17/2020,7593
06/26/2020,563
10/29/2020,5146
03/10/2021,706
10/04/2021,2184
02/27/2021,868
07/18/2020,1031
06/12/2021,66
04/08/2021,1115
10/21/2020,4363
09/09/2020,913
03/09/2021,602
11/18/2020,8510
01/20/2021,1851
05/06/2021,793
06/19/2021,48
12/12/2020,4624
06/16/2020,309
07/17/2021,141
09/05/2020,999
04/02/2021,893
07/23/2020,1086
12/27/2020,2558
10/11/2020,2713
02/02/2021,1296
03/20/2020,51
05/13/2020,291
03/01/2020,0
06/07/2020,264
06/08/2020,203
06/28/2021,50
01/05/2021,4019
10/24/2021,0
10/09/2021,1917
05/31/2021,141
01/13/2021,2771
07/07/2021,184
07/10/2021,112
08/13/2021,2121
09/03/2021,2300
05/18/2020,144
03/19/2021,685
09/06/2020,890
09/20/2021,2633
10/16/2020,4105
07/07/2020,535
04/07/2020,138
02/06/2020,0
09/15/2021,3937
08/16/2020,699
04/23/2021,900
01/22/2021,2303
12/03/2020,5604
08/07/2021,844
02/05/2021,1427
04/26/2021,406
03/13/2021,537
04/16/2020,154
07/04/2021,49
04/05/2021,326
08/09/2021,848
03/11/2021,651
01/31/2021,1143
07/10/2020,889
07/23/2021,515
08/15/2020,866
05/21/2021,464
04/04/2021,637
09/22/2021,3266
03/03/2021,780
04/19/2021,403
07/24/2020,1058
12/31/2020,4212
05/29/2020,733
09/20/2020,1735
08/28/2021,1351
01/15/2021,2706
01/14/2021,3140
07/19/2020,849
04/24/2021,651
09/24/2021,3241
02/23/2020,0
06/14/2020,264
12/02/2020,4565
05/03/2021,384
03/17/2021,696
07/27/2021,1078
12/19/2020,4315
03/05/2021,721
05/08/2020,375
06/30/2021,91
04/17/2020,170
