date,new_cases
05/05/2020,18
08/21/2021,828
04/26/2020,28
03/25/2021,433
10/02/2020,283
02/14/2021,306
07/15/2021,80
10/19/2020,212
02/18/2021,355
10/19/2021,757
01/04/2021,828
12/28/2020,726
03/21/2020,4
06/05/2020,17
08/06/2021,429
06/25/2021,60
04/25/2021,314
04/24/2021,375
09/07/2020,163
05/20/2021,301
10/30/2021,887
09/06/2021,1316
06/20/2020,32
02/27/2021,346
09/09/2021,1744
06/29/2020,38
08/30/2020,143
02/07/2020,0
09/25/2020,247
03/14/2021,319
02/29/2020,0
01/31/2020,0
03/01/2021,193
10/14/2020,263
06/15/2020,32
05/06/2021,385
03/15/2021,210
07/05/2021,31
06/16/2021,90
08/17/2020,68
05/09/2021,405
08/08/2020,130
08/18/2021,820
08/11/2020,121
02/17/2021,288
05/03/2020,11
02/25/2020,0
05/29/2021,142
02/26/2021,421
09/12/2020,347
01/08/2021,1896
08/14/2020,123
06/02/2021,109
05/26/2020,72
10/29/2020,402
08/11/2021,546
05/30/2020,17
08/09/2020,131
03/20/2020,3
02/23/2020,0
05/21/2021,285
05/24/2020,42
06/13/2021,68
06/11/2020,24
10/04/2020,160
08/31/2020,140
03/06/2021,326
07/22/2020,262
12/31/2020,1109
09/19/2021,1604
08/24/2020,40
09/03/2021,1717
10/01/2020,176
05/16/2021,238
01/06/2021,1516
06/04/2021,121
10/21/2021,1100
10/26/2020,317
07/13/2020,69
03/26/2020,25
09/04/2021,1979
04/17/2021,446
08/08/2021,345
10/23/2021,873
08/24/2021,785
10/05/2020,114
03/31/2020,17
03/25/2020,12
02/09/2021,416
11/26/2020,1130
04/14/2021,413
01/10/2021,1434
06/24/2020,36
03/30/2021,331
08/25/2020,83
04/04/2021,350
01/02/2021,1507
06/28/2020,50
09/27/2020,190
06/13/2020,25
07/20/2020,100
05/23/2021,205
12/01/2020,976
12/10/2020,1233
11/11/2020,885
11/10/2020,511
08/15/2021,633
02/08/2020,0
04/07/2021,364
01/12/2021,921
08/22/2020,119
09/11/2021,2262
03/27/2020,20
02/12/2021,467
01/13/2021,1189
04/28/2021,453
01/18/2021,988
01/29/2020,0
08/19/2020,70
12/29/2020,1337
10/08/2020,186
07/31/2021,221
10/16/2021,1172
03/20/2021,386
06/19/2020,50
04/24/2020,29
10/11/2020,215
02/13/2021,395
07/22/2021,126
05/23/2020,24
05/10/2021,211
02/02/2020,0
08/12/2021,645
08/29/2021,1226
04/06/2020,21
07/01/2020,74
08/20/2021,925
05/07/2020,21
03/13/2020,0
09/19/2020,191
10/04/2021,846
07/01/2021,56
03/02/2021,136
03/29/2020,11
06/15/2021,77
02/01/2021,424
10/20/2021,1012
07/19/2020,120
06/27/2021,54
06/03/2021,144
09/17/2020,234
07/03/2021,31
04/22/2020,49
04/12/2020,20
03/06/2020,0
10/03/2020,161
10/06/2020,194
05/05/2021,405
06/10/2021,119
08/28/2020,191
10/25/2021,877
08/01/2021,221
05/13/2020,26
07/28/2021,196
10/18/2020,280
03/18/2020,1
09/23/2021,1477
10/10/2020,206
08/21/2020,84
07/11/2021,52
12/03/2020,1120
01/30/2021,873
09/26/2021,1376
01/28/2020,0
03/29/2021,378
07/11/2020,163
04/16/2020,21
06/25/2020,65
04/11/2021,415
05/02/2021,420
07/14/2021,78
02/04/2020,0
01/15/2021,1430
03/08/2021,182
03/27/2021,566
09/14/2021,1473
10/20/2020,226
07/29/2020,153
05/01/2021,370
12/17/2020,1636
10/31/2021,661
03/24/2021,389
06/09/2021,90
10/01/2021,1645
06/14/2020,16
01/31/2021,661
04/13/2021,328
07/17/2020,126
04/01/2021,495
07/21/2020,57
08/14/2021,633
07/25/2020,126
06/07/2021,104
11/13/2020,742
06/01/2020,18
07/27/2020,94
02/09/2020,0
09/23/2020,120
10/22/2021,1004
09/18/2020,253
12/12/2020,1514
03/23/2020,4
11/09/2020,401
07/06/2021,37
11/24/2020,969
04/29/2021,432
09/30/2021,1961
12/02/2020,1087
02/03/2020,0
08/26/2021,1448
02/26/2020,0
04/15/2020,24
06/29/2021,25
08/06/2020,118
04/12/2021,293
06/17/2021,71
05/25/2020,11
08/04/2020,78
09/12/2021,2244
09/30/2020,156
04/07/2020,67
06/23/2021,62
01/22/2021,998
05/16/2020,23
03/28/2021,297
05/30/2021,142
06/12/2021,68
04/13/2020,15
01/20/2021,857
03/22/2020,4
04/08/2020,0
07/12/2020,98
08/13/2020,143
07/18/2021,80
12/04/2020,1147
07/17/2021,80
09/15/2021,1805
08/29/2020,143
09/18/2021,2074
12/15/2020,1314
08/12/2020,133
04/11/2020,17
06/05/2021,102
10/24/2020,320
02/22/2021,238
05/14/2020,30
10/17/2021,859
06/26/2021,54
10/02/2021,1567
02/21/2021,252
06/23/2020,22
12/23/2020,1199
05/27/2021,269
02/18/2020,0
07/21/2021,139
09/21/2020,117
08/26/2020,145
07/28/2020,119
03/30/2020,21
01/24/2020,0
02/10/2021,429
03/05/2021,287
05/31/2021,142
09/21/2021,1337
07/04/2021,31
10/10/2021,1071
12/25/2020,1597
03/01/2020,0
04/26/2021,289
04/09/2021,479
05/18/2021,245
04/05/2021,277
06/28/2021,55
11/03/2020,358
07/05/2020,130
02/12/2020,0
06/01/2021,145
03/04/2021,261
02/24/2020,0
05/12/2020,9
01/05/2021,1276
06/21/2020,43
07/24/2020,145
05/15/2020,13
05/17/2020,20
09/01/2020,257
05/11/2020,7
10/28/2021,951
09/04/2020,192
07/07/2020,63
09/20/2020,180
09/29/2021,1496
05/07/2021,339
11/23/2020,636
02/23/2021,285
09/28/2020,164
01/23/2021,1137
12/11/2020,942
12/18/2020,1266
05/02/2020,33
10/29/2021,902
02/06/2021,549
12/19/2020,1464
05/19/2021,261
07/20/2021,82
05/22/2020,102
07/24/2021,134
01/27/2020,0
01/14/2021,827
09/02/2021,1632
04/23/2021,405
07/09/2020,119
05/21/2020,36
11/28/2020,799
01/03/2021,1731
02/04/2021,574
11/01/2020,423
12/14/2020,1177
03/12/2020,0
02/05/2021,597
10/09/2020,382
03/13/2021,307
04/03/2021,453
11/01/2021,498
12/07/2020,1131
06/26/2020,36
09/17/2021,2320
08/31/2021,1030
08/07/2020,156
07/30/2020,96
06/06/2020,17
10/25/2020,194
11/30/2020,845
05/28/2020,36
09/13/2021,1417
01/01/2021,2486
02/01/2020,0
04/18/2021,370
07/10/2020,157
06/11/2021,94
02/16/2020,0
04/20/2021,315
08/15/2020,183
03/10/2021,302
06/08/2020,17
01/30/2020,0
08/23/2021,830
06/18/2020,42
02/10/2020,0
09/25/2021,1758
10/31/2020,470
02/28/2021,275
09/02/2020,135
09/28/2021,340
08/13/2021,430
10/14/2021,1264
04/21/2021,426
05/22/2021,205
07/07/2021,67
11/14/2020,1153
06/12/2020,32
04/15/2021,393
02/20/2021,309
04/16/2021,475
07/15/2020,150
11/19/2020,1122
05/11/2021,258
07/06/2020,107
02/05/2020,0
10/07/2020,203
11/16/2020,781
02/25/2021,431
06/22/2020,28
07/26/2021,138
12/27/2020,533
03/24/2020,19
05/04/2021,344
04/27/2020,24
08/10/2021,457
02/11/2020,0
03/18/2021,382
11/27/2020,866
09/24/2021,2685
08/01/2020,93
02/03/2021,535
10/27/2020,483
09/26/2020,205
01/26/2020,0
12/09/2020,1402
08/20/2020,181
02/15/2020,0
05/28/2021,241
09/22/2020,213
04/28/2020,18
03/26/2021,499
07/31/2020,220
03/17/2021,315
04/23/2020,18
09/05/2021,1500
11/25/2020,967
06/18/2021,48
05/20/2020,53
12/22/2020,1400
12/20/2020,1127
10/21/2020,215
03/09/2021,229
01/25/2021,532
06/17/2020,35
07/25/2021,134
03/16/2021,341
12/24/2020,1303
09/13/2020,178
04/18/2020,50
04/08/2021,446
02/17/2020,0
07/23/2021,178
03/16/2020,0
10/22/2020,323
11/08/2020,826
11/12/2020,696
10/15/2021,1371
08/25/2021,1102
04/22/2021,400
01/27/2021,797
11/15/2020,887
05/18/2020,12
05/31/2020,21
07/18/2020,139
10/03/2021,1027
08/19/2021,970
02/24/2021,243
06/20/2021,48
05/19/2020,12
06/07/2020,8
09/01/2021,1466
02/02/2021,510
06/27/2020,52
03/19/2021,376
03/03/2020,0
03/04/2020,0
06/21/2021,48
08/07/2021,345
11/05/2020,560
06/10/2020,14
10/16/2020,498
04/30/2021,395
03/12/2021,346
04/29/2020,14
07/13/2021,60
07/26/2020,139
05/24/2021,209
06/30/2021,49
09/10/2020,209
11/17/2020,864
01/17/2021,697
01/11/2021,1070
10/05/2021,864
09/20/2021,1318
01/22/2020,0
07/08/2020,202
02/07/2021,518
06/22/2021,53
04/10/2021,455
07/16/2020,100
04/19/2021,260
12/26/2020,1341
09/16/2021,2135
06/06/2021,102
04/30/2020,16
07/03/2020,73
01/09/2021,1880
05/01/2020,26
09/27/2021,1860
09/08/2020,86
08/03/2021,267
10/13/2021,1130
02/08/2021,398
01/29/2021,905
03/21/2021,348
09/14/2020,121
11/18/2020,953
04/20/2020,39
01/28/2021,787
03/11/2021,338
08/03/2020,119
04/21/2020,12
01/26/2021,1139
06/03/2020,21
02/28/2020,0
11/22/2020,880
05/27/2020,45
02/13/2020,0
12/21/2020,995
02/11/2021,469
06/19/2021,48
02/20/2020,0
04/10/2020,51
06/16/2020,19
10/09/2021,1267
10/13/2020,274
03/22/2021,276
08/05/2021,403
07/19/2021,84
02/14/2020,0
06/24/2021,55
04/25/2020,15
09/11/2020,157
09/24/2020,202
05/06/2020,34
01/24/2021,555
04/27/2021,177
12/05/2020,1400
12/06/2020,1425
10/28/2020,358
08/02/2021,223
01/07/2021,1324
12/13/2020,1066
01/23/2020,0
02/27/2020,0
08/04/2021,382
01/16/2021,1475
10/07/2021,1525
10/11/2021,757
05/13/2021,411
03/07/2020,0
08/05/2020,108
09/03/2020,203
10/18/2021,689
11/20/2020,1081
11/21/2020,1118
01/25/2020,0
03/17/2020,1
05/08/2021,321
07/02/2021,52
10/12/2020,153
05/29/2020,37
02/21/2020,0
04/01/2020,29
07/09/2021,66
06/04/2020,25
09/05/2020,252
07/27/2021,189
09/06/2020,123
08/30/2021,1141
04/02/2021,420
08/16/2021,636
10/08/2021,1469
10/26/2021,714
05/10/2020,15
09/07/2021,1008
03/28/2020,17
03/08/2020,0
04/06/2021,277
09/09/2020,147
05/17/2021,175
02/16/2021,228
04/09/2020,111
07/12/2021,56
09/16/2020,220
04/14/2020,68
04/05/2020,42
07/04/2020,79
06/02/2020,28
08/22/2021,828
09/22/2021,1734
09/15/2020,156
03/07/2021,155
11/06/2020,540
03/09/2020,0
07/10/2021,52
05/08/2020,26
03/10/2020,0
05/04/2020,29
07/16/2021,90
02/06/2020,0
10/12/2021,753
05/15/2021,307
06/14/2021,69
10/27/2021,1019
12/16/2020,1141
08/02/2020,119
12/30/2020,1452
08/17/2021,639
08/09/2021,347
11/04/2020,394
08/23/2020,87
10/17/2020,221
05/25/2021,233
11/07/2020,491
02/22/2020,0
05/12/2021,340
08/27/2021,1328
03/19/2020,3
07/29/2021,255
08/10/2020,60
07/02/2020,74
08/28/2021,1611
03/23/2021,327
07/14/2020,94
12/08/2020,932
09/29/2020,180
10/30/2020,524
05/26/2021,190
06/30/2020,35
10/24/2021,642
08/16/2020,107
02/15/2021,301
03/11/2020,0
11/02/2020,352
07/08/2021,53
04/19/2020,38
10/23/2020,335
03/03/2021,232
05/03/2021,289
07/23/2020,89
04/17/2020,36
01/21/2021,940
04/04/2020,45
08/27/2020,93
03/05/2020,0
08/18/2020,99
02/19/2021,295
04/02/2020,26
03/15/2020,0
06/09/2020,18
06/08/2021,96
02/19/2020,0
10/06/2021,1398
09/10/2021,2379
11/29/2020,1152
03/02/2020,0
05/14/2021,297
09/08/2021,1352
03/31/2021,416
07/30/2021,268
04/03/2020,20
05/09/2020,24
10/15/2020,264
01/19/2021,1011
03/14/2020,0
