date,new_cases
07/09/2021,101
09/28/2020,121
07/26/2020,29
10/03/2021,270
05/07/2021,96
11/15/2020,613
08/27/2021,472
02/09/2021,46
05/16/2020,25
06/16/2020,10
06/08/2021,76
04/08/2020,9
03/18/2020,5
12/04/2020,659
04/18/2021,37
03/11/2020,0
08/06/2020,35
06/10/2020,10
02/03/2020,0
07/12/2020,23
10/06/2020,141
10/07/2021,681
04/07/2021,81
11/30/2020,816
01/31/2021,208
09/18/2020,95
10/02/2021,270
09/18/2021,513
02/08/2021,157
06/11/2020,29
10/29/2021,523
04/03/2020,16
06/05/2020,12
10/18/2020,209
12/23/2020,285
05/22/2020,2
05/14/2021,83
12/19/2020,129
05/17/2021,49
11/27/2020,1012
03/04/2020,0
07/29/2020,39
08/12/2021,375
11/18/2020,822
06/19/2021,46
06/05/2021,47
04/17/2021,37
10/14/2021,605
03/05/2020,0
06/26/2020,42
09/20/2021,515
06/14/2021,40
07/20/2020,61
05/03/2020,7
04/30/2021,73
06/29/2021,96
04/02/2020,13
04/13/2021,82
08/31/2021,380
06/30/2021,95
04/26/2020,11
01/07/2021,278
08/31/2020,22
01/28/2021,62
07/21/2021,148
11/14/2020,540
10/23/2020,426
03/25/2020,14
09/21/2020,73
08/04/2021,249
04/24/2021,41
05/02/2021,49
02/13/2021,0
05/20/2020,11
07/30/2021,172
04/22/2021,95
07/06/2021,50
08/05/2021,247
05/30/2021,54
11/21/2020,281
08/03/2020,40
03/20/2020,4
07/11/2020,49
11/08/2020,713
05/28/2021,96
10/20/2020,215
04/19/2021,37
05/16/2021,47
03/19/2021,102
09/07/2021,326
08/13/2021,315
05/12/2021,58
05/11/2020,7
04/06/2020,12
06/18/2021,65
08/27/2020,38
04/25/2021,41
09/17/2021,315
09/02/2021,595
04/15/2020,-101
05/22/2021,45
07/05/2020,28
05/01/2020,7
06/21/2020,18
06/25/2021,104
03/30/2021,46
08/24/2020,24
03/17/2021,97
02/29/2020,0
09/06/2020,26
07/26/2021,68
10/24/2020,260
02/07/2020,0
02/01/2020,0
06/29/2020,33
09/26/2021,355
04/23/2020,6
07/29/2021,166
07/22/2021,153
07/10/2020,16
05/26/2020,7
07/21/2020,51
08/13/2020,33
06/23/2020,24
09/08/2020,71
07/11/2021,57
08/03/2021,237
03/31/2021,74
04/16/2020,8
11/02/2020,444
01/11/2021,563
08/09/2021,191
02/25/2021,214
07/25/2020,41
01/25/2021,124
12/27/2020,54
